BookID_Books,Title_Books,Theme_Books,Category_Books,Publisher_Books,PublicationYear,ISBN_Books,CoverType,Origin_Books,Shelf_Books,CopiesNo,FotocopiesNo,Includes,Title_norm_Books,BookID_Books1,Author Name,Author Middle,Author Surname,Co-Authors,Title_Books1,Theme_Books1,Type,Category_Books1,Date of publication,Publisher_Books1,ISBN_Books1,Kind,Origin_Books1,Shelf_Books1,State,When_Borrowed,Who_Borrowed,Field18,Title_norm_Books1,similarity_score,Confidence,MatchType
9,Electronic Displays'83 and Information Display Systems Session 1,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference,proceedings,Network Events,1983,0907634257,paperback,CS,G121,1.0,0,,electronic displays'83 and information display systems session 1,10,,,,,Electronic Displays'83 and Information Display Systems Session 2,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Information Systems,1983,Network Events,0907634265,paperback,CS,G121,available,,,,electronic displays'83 and information display systems session 2,98.4375,High (≥ high_confidence),Fuzzy
9,Electronic Displays'83 and Information Display Systems Session 1,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference,proceedings,Network Events,1983,0907634257,paperback,CS,G121,1.0,0,,electronic displays'83 and information display systems session 1,11,,,,,Electronic Displays'83 and Information Display Systems Session 3,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Information Systems,1983,Network Events,0907634273,paperback,CS,G121,available,,,,electronic displays'83 and information display systems session 3,98.4375,High (≥ high_confidence),Fuzzy
10,Electronic Displays'83 and Information Display Systems Session 2,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Network Events,1983,0907634265,paperback,CS,G121,1.0,0,,electronic displays'83 and information display systems session 2,9,,,,,Electronic Displays'83 and Information Display Systems Session 1,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference,proceedings,Information Systems,1983,Network Events,0907634257,paperback,CS,G121,available,,,,electronic displays'83 and information display systems session 1,98.4375,High (≥ high_confidence),Fuzzy
10,Electronic Displays'83 and Information Display Systems Session 2,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Network Events,1983,0907634265,paperback,CS,G121,1.0,0,,electronic displays'83 and information display systems session 2,11,,,,,Electronic Displays'83 and Information Display Systems Session 3,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Information Systems,1983,Network Events,0907634273,paperback,CS,G121,available,,,,electronic displays'83 and information display systems session 3,98.4375,High (≥ high_confidence),Fuzzy
11,Electronic Displays'83 and Information Display Systems Session 3,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Network Events,1983,0907634273,paperback,CS,G121,1.0,0,,electronic displays'83 and information display systems session 3,9,,,,,Electronic Displays'83 and Information Display Systems Session 1,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference,proceedings,Information Systems,1983,Network Events,0907634257,paperback,CS,G121,available,,,,electronic displays'83 and information display systems session 1,98.4375,High (≥ high_confidence),Fuzzy
11,Electronic Displays'83 and Information Display Systems Session 3,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Network Events,1983,0907634273,paperback,CS,G121,1.0,0,,electronic displays'83 and information display systems session 3,10,,,,,Electronic Displays'83 and Information Display Systems Session 2,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Information Systems,1983,Network Events,0907634265,paperback,CS,G121,available,,,,electronic displays'83 and information display systems session 2,98.4375,High (≥ high_confidence),Fuzzy
40,ASSETS '94 The First Annual ACM Conference on Assistive Technologies,"Proceedings of the 1st Annual ACM Conference on Assistive Technologies, ASSETS '94 was held in Doubletree Marina del Rey Hotel Los Angeles, California from Octber 31 to November 1, 1994.",proceedings,ACM Press,1994,0897916492,spiral,CS,G122,0.0,1,,assets '94 the first annual acm conference on assistive technologies,41,,,ACM SIGCAPH,ACM SIGCAPH,ASSETS '96 The Second Annual ACM Conference on Assistive Technologies,"Proceedings of the 2nd Annual ACM Conference on Assistive Technologies, ASSETS '96 was held in Waterfront Centre Hotel Vancouver, British Coloumbia, Canada from April 11 to 12, 1996.",proceedings,Assistive Technology,1996,ACM Press,0897917766,paperback,CS,G122,unavailable,1996-05-10 00:00:00.0,Παραμύθης Αλέξης,,assets '96 the second annual acm conference on assistive technologies,91.97080291970804,Medium (>= score_threshold),Fuzzy
41,ASSETS '96 The Second Annual ACM Conference on Assistive Technologies,"Proceedings of the 2nd Annual ACM Conference on Assistive Technologies, ASSETS '96 was held in Waterfront Centre Hotel Vancouver, British Coloumbia, Canada from April 11-12, 1996.",proceedings,ACM Press,1996,0897917766,paperback,CS,G122,2.0,0,,assets '96 the second annual acm conference on assistive technologies,40,,,ACM SIGCAPH,ACM SIGCAPH,ASSETS '94 The First Annual ACM Conference on Assistive Technologies,"Proceedings of the 1st Annual ACM Conference on Assistive Technologies, ASSETS '94 was held in Doubletree Marina del Rey Hotel Los Angeles, California from Octber 31 to November 1, 1994.",proceedings photocopy,Assistive Technology,1994,ACM Press,0897916492,spiral,CS,G122,unavailable,1995-03-27 00:00:00.0,Ακουμιανάκης Δήμος,,assets '94 the first annual acm conference on assistive technologies,91.97080291970804,Medium (>= score_threshold),Fuzzy
44,Computational Geometry : Tenth Annual Symposium,"This volume contains papers presented at the Tenth Annual Symposium on Computational Geometry, held June 6-8, 1994, in Stony Brook, New York.",proceedings,ACM Press,1994,0897916484,paperback,CS,G121,1.0,0,,computational geometry : tenth annual symposium,45,,,ACM Special Interest Groups,ACM Special Interest Groups,Computational Geometry : Eleventh Annual Symposium,"This volume contains papers presented at the Eleventh Annual Symposium on Computational Geometry, held June 5-7, 1995 in Vancouver, Canada.",proceedings,Computer Graphics,1995,ACM Press,0897917243,paperback,CS,G121,,,,,computational geometry : eleventh annual symposium,94.84536082474226,Medium (>= score_threshold),Fuzzy
45,Computational Geometry : Eleventh Annual Symposium,"This volume contains papers presented at the Eleventh Annual Symposium on Computational Geometry, held June 5-7, 1995 in Vancouver, Canada.",proceedings,ACM Press,1995,0897917243,paperback,CS,G121,1.0,0,,computational geometry : eleventh annual symposium,44,,,ACM Special Interest Groups,ACM Special Interest Groups,Computational Geometry : Tenth Annual Symposium,"This volume contains papers presented at the Tenth Annual Symposium on Computational Geometry, held June 6-8, 1994, in Stony Brook, New York.",proceedings,Computer Graphics,1994,ACM Press,0897916484,paperback,CS,G121,available,,,,computational geometry : tenth annual symposium,94.84536082474226,Medium (>= score_threshold),Fuzzy
