"AuthorID","FirstName","MiddleName","LastName"
"1","L","K.","Ainsworth"
"2","Gordon","","Davies"
"3","Jenny","","Preece"
"4","Laurie","","Keller"
"5","Lee","","Adams"
"6","Hojjat","","Adeli"
"7","Beth","","Adelson"
"8","Paul","S.","Adler"
"9","Gul","","Agha"
"10","Rui","L.","Aguiar"
"11","Mel","","Ainscow"
"12","W.","A.","Ainsworth"
"13","V.","S.","Alagar"
"14","Igor","","Aleksander"
"15","Bob","","Allen"
"16","Gary","","Allen"
"17","James","","Allen"
"18","Gordon","","Allison"
"19","Carmen","","Almodovar"
"20","Hiyan","","Alshawi"
"21","Jan","A. van","Alste"
"22","J.","L.","Alty"
"23","Sueann","","Ambron"
"24","Leendert","","Ammeraal"
"25","Loretta","","Anania"
"26","David","R.","Anderson"
"27","Ronald","G.","Anderson"
"28","Ian","O.","Angell"
"29","Ed","","Anuff"
"30","Yuichiro","","Anzai"
"31","Krzysztof","R.","Apt"
"32","Daniele","","Archibugi"
"33","W.","Y.","Arms"
"34","Robert","S.","Arnold"
"35","Paul","J.","Asente"
"36","Stacey","","Ashlund"
"37","Patrizia","","Asirelli"
"38","M.","J.","Aslett"
"39","Gunela","","Astbrink"
"40","Rita","L.","Atkinson"
"41","Arlene","F.","Aucella"
"42","Lars","","Augustsson"
"43","Steven","","Aukstakalnis"
"44","N.","","Aussenac"
"45","Mark","","Ayel"
"46","Christopher","","Baber"
"47","Donna","C.","Bacon"
"48","Tom","","Badgett"
"49","Norman","I.","Badler"
"50","Albert","","Badre"
"51","Ronald","M.","Baecker"
"52","Robert","W.","Bailey"
"53","Michael","J.","Baker"
"54","E.","","Ballabio"
"55","D.","M.","Balston"
"56","Carl","","Bamford"
"57","Francois","","Bancilhou"
"58","Graham","","Bannock"
"59","P.","","Barahona"
"60","Lon","","Barfield"
"61","Nabajyoti","","Barkakati"
"62","Edward","","Barrett"
"63","Leonard","J","Bass"
"64","Monika","","Bauer"
"65","Penny","","Bauersfeld"
"66","Hedley","","Beare"
"67","K.","G.","Beauchamp"
"68","Hellen","","Bee"
