"BookAuthorID","BookID","AuthorID"
"7","22","1318"
"8","23","0"
"9","24","0"
"10","25","2500"
"11","26","1318"
"12","27","989"
"13","18","2595"
"14","28","2573"
"15","28","2574"
"16","29","2596"
"17","30","2597"
"18","30","2598"
"19","31","2594"
"20","32","2575"
"21","32","623"
"22","33","2576"
"23","34","2577"
"24","35","2578"
"25","36","2580"
"26","37","2581"
"27","38","0"
"28","39","2582"
"29","40","2583"
"30","40","2584"
"31","41","2585"
"32","42","2586"
"33","43","2587"
"34","43","2588"
"35","44","2589"
"36","45","2590"
"37","45","2591"
"38","46","2588"
"39","46","2593"
"40","47","2611"
"41","47","2612"
"42","48","750"
"43","48","1903"
"44","49","858"
"45","50","2440"
"46","50","2441"
"47","50","2442"
"48","50","2443"
"49","51","2613"
"50","51","2614"
"51","52","2615"
"52","53","2616"
"53","53","2617"
"54","54","2618"
"55","55","1529"
"56","56","2619"
"57","56","2620"
"58","57","2621"
"59","58","2622"
"60","58","2623"
"61","59","1172"
"62","60","2624"
"63","61","2547"
"64","61","2625"
"65","62","2626"
"66","62","2627"
"67","63","2628"
"68","64","473"
"69","64","1172"
"70","65","2629"
"71","65","190"
"72","65","2630"
"73","65","2631"
"74","66","2632"
"75","67","2634"
"76","67","2635"
"77","67","2636"
"78","68","2637"
"79","68","2638"
"80","68","2639"
"81","69","1318"
"82","70","2640"
"83","71","1318"
"84","72","0"
"85","73","2641"
"86","73","2642"
"87","74","1195"
"88","75","2420"
"89","76","2643"
"90","76","2644"
"91","76","2645"
"92","77","1021"
"93","78","2646"
"94","79","2661"
"95","79","2662"
"96","80","2663"
"97","80","2661"
"98","81","2664"
"99","82","2664"
"100","83","2665"
"101","84","2209"
"102","84","183"
"103","85","183"
"104","86","2694"
"105","87","2695"
"106","87","2696"
"107","88","1136"
"108","88","1394"
"109","89","633"
"110","89","2697"
"111","89","2698"
"112","90","2699"
"113","91","2700"
"114","91","2701"
"115","92","2361"
"116","93","2702"
"117","93","2703"
"118","94","2704"
"119","94","2543"
"120","95","2705"
"121","96","2361"
"122","96","2360"
"123","96","2706"
"124","97","841"
"125","97","2707"
"126","98","2708"
"127","98","2709"
"128","99","2710"
"129","99","2711"
"130","99","2712"
"131","100","2713"
"132","100","2714"
"133","101","2360"
"134","101","2706"
"135","102","2668"
"136","102","2361"
"137","103","2715"
"138","103","2361"
"139","104","2715"
"140","104","2716"
"141","105","1032"
"142","106","2753"
"143","106","2754"
"144","107","2752"
"145","108","2768"
"146","109","2769"
"147","110","2770"
"148","111","2771"
"149","112","2772"
"150","112","2773"
"151","113","2776"
"152","113","2777"
"153","114","2778"
"154","115","678"
"155","117","286"
"156","117","1720"
"157","117","1721"
"158","117","1722"
"159","118","2796"
"160","119","2797"
"161","119","2798"
"162","120","2799"
"163","120","2651"
"164","122","2805"
"165","123","2814"
"166","123","2815"
"167","124","2816"
"168","125","2817"
"169","125","2818"
"170","125","2819"
"171","125","2387"
"172","126","2821"
"173","126","2822"
"174","126","2823"
"175","126","2824"
"176","127","2825"
"177","128","2826"
"178","129","2827"
"179","129","2828"
"180","130","2829"
"181","130","2830"
"182","131","2831"
"183","131","983"
"184","131","2833"
"185","132","2834"
"186","132","2835"
"187","133","2836"
"188","139","2854"
"189","139","2550"
"190","140","2855"
"191","140","2360"
"192","141","1538"
"193","141","2856"
"194","142","2857"
"195","142","2858"
"196","142","2859"
"197","142","2921"
"198","143","2671"
"199","143","2672"
"200","143","2673"
"201","144","2861"
"202","144","2862"
"203","145","2863"
"204","145","2864"
"205","146","2865"
"206","147","2226"
"207","147","2866"
"208","147","2867"
"209","148","2868"
"210","149","2869"
"211","150","2870"
"212","151","2871"
"213","152","2872"
"214","152","2873"
"215","153","2524"
"216","154","2874"
"217","155","2875"
"218","156","2876"
"219","157","2877"
"220","158","2404"
"221","159","2878"
"222","160","2879"
"223","161","2880"
"224","161","2881"
"225","162","2882"
"226","163","750"
"227","164","750"
"228","165","750"
"229","165","1903"
"230","35","2579"
"231","66","2633"
"232","166","2883"
"233","167","2884"
"234","168","2885"
"235","168","2886"
"236","169","2887"
"237","169","2888"
"238","170","2889"
"239","171","2890"
"240","172","2891"
"241","172","2892"
"242","173","2976"
"243","174","2894"
"245","176","2896"
"246","176","2894"
"247","177","2897"
"248","178","2898"
"249","179","2899"
"250","180","2900"
"251","181","2901"
"252","182","2902"
"253","182","2903"
"254","183","2904"
"255","183","2905"
"256","184","2906"
"257","185","2907"
"258","186","2908"
"259","187","525"
"260","188","488"
"261","189","2613"
"262","189","2614"
"263","190","1797"
"264","191","2909"
"265","192","2910"
"266","193","2911"
"267","194","2912"
"268","195","2932"
"269","195","2914"
"270","196","2915"
"271","196","2917"
"272","196","2918"
"273","196","2919"
"274","197","2920"
"275","158","2922"
"276","162","2923"
"277","198","2925"
"278","198","2926"
"279","198","2927"
"280","198","2928"
"281","199","2934"
"282","200","2948"
"283","200","2949"
"284","200","2950"
"285","201","2951"
"286","202","2952"
"287","202","1760"
"288","202","2955"
"289","203","249"
"290","203","2956"
"291","205","2957"
"292","206","2829"
"293","207","2958"
"294","208","3000"
"295","209","2829"
"296","209","2830"
"297","210","2995"
"298","210","2961"
"299","210","2962"
"300","212","172"
"301","212","1436"
"302","212","1021"
"303","213","2999"
"304","214","3003"
"305","214","3004"
"306","215","753"
"307","216","3049"
"308","217","3049"
"309","218","2769"
"310","219","492"
"311","219","2351"
"312","219","2779"
"313","220","1680"
"314","221","3013"
"315","222","3014"
"316","223","3030"
"317","224","3038"
"318","224","3039"
