"JournalID","Title","Publisher","Theme","StartMonth","EndMonth","Year","Volume","Number","CopiesNo","PhotocopiesNo","ISSN","Subscriber","Shelf","Language","Available"
"1","Interacting with Computers","ISAAC (DECKER)","Performance Is the Prize: Language Competence and Performance among AAC Users","2","null","1992","8","1","0","1","0743-4618","CS","G123","English","1"
"2","IEEE SPECTRUM","ISAAC (DECKER)","On the Validity of User-Modelling in AAC","5","null","1992","8","2","0","1","0743-4618","CS","G123","English","1"
"3","IEEE TRANSACTIONS ON ROBOTICS AND AUTOMATION","ISAAC (DECKER)","Social Interaction and Learned Helplessness in Severely Disabled Children","9","null","1992","8","3","0","1","0743-4618","CS","G123","English","1"
"4","Interacting with Computers","ISAAC (DECKER)","Evaluation of Keystroke Saving across Five Assistive Communication Technologies","12","null","1992","8","4","0","1","0743-4618","CS","G123","English","1"
"5","COMPUTING REVIEWS","ISAAC (DECKER)","Home Literacy Experience of Preschoolers who Use AAC Systems and of their Nondisabled Peers, Simultaneous Communication and Speech Comprehension, Telecommunication Relay Services","3","null","1993","9","1","1","0","0743-4618","CS","G123","English","1"
"6","ACM Transactions on Computer-Human Interaction","ISAAC (DECKER)","Comparison of Two Spelling Instruction Techniques for Adults who use Augumentative and Alternative Communication/Comparison of Unimodal and Multimodal AAC Techniques for Children with Intellectual Disabilities","6","null","1993","9","2","1","0","0743-4618","CS","G123","English","1"
"7","COMPUTER ΓΙΑ ΟΛΟΥΣ","ISAAC (DECKER)","Sigsymbol System in a Multimodal approach to speech elicitation/Efficiency of Lexical prediction as a communication acceleration technique/Functional communication training using assistive devices.","9","null","1993","9","3","1","0","0743-4618","CS","G123","English","1"
"8","INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION","ISAAC (DECKER)","Comparison of Speed and Accuracy for Selected  Electronic Communication Devices and Input Methods/Children's Attitudes toward a Nonspeaking Child Using Various AAC Techniques.","12","null","1993","9","4","1","0","0743-4618","CS","G123","English","1"
"9","AAC AUGMENTATIVE AND ALTERNATIVE COMMUNICATION","ISAAC (DECKER)","AAC and Behavior Analysis/Discontinuity in the Development of Aided AAC Systems/AAC: An Historic Perspective","3","null","1994","10","1","1","0","0743-4618","CS","G123","English","1"
"10","AAC AUGMENTATIVE AND ALTERNATIVE COMMUNICATION","ISAAC (DECKER)","Comparison of Relative Demands Implicated in Direct Selection and Scanning: Considerations from Normal Children","6","null","1994","10","2","1","0","0743-4618","CS","G123","English","1"
"11","AAC AUGMENTATIVE AND ALTERNATIVE COMMUNICATION","ISAAC (DECKER)","Variables Affecting Perceptions of Social Aspects of the Communicative Competence of an Adult AAC User.","9","null","1994","10","3","1","0","0743-4618","CS","G123","English","1"
"12","AAC AUGMENTATIVE AND ALTERNATIVE COMMUNICATION","ISAAC (DECKER)","Efficacy of AAC Interventions / Vocabulary-Use Patterns in Preschool Children / Effects of Selection Techniques and Array Sizes on Short-Term Visual Memory / Phonologic Awareness.","12","null","1994","10","4","1","0","0743-4618","CS","G123","English","1"
"13","AAC AUGMENTATIVE AND ALTERNATIVE COMMUNICATION","ISAAC (DECKER)","Articles: Digital Speech Synthesis, AAC Systems Used by People with Cerebral Palsy in Scotland, Communication Intervention for Persons with Profound Disabilities: A Swedish Perspective","3","null","1995","11","1","1","0","0743-4618","CS","G123","English","1"
"14","AAC AUGMENTATIVE AND ALTERNATIVE COMMUNICATION","ISAAC (DECKER)","Articles: Augmentative and Alternative Communication in Developing Countries: Challenge of the Future","3","null","1996","12","1","1","0","0743-4618","CS","G123","English","1"
"15","AAC AUGMENTATIVE AND ALTERNATIVE COMMUNICATION","ISAAC (DECKER)","Articles: Comparisons of Five Symbol Assessment Protocols with Nondisabled Preschoolers and Learners with Severe Intellectual Disabilities/ Attitudes of Children toward a Similar-Aged Child who uses Augmentative Communication","6","null","1996","12","2","1","0","0743-4618","CS","G123","English","1"
"16","AAC AUGMENTATIVE AND ALTERNATIVE COMMUNICATION","ISAAC (DECKER)","Articles: Phonologic Awareness and Literacy Abilities in Nonspeaking Preschool Children with Cerebral Palsy/ Effect of a Word Prediction Feature on User Performance","9","null","1996","12","3","1","0","0743-4618","CS","G123","English","1"
"20","ACM Transactions on Computer-Human Interaction","ACM","Research contributions: Integrality and Separability of Input Devices, Split Menus, Organizational Obstacles to Interface Design & Development","3","null","1994","1","1","1","0","1073-0516","CS","G121","English","1"
"21","ACM Transactions on Computer-Human Interaction","ACM","The Rendezvous Architecture and Language for Constructing Multiuser Applications","6","null","1994","1","2","1","0","1073-0516","CS","G121","English","1"
"22","ACM Transactions on Computer-Human Interaction","ACM","Toward Visual Debugging: Integrating Algorithm Animation Capabilities within a Source-Level Debugger / What Do Groups Need? A Proposed Set of Generic Groupware Requirements","7","null","1994","1","3","1","0","1073-0516","CS","G121","English","1"
"23","ACM Transactions on Computer-Human Interaction","ACM","Papers: A Framework for Undoing Actions in Collaborative Systems, Reaching for Objects in VR Displays, HyperActive: Extending an Open Hypermedia Architecture to Support Agency.","12","null","1994","1","4","1","0","1073-0516","CS","G121","English","1"
"24","ACM Transactions on Computer-Human Interaction","ACM","Papers: Coupling the User Interfaces of a Multiuser Program/ Developing a Reflective Model of Collaborative Systems/ User Interface Software Tools","3","null","1995","2","1","1","0","1073-0516","CS","G121","English","1"
"25","ACM Transactions on Computer-Human Interaction","ACM","Papers: Chiron-1: A Software Architecture for User Interface Development, Maintenance, and Run-TimeSupport/ Relief from the Audio Interface Blues: Expanding the Spectrum of Menu, List, and Form Styles","4","null","1995","2","2","1","0","1073-0516","CS","G121","English","1"
"26","ACM Transactions on Computer-Human Interaction","ACM","Special Issue on Virtual Reality Software and Technology","9","null","1995","2","3","1","0","1073-0516","CS","G121","English","1"
