"Title","Theme","FirstName1","MiddleName1","LastName1","FirstName2","MiddleName2","LastName2","FirstName3","MiddleName3","LastName3","Topic1","Topic2","Topic3","Category","Publisher","PublicationYear","ISBN","CoverType","Origin","Shelf","CopiesNo","PhotocopiesNo","Available"
"Remote Cooperation: CSCW Issues for Mobile and Teleworkers","Remote Cooperation: CSCW Issues for Mobile and Teleworkers  addresses this issue by looking at the technological and social background to the problem and presenting case studies of remote working and learning in practice","Alan","","Dix","Russell","","Beale","","","","Cooperation","","","book","Springer","1996","3540760350","paperback","cs","","1","0","1"
"The Biology and Technology of Intelligent Autonomous Agents","Proceedings of the NATO Advanced Study Institute on the Biology and Technology of Intelligent Autonomous Agents, held in Castel Invano, Trento, Italy, March 1-12, 1993","Luc","","Steels","","","","","","","Intelligent Agents","","","proceedings","Springer","1995","3540590528","hardcover","cs","","1","0","1"
"Learning in Man-Computer Interaction, A Review of the Literature","Research Reports, ESPRIT, Project 385, HUFIT, Volume 1","Tom","","Bosser","","","","","","","Human-Computer Interaction","","","book","Springer-Verlag","1987","0387183914","paperback","cs","","1","0","1"
"Multimedia and Groupware for Editing","Multimedia techniques enable the production of non-traditional documents containing enormous amounts of information. The production of such documents by a group, as opposed to an individual, is the main subject of this book","Adelino","","Santos","","","","","","","Multimedia","Groupware","","book","Springer","1995","3540600019","hardcover","cs","","1","0","1"
"Knowledge-Based Systems: Fundamentals and Tools","A collection of papers concerning the reaserch upon Knowledge-Based Systems","Oscar","N.","Garcia","Yi-Tzuu","","Chien","","","","Knowledge-Based Systems","","","book","IEEE Computer Society Press","1992","0818619244","paperback","cs","","1","0","1"
"Proceedings of the Eleventh National Conference on Artificial Intelligence","Proceedings of the Eleventh National Conference on Artificial Intelligence, July 11-15, 1993, Washington. Each year the National Conference on Artificial Intelligence (NCAI) is the primary large scale forum in the United States where the highest quality new research in Artificial Intelligence (AI) is presented and discussed.","","","American Association for Artificial Intelligence","","","","","","","Artificial Intelligence","","","book","AAAI Press","1993","0262610715","paperback","cs","","1","0","1"
"Computer Science Today, Recent Trends and Developments","Computer Science Today presents a unique collection of expository papers on major topics that are representative for computers science today.","Jan van","","Leeuwen","","","","","","","Computer Science","","","book","Springer","1995","3540601058","paperback","cs","","1","0","1"
"Multimedia '96","Proceedings of the Eurographics Workshop in Rostock, Federal Republic of Germany, May 28-30, 1996","Bodo","","Urban","","","","","","","Multimedia","","","proceedings","Springer Wien New York","1996","3211828761","paperback","cs","","1","0","1"
"Digital Libraries, Research and Technology Advances","ADL '95 Forum, McLean, Virginia, USA, May 15-17, 1995. Selected Papers.","Nabil","R.","Adam","Milton","","Halem","Yelena","","Yesha","Digital Libraries","","","proceedings","Springer","1996","3540614109","paperback","cs","","1","0","1"
"Systematic Reuse: Issues in Initiating and Improving a Reuse Program","Proceedings of the International Workshop on Systematic Reuse, Liverpool, 8-9 January 1996","Marjan","","Sarshar","","","","","","","Systematic Reuse","","","proceedings","Springer","1996","3540760121","paperback","cs","","1","0","1"
"Intelligent Agents II, Agent Theories, Architectures, and Languages","IJCAI'95 Workshop (ATAL) Montreal, Canada, August 19-20, 1995","Michael","","Wooldridge","Jorg","P.","Muller","Milind","","Tambe","Intelligent Agents","","","proceedings","Springer","1996","3540608052","paperback","cs","","1","0","1"
"Information and Communication Technologies in Tourism","Proceedings of the International Conference in Innsbruck, Austria, 1996","Stefan","","Klein","Beat","","Schmid","A min","","Tjoa","Information Technologies","","","proceedings","Springer Wien New York","1996","3211827986","paperback","cs","","1","0","1"
