"NewsletterID","Title","Publisher","Theme","StartMonth","EndMonth","Year","Volume","Number","Copies","Photocopies","ISSN","Subscriber","Shelf"
"1","Engineering Management Society","ACM","AAAS panel on Networks Access","1","null","1994","37","1","1","0","","CS","CS-LIB"
"2","ACMMEMBERNET","ACM","Commentary Keeping Up with the Times, ACM Computing Week: A Unifying Event","2","null","1995","38","2","1","0","","CS","Γ122"
"3","ACMMEMBERNET","ACM","Electronic production begins at Headquarters. SIGMultimedia plans its third international conference. Japanese chapter works with industry","5","null","1995","38","5","1","0","","CS","Γ122"
"4","ACMMEMBERNET","ACM","Commentary Crossroads: ACM's First Electronic Publication","8","null","1995","38","8","1","0","","CS","Γ122"
"5","ACMMEMBERNET","ACM","Commentary 50th Anniversary Special Events at ACM Computing Week '96","11","null","1995","38","11","1","0","","CS","Γ122"
"6","ACMMEMBERNET","ACM","Commentary Franz Alt Remembers the Early Years of Computing and the Creation of ACM/ Computing Week 96 Ushers in ACM's 50th Anniversary","2","null","1996","39","2","1","0","","CS","Γ122"
"7","ACMMEMBERNET","ACM","Commentary Monty Newborn and Yasser Seirawan Reflect of ACM Chess Challenge/ Berkeley Wins ACM Collegiate Programming Contest","5","null","1996","39","5","1","0","","CS","Γ122"
"8","ACMMEMBERNET","ACM","ACM's Group Insurance Program expands services/ Publications continue to pursue new directions/ New Electronic Services Working Group is formed.","8","null","1996","39","8","1","0","","CS","Γ122"
"9","Assistive Technology","Open IT Developments","Information, Analysis and News on current developments in Rehabilitation Technology in Europe.","4","null","1992","","1","1","0","","δείγμα",""
"10","BCS Disabled Specialist Group","The British Computer Society (BCS)","","1","null","1986","","","1","0","","δείγμα","G122"
"11","BCS Disabled Specialist Group","The British Computer Society (BCS)","","1","null","1988","","","1","0","","δείγμα","G122"
"12","BCS Disabled Specialist Group","The British Computer Society (BCS)","","7","null","1988","","","1","0","","δείγμα","G122"
"13","BCS Disabled Specialist Group","The British Computer Society (BCS)","","1","null","1989","","","1","0","","δείγμα","G122"
"14","BCS Disabled Specialist Group","The British Computer Society (BCS)","","14","null","1989","","","1","0","","δείγμα","G122"
"15","BCS Disabled Specialist Group","The British Computer Society (BCS)","","16","null","1990","","","1","0","","δείγμα","G122"
"16","BCS Disabled Specialist Group","The British Computer Society (BCS)","","14","null","1990","","","1","0","","δείγμα","G122"
"17","BCS Disabled Specialist Group","The British Computer Society (BCS)","","13","null","1990/91","","","1","0","","δείγμα","G122"
"18","BCS Disabled Specialist Group","The British Computer Society (BCS)","","15","null","1991","","","1","0","","δείγμα","G122"
"19","Biomedical & Health Research","European Commission DG XII","Leading Article: A Challenge for Research and Health Policy in Europe","12","null","1993","4","3","1","0","","δείγμα","G122"
"20","Biomedical & Health Research","European Commission DG XII","Leading Article: Looking Forward to the Next Biomedical and Health Reserach Programme","7","null","1994","5","1","1","0","","δείγμα","G122"
"21","BRITISH NEWSLETTER","Blissymbolic Communication Institute","North Staffordshire Bliss User's Association/Combine Quiz/A Classroom View/Bliss Class/Combine Quiz Answers/Blissapple/Fable in Symbols","1","null","1983","","11","1","0","","δείγμα","CS-LIB"
"22","Bulletin D' Information","Croix-Rouge De Belgique CEPIATH","Service des aides aux personnes Handicapees","null","null","1994","","72","1","0","","δείγμα",""
"23","Computer Systems Technical Group Bulletin","Human Factors and Ergonomics Society","This bulletin is concerned with the human factors aspects of interactive computer systems, especially user interface design issues.","8","null","1995","","","1","0","","CS",""
"24","Computer Systems Technical Group Bulletin","Human Factors and Ergonomics Society","In this issue our TG Chair, discusses the current stutus of the TG and raises some important issues about future directions","8","null","1996","","","1","0","","CS",""
"25","Computers and their Users","Association of Paediatric Chartered Physiotherapists","Computers-A New Treatment Tool/Report on MSC/Computer Associated Work with the Multipy Handicapped/Electronics and REMAP/From Wheelchair Toddler to Turbo-powered Schoolgirl/Equipment","11","null","1985","","37","1","0","","δείγμα","BOX BLISS-"
"26","CORDIS Focus RTD Results","European Commission","Industry and Technology: Materials / Design & Manufacturing /Transport","12","null","1994","","4","1","0","10226559","CS","G121"
"27","CORDIS Focus RTD Results","European Commission","Industry and Technology, Energy, Biological Sciences, Protecting Man and his Environment, Agricultural and Marine Resources and Products, Measurements and Standards, Physical and Exact Sciences, Social and Economic Concerns.","3","null","1995","","5","1","0","10226559","CS","G121"
"28","CORDIS Focus RTD Results","European Commission","Industry and Technology, Energy, Biological Sciences, Protecting Man and his Environment, Agricultural and Marine Resources and Products, Measurements and Standards, Physical and Exact Sciences, Social and Economic Concerns.","6","null","1995","","6","1","0","10226559","CS","G121"
"29","CORDIS Focus RTD Results","European Commission","Industry and Technology, Energy, Biological Sciences, Protecting Man and his Environment, Agricultural and Marine Resources and Products, Measurements and Standards, Physical and Exact Sciences, Social and Economic Concerns.","10","null","1995","","7","1","0","10226559","CS","G121"
"30","CORDIS Focus RTD Results","European Commission","Environmentally friendly vehicle technologies/ Flexible and clean manufacturing-machine tools","11","null","1995","","8","1","0","10226559","CS","G121"
