"JournalID","Title","Publisher","Theme","StartMonth","EndMonth","Year","Volume","Number","CopiesNo","PhotocopiesNo","ISSN","Subscriber","Shelf","Language","Available"
"17","Ability","British Computer Society Disability Programme","Visual Language Centre/Virtual Reality/Rehabilitation Robotics/7th Annual Conference Programme","16","null","1991","0","1","1","0","","δείγμα","GUIB-LIB","English","1"
"18","Ability","British Computer Society Disability Programme","Sound and Vision Issue: GUIs among the Blind/Making Sense of the Patterns of Speech/British HCI Conference.","14","null","1991","0","2","1","0","","δείγμα","GUIB-LIB","English","1"
"19","ACE (ADVANCED COMPUTER ENTERTAINMENT)","EMAP B&CP","Hyperguide: Hypermedia, Hypergames, hyperconfused, hyperexplained","3","null","1990","0","30","1","0","","δείγμα","CS-LIB","English","1"
"31","Acta Psychological International Journal of Psychonomics","Elsevier Science B.V.","Acta Psychological publishes original papers on experimental studies, as well as theoretical and review articles, in human experimental psychology.","6","null","1994","86","1","1","0","0001-6918","δείγμα","G122","English","2"
"32","ADVANCED INFORMATION SYSTEMS","Intellect","Computer Animation, Connectionism as a Software-Engineering Paradigm, Computer Assisted Language Learning, A Critical Assessment of Linguistics.","1","null","1993","1","1","1","0","0963-6013","δείγμα","G122","English","1"
"33","ALTERNATIVELY SPEAKING","Augmentative Communication, Inc.","The Internet and AAC/ Speaking Out Through On-Line Services/ Kids in Cyberspace/ Resources to Get you Surfing/ What Can Kids Do on the Internet?","10","null","1995","2","3","1","0","1075-3982","CS","G123","English","1"
"34","ALTERNATIVELY SPEAKING","Augmentative Communication, Inc.","Talking About Us/ This Is Entertainment?/ Tips from Lenny/ Words about Words/ What Is Normal?","12","null","1995","2","4","1","0","1075-3982","CS","G123","English","1"
"35","Artificial Intelligence","Elsevier Science B.V.","Planning with Constraints, Planning and Meta-Planning, Modelling Student's Problem Solving","5","null","1981","16","1","1","0","0004-3702","δείγμα","CS-LIB","English","1"
"36","Artificial Intelligence","Elsevier Science B.V.","Papers: Motivated action theory: a formal theory of causal reasoning/ Downward refinement and the efficiency of hierarchical problem solving","11","null","1994","71","1","1","0","0004-3702","δείγμα","CS-LIB","English","1"
"40","Augmentative Communication News","Augmentative Communication, Inc.","Clinical News/Equipment/Governmental/University & Research","11","null","1992","5","6","1","0","0897-9278","δείγμα","G123","English","1"
"41","Augmentative Communication News","Augmentative Communication, Inc.","This issue focuses on the design and construction  of communication displays for low tech devices.","3","null","1993","6","1","0","1","0897-9278","δείγμα","G123","English","1"
"42","Augmentative Communication News","Augmentative Communication, Inc.","Clinical News: Augmentative Communication across the life span in AS/ Equipment: Low and high tech strategies across the life span","6","null","1995","8","3","0","1","0897-9278","CS","G123","English","1"
"43","Augmentative Communication News","Augmentative Communication, Inc.","Building Consensus: Brainstorming & Storyboarding: Communication needs, skills, abilities, goals and more","9","null","1995","8","4","1","0","0897-9278","CS","G123","English","1"
"44","Augmentative Communication News","Augmentative Communication, Inc.","University & Research/ Technology and inclusion/ Introducing AAC to classmates","10","null","1995","8","5","1","0","0897-9278","CS","G123","English","1"
"45","Augmentative Communication News","Augmentative Communication, Inc.","Inclusive education: The legal test/ Helping: the right kind/ Using technology to support inclusion","12","null","1995","8","6","1","0","0897-9278","CS","G123","English","1"
"46","VIRTUAL REALITY SYSTEMS","Augmentative Communication, Inc.","Clinical News: AAC strategies and approaches","1","2","1996","9","1","1","0","0897-9278","CS","G123","English","1"
"47","Augmentative Communication News","Augmentative Communication, Inc.","For Consumers The third thirty: Keep on Communicating!/ Clinical News Who can benefit? Storytelling and poetry/ Equipment Making technology use friendly","3","4","1996","9","2","1","0","0897-9278","CS","G123","English","1"
"48","BBC ACORN USER","Redwood Publishing","Education Key Software for geography in the classroom","2","null","1990","0","91","1","0","0263-7456","δείγμα","CS-LIB","English","1"
"49","BEHAVIOUR & INFORMATION TECHNOLOGY","Taylor & Francis","1. Automatic speech recognition 2. Use of flexible voice output techniques for machine-man communication.","4","6","1984","3","2","1","0","0144-929X","δείγμα","G122","English","1"
"50","BEHAVIOUR & INFORMATION TECHNOLOGY","Taylor & Francis","Special Issue: Usability Laboratories","1","4","1994","13","1&2","1","2","0144-929X","δείγμα","G122","English","1"
"171","CAD/CAM & Graphics","COMPUPRESS","Κεντρικό αφιέρωμα αυτού του τεύχους είναι, τα Πληροφοριακά συστήματα ή GIS","17","null","1992","0","2","1","0","","δείγμα","G122","Ελληνικό","1"
"172","COGNITION","Elsevier Science B.V.","Papers: Soar and the case for unified theories of cognition/ Phonological recording and self-teaching: sine quanon of reading acquisition","5","null","1995","55","2","1","0","0010-0277","δείγμα","G122","English","1"
"207","COMMUNICATIONS INTERNATIONAL","Northern Telecom","Telecom 91: Telecommunications in the 1990s","10","null","1991","18","10","1","0","0305-2109","δείγμα","CS-LIB","English","1"
"261","COMPUTER GRAPHICS WORLD","PennWell","Tools for Designing Dream Machines, Mapping Business Strategies, Virtual Reality Check, A Painter's Oasis","6","null","1991","14","6","1","0","-027-4159","CS","CS-LIB","English","1"
"262","COMPUTER GRAPHICS WORLD","PennWell","Scientific Visualization, Rediscovering the Outer Planets, Evironmental Protection, Music and Motion","7","null","1991","14","7","1","0","-027-4159","CS","CS-LIB","English","1"
"263","COMPUTER GRAPHICS WORLD","PennWell","CD-ROM publishing, Interactive Magazines, Desktop Package Design, Modern Mapmakers","8","null","1991","14","8","1","0","-027-4159","CS","CS-LIB","English","1"
"264","COMPUTER GRAPHICS WORLD","PennWell","Color Scanners","9","null","1991","14","9","1","0","-027-4159","CS","CS-LIB","English","1"
"265","COMPUTER GRAPHICS WORLD","PennWell","The Art of 3D Painting, Geographic Information Systems (GIS)","10","null","1991","14","10","1","0","-027-4159","CS","CS-LIB","English","1"
