"PaperID","CnfJ","Project","Topic","Description","Title","Year","SoftCopy","HardCopy","Link","Accepted","CondAccepted","Submitted","UndSubmission","InPress","FullPaper","Abstract"
"12","International Journals","","Communication Aids","International Journal of Bio-Medical Computing, vol. 17, pp. 177-184","An Interactive aid for expressive communication with pictographic symbols","1985","FALSE","TRUE","null","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"13","International Journals","","Human-Computer Interaction","International Journal of Man-Machine Studies, vol. 27, pp. 401-412","Human-Computer Interaction in the provision of an inter-personal communication for non-vocal","1987","FALSE","TRUE","null","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"14","International Journals","","Communication Aids","International Journal of Biomedical Computing, vol. 23, pp. 177-189","An evaluation of the Information Interface in the design of computer-based aids for expressive communication","1988","FALSE","TRUE","null","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"16","International Journals","TIDE-CORE","Assistive Technology","International Journal of Rehabilitation Research, 17(3), pp 201-214.","Rehabilitation Technology product  taxonomy: a conceptual tool for analysing products abd extracting demand teterminants","1994","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@15fc442","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"17","International Journals","TIDE-CORE","Innovation","International Journal of Rehabiliation Research, 18(3), pp. 225-243","On the impediments to innovation in the European Assistive Technology Industry","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@3f3c7bdb","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"19","International Journals","TIDE-CORE","Technology Transfer","International Journal of Rehabilitation Research, 20(2), pp.189-192.","The Transfer of  Tecnology towards the European Assisitive Technology Industry: Current Impediments and Future Opportunities (submitted for peer review and publication","1997","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@456abb66","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21","International Journals","TIDE-CORE","Technology Transfer","Assistive Technology Journal, 9(1), pp. 34-46","Transferring technology towards the European AT Industry: Mechanisms and Implications","1997","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@2a3a299","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"22","International Journals","TIDE-ACCESS","User Interface Design","International Journal of Human-Computer Interaction, vol. 9(3), 1997, pp.283-317.","Preference-based Human Factors Knowledge Repository for Designing  User Interfaces","1997","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@7da10b5b","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"27","Proceedings of other established international conferences","TIDE-GUIB","Accessibility","1st European Conference on the Advancement of Rehabilitation Technology (ECART- 1), Maastricht, The Netherlands, November 1990, 2 pages","Accessibility of WIMPS-based User Interfaces by Visually Impaired People","1990","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@219f4597","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"29","Proceedings of other established international conferences","","Accessibility","European Conference on Bio-Medical Engineering, Nice, France, February 1991, 2 pages","Technology and Access to Pictorial Information by Blind People","1991","FALSE","TRUE","null","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
