"SwitchboardID","ItemNumber","ItemText","Command","Argument"
"1","0","Main Switchboard","0","Default"
"1","1","Books","3","Books"
"1","2","Journals","3","Journals"
"1","3","Newsletters/Bulletin","3","Newsletters"
"1","4","Papers","3","Papers"
"1","5","Orders","3","Orders"
"1","6","Readers","1","2"
"1","7","Exit Application","6",""
"2","0","Readers","0",""
"2","1","Books","3","ReaderBooks"
"2","2","Journals","3","ReaderJournals"
"2","3","Newsletters/Bulletin","3","ReaderNewsletters"
"2","4","Return to Main Switchboard","1","1"
