"BookID","Title","Theme","Category","Publisher","PublicationYear","ISBN","CoverType","Origin","Shelf","CopiesNo","FotocopiesNo","Includes"
"1","Rhythm, Play and Interaction","Computer supplies, Software, Office furniture, Equipment Catalogue 22","directory","","","","paperback","CS","G123","1","0",""
"2","Action Computer Suppliers-Software-Office Furniture-Equipment-Catalogue 28","Computer supplies, Software, Office furniture, Equipment Catalogue 28","directory","","","","paperback","CS","G123","1","0",""
"3","Artificial Intelligence on CD-ROM","DOS USER Instructions","manual","Network Cybernetics Corporation","1993","","διαφάνεια","RTI Lab.","CS-LIB","1","0",""
"4","Broadband Islands 1993 Conference Proceedings","Proceeedings of the Second International Conference held in Athens, Greece on June 15-16, 1993","proceedings","RACE II Project EuroBridge","1993","","paperback","CS","G121","1","0",""
"5","Computers and the Disabled What Needs To Be Done;","This report concerns computers and the disabled persons.","report","The British Computer Society Health Informatics Specialist Groups","1985","","paperback","CS","G123","1","0",""
"8","Directory of Human Factors Graduate Programs in the United States and Canada","The purpose of this directory is to supply prospective graduate students with information to help them make a preliminary selection of graduate programs for further consideration.","directory","Human Factors and Ergonomics Society","1994","","paperback","CS","G122","1","0",""
"9","Electronic Displays'83 and Information Display Systems Session 1","This volume is one of three covering the proceedings of the Electronic Displays'83 Conference","proceedings","Network Events","1983","0907634257","paperback","CS","G121","1","0",""
"10","Electronic Displays'83 and Information Display Systems Session 2","This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.","proceedings","Network Events","1983","0907634265","paperback","CS","G121","1","0",""
"11","Electronic Displays'83 and Information Display Systems Session 3","This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.","proceedings","Network Events","1983","0907634273","paperback","CS","G121","1","0",""
"12","Ergonomics Course - HUFIT 'TAP' EXERCISE","This document describes, in summary form, some opinions gathered from interviews with potential users of the TAP system.","lecture notes","","","","spiral","CS","G121","0","1",""
"13","Ergonomics Course - Muscular Work","1.1 Physiological principles 1.2. Static muscular effort 2. Nervous control of movements 3. Improving work efficiency 4. Problems of body size 5. The design of workstations","lecture notes","","","","spiral","CS","G121","0","1",""
"14","Ergonomics Course - Specialist Methods of Information-Gathering","Questionnaires, System walk-through, Formal observation, User diaries, System logging, Task analysis, Comparative testing, Company records.","lecture notes","","","","spiral","CS","G121","0","1",""
"15","Fifth International World Wide Web Conference Tutorial Notes","This Tutorial Notes volume contains written notes for the WWW5 tutorial presentations.","tutorial","O'Reilly & Associates","1996","","spiral","CS","G117","0","1",""
"16","FRIEND21 Human Interface Architecture Guidelines","This report compiles the results of research and development of the future Personalized Information Envitonment Development Project","report","Institute for Personalized Information Environment","1995","","paperback","CS","","3","0",""
"17","Grammatik 5 Creating a Custom Style Guide with the Rule Designer","This manual provides ideas and examples of how you can use Grammatik to create useful custom style guides.","manual","Reference Software International","1992","","paperback","3Π37","RACE-LIB","1","0",""
"18","Grammatik 5 User's Guide","This manual is dedicated to helping you improve your writing and increase your productivity.","manual","Reference Software International","1992","","paperback","3Π37","RACE-LIB","1","0",""
"19","Human Factors Author's Guide","This guide has been edited to assist authors in preparating manuscripts in the style required for publication in the journal ""Human Factors"".","guide","Human Factors and Ergonomics Society","1994","","paperback","CS","G122","1","0",""
"20","Innovative Ideen","Είναι ένας κατάλογος απο τεχνητά βοηθήματα","directory","Clean Concept","1993","","ντοσιέ","CS","GROUP-LIB","1","0",""
