"JournalsReaderID","JournalID","ReaderID","DateIssued","ReturnedDate"
"11","2185","8","1997-03-15 00:00:00.0","1997-08-05 00:00:00.0"
"14","2196","8","1997-03-15 00:00:00.0","1997-08-05 00:00:00.0"
"17","1513","8","1997-03-24 00:00:00.0","1997-08-05 00:00:00.0"
"18","2223","8","1997-03-24 00:00:00.0","1998-08-05 00:00:00.0"
"22","2192","15","1997-03-28 00:00:00.0","null"
"23","2220","15","1997-03-28 00:00:00.0","1997-04-15 00:00:00.0"
"25","233","15","1997-04-02 00:00:00.0","1997-04-15 00:00:00.0"
"27","2248","15","1997-04-17 00:00:00.0","null"
"29","2269","15","1997-05-07 00:00:00.0","1997-05-21 00:00:00.0"
"31","2309","15","1997-06-11 00:00:00.0","null"
"33","123","15","1997-06-12 00:00:00.0","null"
"34","2333","7","1997-07-04 00:00:00.0","null"
"36","124","15","1997-07-07 00:00:00.0","null"
"37","2339","15","1997-07-10 00:00:00.0","null"
"41","2343","15","1997-07-23 00:00:00.0","null"
"42","2344","15","1997-07-23 00:00:00.0","1997-08-04 00:00:00.0"
"50","2227","7","1997-03-28 00:00:00.0","1997-08-13 00:00:00.0"
"51","2346","15","1997-07-23 00:00:00.0","1997-09-02 00:00:00.0"
"52","2379","15","1997-08-07 00:00:00.0","1997-09-04 00:00:00.0"
"53","2378","15","1997-08-07 00:00:00.0","1997-09-08 00:00:00.0"
"54","2415","15","1997-09-08 00:00:00.0","1997-09-22 00:00:00.0"
"55","2316","18","1997-07-14 00:00:00.0","1997-10-13 00:00:00.0"
"56","2269","18","1997-07-14 00:00:00.0","1997-10-13 00:00:00.0"
"57","2448","25","1997-10-09 00:00:00.0","1997-10-27 00:00:00.0"
"58","2498","15","1997-11-17 00:00:00.0","1997-11-25 00:00:00.0"
"59","2512","15","1997-12-01 00:00:00.0","1997-12-03 00:00:00.0"
"60","2433","15","1997-09-24 00:00:00.0","1997-12-03 00:00:00.0"
"61","2491","15","1997-11-17 00:00:00.0","1997-12-10 00:00:00.0"
"62","2520","25","1997-12-03 00:00:00.0","1998-02-11 00:00:00.0"
"63","2451","25","1997-12-03 00:00:00.0","1998-02-11 00:00:00.0"
"64","2576","25","1998-01-09 00:00:00.0","1998-02-17 00:00:00.0"
"65","1514","8","1997-10-16 00:00:00.0","1998-02-24 00:00:00.0"
"66","2319","8","1997-10-16 00:00:00.0","1998-02-24 00:00:00.0"
"67","2498","18","1997-11-25 00:00:00.0","1998-12-24 00:00:00.0"
"68","1510","4","1997-08-21 00:00:00.0","1998-03-11 00:00:00.0"
"70","2379","18","1998-02-15 00:00:00.0","1998-03-19 00:00:00.0"
"71","2498","18","1998-02-15 00:00:00.0","1998-03-19 00:00:00.0"
"72","1424","7","1997-11-13 00:00:00.0","1998-03-31 00:00:00.0"
"73","2378","7","1997-08-07 00:00:00.0","1998-03-31 00:00:00.0"
"74","2491","7","1997-11-17 00:00:00.0","1998-03-31 00:00:00.0"
"75","2658","15","1998-03-30 00:00:00.0","1998-04-01 00:00:00.0"
"76","2060","15","1998-09-08 00:00:00.0","1998-12-01 00:00:00.0"
"77","2448","15","1998-09-08 00:00:00.0","1998-12-01 00:00:00.0"
"78","2491","15","1998-09-08 00:00:00.0","1998-12-01 00:00:00.0"
"79","2853","15","1998-09-22 00:00:00.0","1998-12-01 00:00:00.0"
"80","2817","15","1998-08-24 00:00:00.0","1999-01-11 00:00:00.0"
"81","3006","10","1999-01-28 00:00:00.0","1999-04-28 00:00:00.0"
"82","3034","15","1999-02-19 00:00:00.0","1999-06-16 00:00:00.0"
"83","3475","8","2000-05-22 00:00:00.0","2000-06-13 00:00:00.0"
"84","3415","8","2000-05-22 00:00:00.0","2000-06-13 00:00:00.0"
"85","3185","8","1999-12-03 00:00:00.0","2000-09-13 00:00:00.0"
"86","3347","15","2000-04-21 00:00:00.0","2001-01-15 00:00:00.0"
"87","3601","15","2000-09-13 00:00:00.0","2001-01-15 00:00:00.0"
"88","3604","15","2000-09-13 00:00:00.0","2001-01-15 00:00:00.0"
"89","3603","15","2000-09-13 00:00:00.0","2001-01-15 00:00:00.0"
"90","3843","15","2001-05-25 00:00:00.0","2001-07-10 00:00:00.0"
"91","3597","15","2000-09-13 00:00:00.0","2001-07-10 00:00:00.0"
"92","3600","15","2000-09-13 00:00:00.0","2001-07-10 00:00:00.0"
"93","3054","15","1999-03-29 00:00:00.0","2001-07-10 00:00:00.0"
"94","3144","15","1999-05-27 00:00:00.0","2001-07-10 00:00:00.0"
"95","3816","15","2001-05-10 00:00:00.0","2001-07-23 00:00:00.0"
"96","3157","73","2001-08-02 00:00:00.0","2002-11-19 00:00:00.0"
"97","3314","73","2001-08-02 00:00:00.0","2002-11-19 00:00:00.0"
"98","3365","73","2001-08-02 00:00:00.0","2002-11-19 00:00:00.0"
"99","3314","37","2003-09-08 00:00:00.0","2003-09-08 00:00:00.0"
"100","3365","37","2003-09-08 00:00:00.0","2003-09-08 00:00:00.0"
