"BooksReaderID","BookID","ReaderID","DateIssued","ReturnedDate","Type"
"64","2615","7","1997-07-09 00:00:00.0","null","Copy"
"65","2627","22","1997-07-17 00:00:00.0","null","Copy"
"67","2628","22","1997-07-21 00:00:00.0","null","Copy"
"68","2223","22","1997-07-22 00:00:00.0","null","Copy"
"69","125","22","1997-07-22 00:00:00.0","null","Copy"
"70","1608","22","1997-07-22 00:00:00.0","null","Copy"
"80","2642","22","1997-07-24 00:00:00.0","null","Copy"
"81","2640","22","1997-07-24 00:00:00.0","null","Copy"
"88","2630","10","1997-07-23 00:00:00.0","null","Photocopy"
"89","2655","22","1997-07-29 00:00:00.0","null","Copy"
"93","2657","22","1997-07-31 00:00:00.0","null","Copy"
"103","2674","22","1997-08-11 00:00:00.0","null","Copy"
"117","2723","8","1997-10-02 00:00:00.0","null","Copy"
"123","2697","11","1997-10-15 00:00:00.0","null","Copy"
"124","2693","11","1997-10-15 00:00:00.0","null","Copy"
"137","2522","8","1997-10-20 00:00:00.0","null","Copy"
"138","1178","23","1997-10-30 00:00:00.0","null",""
"145","668","22","1997-11-27 00:00:00.0","null","Copy"
"179","2834","8","1998-07-17 00:00:00.0","null","Copy"
"186","2695","7","1998-06-01 00:00:00.0","null","Copy"
"187","913","7","1998-06-01 00:00:00.0","null","Copy"
"197","2845","8","1998-08-28 00:00:00.0","null","Copy"
"199","2740","7","1998-09-07 00:00:00.0","null","Copy"
"202","2735","7","1998-09-07 00:00:00.0","null","Copy"
"204","2409","7","1998-09-07 00:00:00.0","null","Copy"
"205","2737","7","1998-09-07 00:00:00.0","null","Copy"
"209","2567","7","1998-09-07 00:00:00.0","null","Copy"
"210","2729","7","1998-09-07 00:00:00.0","null","Copy"
"216","2831","7","1998-09-07 00:00:00.0","null","Copy"
"231","2856","8","1998-10-29 00:00:00.0","null","Copy"
"232","2860","7","1998-10-30 00:00:00.0","null","Copy"
"237","2853","7","1998-10-30 00:00:00.0","null","Copy"
"240","2888","8","1998-11-16 00:00:00.0","null","Copy"
"242","2886","8","1998-11-16 00:00:00.0","null","Copy"
"245","2392","8","null","null",""
"246","2895","8","1998-11-20 00:00:00.0","null","Copy"
"251","2913","22","1998-11-27 00:00:00.0","null","Copy"
"258","2934","22","1999-01-25 00:00:00.0","null","Copy"
"259","2578","32","1999-01-25 00:00:00.0","null","Copy"
"262","2945","22","1999-02-19 00:00:00.0","null","Copy"
"267","2959","8","1999-03-30 00:00:00.0","null","Copy"
"268","2953","8","1999-03-30 00:00:00.0","null","Copy"
"272","810","11","1999-06-03 00:00:00.0","null","Copy"
"273","2971","7","1999-06-18 00:00:00.0","null","Copy"
"275","2862","8","1999-06-23 00:00:00.0","null","Copy"
"286","2976","7","1999-07-23 00:00:00.0","null","Copy"
"288","2986","22","1999-08-30 00:00:00.0","null","Copy"
"289","2983","22","1999-08-30 00:00:00.0","null","Copy"
"290","2982","22","1999-08-30 00:00:00.0","null","Copy"
"291","2981","22","1999-08-30 00:00:00.0","null","Copy"
"292","2980","22","1999-08-30 00:00:00.0","null","Copy"
"293","2979","22","1999-08-30 00:00:00.0","null","Copy"
"294","2978","22","1999-08-30 00:00:00.0","null","Copy"
"295","2977","22","1999-08-30 00:00:00.0","null","Copy"
"327","1822","37","1999-09-24 00:00:00.0","null","Copy"
"328","2997","7","1999-10-12 00:00:00.0","null","Copy"
"337","2916","8","1999-12-13 00:00:00.0","null","Copy"
"351","1817","43","2000-01-28 00:00:00.0","null","Copy"
"371","2719","48","2000-09-01 00:00:00.0","null","Photocopy"
"374","2718","10","2000-09-13 00:00:00.0","null","Photocopy"
"378","2156","54","2000-09-28 00:00:00.0","null","Copy"
"394","2987","59","2000-12-19 00:00:00.0","null","Copy"
"398","3146","18","2001-01-19 00:00:00.0","null","Copy"
"399","3147","18","2001-01-19 00:00:00.0","null","Copy"
"404","3155","59","2001-02-02 00:00:00.0","null","Copy"
"407","3049","54","2001-02-14 00:00:00.0","null","Copy"
"408","3050","54","2001-02-14 00:00:00.0","null","Copy"
"409","3034","54","2001-02-14 00:00:00.0","null","Copy"
"410","60","54","2001-02-14 00:00:00.0","null","Copy"
"419","934","55","2001-03-27 00:00:00.0","null","Copy"
"436","3220","8","2001-05-31 00:00:00.0","null","Copy"
"437","3219","8","2001-05-31 00:00:00.0","null","Copy"
"460","3232","8","2001-08-02 00:00:00.0","null","Copy"
"461","396","8","2001-08-02 00:00:00.0","null","Copy"
"462","3233","8","2001-08-02 00:00:00.0","null","Copy"
"463","3235","8","2001-08-02 00:00:00.0","null","Copy"
"464","3231","8","2001-08-02 00:00:00.0","null","Copy"
"466","2799","8","2001-08-02 00:00:00.0","null","Copy"
"468","2373","8","2001-08-02 00:00:00.0","null","Copy"
"470","2696","8","2001-08-02 00:00:00.0","null","Copy"
"476","2964","8","2001-08-02 00:00:00.0","null","Copy"
"490","3237","8","2001-09-06 00:00:00.0","null","Copy"
"498","182","8","2001-12-06 00:00:00.0","null","Copy"
"499","1021","8","2001-12-06 00:00:00.0","null","Copy"
"500","962","8","2001-12-06 00:00:00.0","null","Copy"
"501","1608","8","2001-12-06 00:00:00.0","null","Copy"
"505","3283","11","2002-01-11 00:00:00.0","null","Copy"
"506","3230","11","2001-01-11 00:00:00.0","null","Copy"
"510","3258","54","2002-01-22 00:00:00.0","null","Copy"
"512","3298","8","2002-02-20 00:00:00.0","null","Copy"
"513","3294","8","2002-02-20 00:00:00.0","null","Copy"
"514","3297","8","2002-02-20 00:00:00.0","null","Copy"
"515","3292","8","2002-02-20 00:00:00.0","null","Copy"
"516","3293","8","2002-02-20 00:00:00.0","null","Copy"
"517","3299","8","2002-02-20 00:00:00.0","null","Copy"
"518","3296","8","2002-02-20 00:00:00.0","null","Copy"
"521","3274","79","2002-03-21 00:00:00.0","null","Copy"
"522","3307","79","2002-03-21 00:00:00.0","null","Photocopy"
"527","3312","8","2002-03-26 00:00:00.0","null","Copy"
"535","2970","8","2002-05-14 00:00:00.0","null","Copy"
"537","56","8","2002-05-14 00:00:00.0","null","Copy"
"538","2865","8","2002-05-14 00:00:00.0","null","Copy"
"539","889","8","2002-05-14 00:00:00.0","null","Copy"
"540","3228","8","2002-05-14 00:00:00.0","null","Copy"
"546","3319","22","2002-05-28 00:00:00.0","null","Copy"
"547","3319","22","2002-05-28 00:00:00.0","null","Photocopy"
"548","3319","73","2002-05-27 00:00:00.0","null","Photocopy"
"551","3335","10","2002-07-01 00:00:00.0","null","Copy"
"552","3336","10","2002-07-01 00:00:00.0","null","Copy"
"555","3325","43","2002-07-18 00:00:00.0","null","Photocopy"
"558","3342","37","2002-07-23 00:00:00.0","null","Copy"
"560","3344","78","2002-07-24 00:00:00.0","null","Copy"
"562","3346","42","2002-08-23 00:00:00.0","null","Photocopy"
"564","3346","22","2002-08-23 00:00:00.0","null","Copy"
"565","3347","21","2002-08-26 00:00:00.0","null","Copy"
"566","3318","23","2002-08-29 00:00:00.0","null","Photocopy"
"568","3318","42","2002-08-29 00:00:00.0","null","Photocopy"
"583","3378","11","2003-01-20 00:00:00.0","null","Copy"
"584","3377","11","2003-01-20 00:00:00.0","null","Copy"
"585","3376","11","2003-01-20 00:00:00.0","null","Copy"
"586","3374","11","2003-01-20 00:00:00.0","null","Copy"
"587","3373","11","2003-01-20 00:00:00.0","null","Copy"
"588","3372","11","2003-01-20 00:00:00.0","null","Copy"
"592","3391","8","2003-02-06 00:00:00.0","null","Copy"
"593","3390","8","2003-02-06 00:00:00.0","null","Copy"
"595","3300","37","2003-02-14 00:00:00.0","null","Copy"
"606","3344","97","2003-03-05 00:00:00.0","null","Copy"
"629","3093","42","2003-09-22 00:00:00.0","null","Copy"
"630","3087","42","2003-09-22 00:00:00.0","null","Copy"
"631","3119","42","2003-09-22 00:00:00.0","null","Copy"
"632","3122","42","2003-09-22 00:00:00.0","null","Copy"
"633","3082","42","2003-09-22 00:00:00.0","null","Copy"
"634","3088","42","2003-09-22 00:00:00.0","null","Copy"
"637","3457","23","2003-01-14 00:00:00.0","null","Photocopy"
"639","3457","94","2004-01-14 00:00:00.0","null","Photocopy"
"643","2659","42","2004-03-23 00:00:00.0","null","Photocopy"
"645","3462","22","2004-03-24 00:00:00.0","null","Copy"
"646","3463","22","2004-03-24 00:00:00.0","null","Copy"
"651","3468","42","2004-07-14 00:00:00.0","null","Copy"
"652","3468","102","2004-07-14 00:00:00.0","null","Copy"
"658","1176","111","2004-10-25 00:00:00.0","null","Copy"
"659","111","111","2004-10-25 00:00:00.0","null","Copy"
"660","2904","111","2004-10-25 00:00:00.0","null","Copy"
"661","2194","111","2004-10-25 00:00:00.0","null","Copy"
"662","1103","111","2004-10-25 00:00:00.0","null","Copy"
"663","1093","111","2004-10-25 00:00:00.0","null","Copy"
"664","2019","111","2004-10-25 00:00:00.0","null","Copy"
"665","176","111","2004-10-25 00:00:00.0","null","Copy"
"666","1876","111","2004-10-25 00:00:00.0","null","Copy"
"667","2623","111","2004-10-25 00:00:00.0","null","Copy"
"668","2624","111","2004-10-25 00:00:00.0","null","Copy"
"669","466","111","2004-10-25 00:00:00.0","null","Copy"
"670","1585","111","2004-10-25 00:00:00.0","null","Copy"
"671","2619","111","2004-10-25 00:00:00.0","null","Copy"
"672","2620","111","2004-10-25 00:00:00.0","null","Copy"
"673","2621","111","2004-10-25 00:00:00.0","null","Copy"
"674","2622","111","2004-10-25 00:00:00.0","null","Copy"
"675","1794","111","2004-10-25 00:00:00.0","null","Copy"
"676","833","111","2004-10-25 00:00:00.0","null","Copy"
"677","3476","111","2004-10-25 00:00:00.0","null","Copy"
"678","1254","111","2004-10-25 00:00:00.0","null","Copy"
"679","2186","111","2004-10-25 00:00:00.0","null","Copy"
"680","1378","111","2004-10-25 00:00:00.0","null","Copy"
"681","1028","111","2004-10-25 00:00:00.0","null","Copy"
"682","778","111","2004-10-25 00:00:00.0","null","Copy"
"683","3477","111","2004-10-25 00:00:00.0","null","Copy"
"684","973","111","2004-10-25 00:00:00.0","null","Copy"
"685","2069","111","2004-10-25 00:00:00.0","null","Copy"
"686","873","111","2004-10-25 00:00:00.0","null","Copy"
"687","84","111","2004-10-25 00:00:00.0","null","Copy"
"688","2776","111","2004-10-25 00:00:00.0","null","Copy"
"689","903","111","2004-10-25 00:00:00.0","null","Copy"
"690","2420","111","2004-10-25 00:00:00.0","null","Copy"
"691","3478","111","2004-10-27 00:00:00.0","null","Copy"
"692","3480","111","2004-10-27 00:00:00.0","null","Copy"
"693","3479","111","2004-10-27 00:00:00.0","null","Copy"
"694","3481","23","2004-11-01 00:00:00.0","null","Copy"
"695","3482","23","2004-11-01 00:00:00.0","null","Copy"
"702","3317","73","2004-11-17 00:00:00.0","null","Copy"
"706","3485","11","2004-11-30 00:00:00.0","null","Copy"
"719","3486","111","null","null",""
"720","1388","111","2005-01-17 00:00:00.0","null","Copy"
"721","3486","111","2005-01-17 00:00:00.0","null","Copy"
"722","1389","111","2005-01-17 00:00:00.0","null","Copy"
"723","1390","111","2005-01-17 00:00:00.0","null","Copy"
"724","1391","111","2005-01-17 00:00:00.0","null","Copy"
"725","1392","111","2005-01-17 00:00:00.0","null","Copy"
"726","1423","111","2005-01-17 00:00:00.0","null","Copy"
"727","1424","111","2005-01-17 00:00:00.0","null","Copy"
"728","1425","111","2005-01-17 00:00:00.0","null","Copy"
"729","1426","111","2005-01-17 00:00:00.0","null","Copy"
"730","1427","111","2005-01-17 00:00:00.0","null","Copy"
"731","1428","111","2005-01-17 00:00:00.0","null","Copy"
"732","304","111","2005-01-17 00:00:00.0","null","Copy"
"733","314","111","2005-01-17 00:00:00.0","null","Copy"
"734","315","111","2005-01-17 00:00:00.0","null","Copy"
"735","2123","111","2005-01-17 00:00:00.0","null","Copy"
"736","2124","111","2005-01-17 00:00:00.0","null","Copy"
"737","2158","111","2005-01-17 00:00:00.0","null","Copy"
"738","2159","111","2005-01-17 00:00:00.0","null","Copy"
"739","2080","111","2005-01-17 00:00:00.0","null","Copy"
"740","91","111","2005-01-18 00:00:00.0","null","Copy"
"741","92","111","2005-01-18 00:00:00.0","null","Copy"
"742","93","111","2005-01-18 00:00:00.0","null","Copy"
"743","94","111","2005-01-18 00:00:00.0","null","Copy"
"744","2492","111","2005-01-18 00:00:00.0","null","Copy"
"745","2515","111","2005-01-18 00:00:00.0","null","Copy"
"746","323","111","2005-01-18 00:00:00.0","null","Copy"
"747","669","111","2005-01-18 00:00:00.0","null","Copy"
"748","705","111","2005-01-18 00:00:00.0","null","Copy"
"749","1814","111","2005-01-18 00:00:00.0","null","Copy"
"750","756","111","2005-01-18 00:00:00.0","null","Copy"
"751","465","111","2005-01-18 00:00:00.0","null","Copy"
"752","1313","111","2005-01-18 00:00:00.0","null","Copy"
"753","890","111","2005-01-18 00:00:00.0","null","Copy"
"754","891","111","2005-01-18 00:00:00.0","null","Copy"
"755","1154","111","2005-01-18 00:00:00.0","null","Copy"
"756","2102","111","2005-01-18 00:00:00.0","null","Copy"
"757","1662","111","2005-01-18 00:00:00.0","null","Copy"
"758","2528","111","2005-01-18 00:00:00.0","null","Copy"
"759","946","111","2005-01-18 00:00:00.0","null","Copy"
"760","1524","111","2005-01-18 00:00:00.0","null","Copy"
"761","759","111","2005-01-18 00:00:00.0","null","Copy"
"762","3487","111","2005-01-18 00:00:00.0","null","Copy"
"770","3261","111","2005-01-31 00:00:00.0","null","Copy"
"771","3262","111","2005-01-31 00:00:00.0","null","Copy"
"772","836","111","2005-01-31 00:00:00.0","null","Copy"
"773","147","111","2005-01-31 00:00:00.0","null","Copy"
"774","2512","111","2005-01-31 00:00:00.0","null","Copy"
"775","2846","111","2005-01-31 00:00:00.0","null","Copy"
"776","2511","111","2005-01-31 00:00:00.0","null","Copy"
"777","2597","111","2005-01-31 00:00:00.0","null","Copy"
"778","2594","111","2005-01-31 00:00:00.0","null","Copy"
"779","2598","111","2005-01-31 00:00:00.0","null","Copy"
"780","1455","111","2005-01-31 00:00:00.0","null","Copy"
"781","1576","111","2005-01-31 00:00:00.0","null","Copy"
"782","1511","111","2005-01-31 00:00:00.0","null","Copy"
"783","1027","111","2005-01-31 00:00:00.0","null","Copy"
"784","786","111","2005-01-31 00:00:00.0","null","Copy"
"785","47","111","2005-01-31 00:00:00.0","null","Copy"
"786","772","111","2005-01-31 00:00:00.0","null","Copy"
"787","728","111","2005-01-31 00:00:00.0","null","Copy"
"788","2149","111","2005-01-31 00:00:00.0","null","Copy"
"789","2065","111","2005-01-31 00:00:00.0","null","Copy"
