"JournalsReaderID","JournalID","ReaderID","DateIssued","ReturnedDate"
"13","2178","8","1997-03-15 00:00:00.0","null"
"30","2307","11","1997-06-10 00:00:00.0","null"
"38","2959","7","1997-07-11 00:00:00.0","null"
"56","2456","7","1997-10-27 00:00:00.0","null"
"57","2385","7","1997-10-27 00:00:00.0","null"
"66","254","12","1998-01-09 00:00:00.0","null"
"68","2640","25","1998-03-13 00:00:00.0","null"
"75","3330","7","1999-12-03 00:00:00.0","null"
"84","3591","8","2000-09-13 00:00:00.0","null"
"85","3157","8","2001-04-26 00:00:00.0","null"
"86","3314","8","2001-04-26 00:00:00.0","null"
"87","3365","8","2001-04-26 00:00:00.0","null"
"93","3943","15","2001-08-29 00:00:00.0","null"
"94","4223","22","2002-08-02 00:00:00.0","null"
"95","4224","22","2002-08-02 00:00:00.0","null"
"96","4380","37","2003-01-31 00:00:00.0","null"
"97","3940","10","null","null"
"100","4568","81","2004-02-18 00:00:00.0","null"
"101","4596","81","2004-06-09 00:00:00.0","null"
"102","4680","37","2005-01-28 00:00:00.0","null"
"103","4831","8","2006-10-06 00:00:00.0","null"
