"Title","Theme","Category","Publisher","PublicationYear","ISBN","CoverType","CopiesNo","PhotocopiesNo","Topic1","Topic2","Topic3","Author1","Author2","Author3","Author4"
"Management of Technology II (Volume II)","Proceedings of the Second International Conference on Management of Technology.","proceedings","Industrial Engineering and Management Press","1990","","spiral","0","1","","","","","","",""
"Management of Technology II (Volume III)","Proceedings of the Second International Conference on Management of Technology.","proceedings","Industrial Engineering and Management Press","1990","","spiral","0","1","","","","","","",""
"Marketing, An Introductory Text (5th Edition)","This book provides a clear and comprehensive introduction to the theory and practice of marketing.","book","Macmillan Press","1991","0333556860","paperback","1","0","","","","","","",""
"Mathematical Foundations of Programming Semantics","Proceedings from the 9th International Conference on the Mathematical Foundations of Programming Semantics was held on the campus of Tulane University, New Orleans, Louisiana from April 7 to 10, 1993.","proceedings","Springer-Verlag Berlin","1994","3540580271","paperback","1","0","Computer Science","","","Main  M.","Melton  A.","Mislove  M.","Schmidt  D."
"Mathematics in the National Curriculum","This document contains provisions relating to attainment targets and programmes of study in English for pupils.","book","HMSO Publications Centre","1990","0112706665","ντοσιέ","1","0","","","","","","",""
"Meeting Special Educational Needs","A brief guide to the Report of the Committee of Enquiry into Education of Handicapped Children and Young People.","book","HMSO Publications Centre","1978","0112704786","paperback","1","0","Disability","","","","","",""
"Methodology of Consumer Evaluation of Hand Propelled Wheelchairs","This book includes a consumers survey on functionality and durability of hand propelled wheelchairs and some methodological aspects of consumer evaluation of technical assistive devices for the disabled.","proceedings","Commission of the European Communities COMAC BME","1989","8885936024","paperback","1","0","","","","Van Der Woude  L.H.V.","Rozendal H. R.","",""
"Methods and Tools in User-Centred Design for Information Technology","1. System Design 2. User Interfaces","book","Elsevier Science Publishers","1992","0444893016","hardbound","1","0","","","","","","",""
"MINITRIAL. A Limited Study of the Use of Videotelephony for People with Moderate Retardation","This report gives some ideas and experiences of the use of videotelephony for people with moderate mental retardation.","report","Stockholm University","1992","","paperback","1","0","Disability","","","Fahlen  Maria","Nilsson  Sven-Hakan","",""
"Models for Interfaces with Integrated Interaction Techniques","The present report aims to give an overview on the use ans status of multi-modal interfaces.","report","ESPRIT","1987","","διαφάνεια","1","1","","","","","","",""
"Multilingual Multimedia","This book provides a fscinating look at some of the more innovative and promissing systems now being developed for language learning and instruction.","book","Intellect Books","1988","1871516307","paperback","1","0","","","","","","",""
"Multimodal Human-Computer Interaction","This volume contains the proceedings of the Second ERCIM Workshop on Multimodal Human-Computer Interaction (Nancy, France, November 2-4, 1993).","proceedings","INRIA-Lorraine","1993","","paperback","1","0","","","","","","",""
"Muscles, Reflexes, and Locomotion","This book is about muscles and how they work in the bodies of vertebrate animals.","book","Princeton University Press","1984","069102376X","paperback","0","1","","","","","","",""
"N.A.C.E.D.P. National Advisory Council on Employment of Disabled People","Response to the Governments Consultative document Employment and Training for People with Disabilities","report","N.A.C.E.D.P.","1990","","spiral","1","0","","","","MBE  ","FIPM  ","FBIM  ","FinstD  "
"National Curriculum and Special Needs","Preparations to implement the National Curriculum for pupils with statements in special and ordinary schools, 1989-90.","book","Her Majesty's Inspectorate (HMSO)","1991","0112707769","paperback","1","0","Disability","","","","","",""
"National Host Descriptions Connecting the User to the European Infostructure","This document describes the national hosts which are offering their facilities to cooperative projects developing advanced communication technologies and services.","report","European Commission","1994","","paperback","1","0","","","","","","",""
"National Host Workshop","Presentation of Candidate National Hosts, Brussels, June 16 and 17, 1994","report","Commission of the European Communities","1994","","paperback","1","0","","","","","","",""
"Network Terminals for the Visually Disabled","This report includes papers of a Workshop on Network Terminals for the Visually Disabled was held in Datchet in June 1987.","report","RNIB (Royal National Institute for the Blind)","1987","","spiral","1","0","Networks","","","","","",""
"Neural Computing Architectures The Design of Brain-Like Machines","This book meets the urgent need for a text that explains what neural computing is ""all about"" and sets the recent explosion of interest and activity in the area in its historical context.","book","North Oxford Academic Phblishers","1989","0946536473","hardbound","1","0","","","","","","",""
"New Audio Technology for the Blind","This report includes papers on audio technology for the benefit of visually disabled persons.","report","RNIB (Royal National Institute for the Blind)","1989","","paperback","1","0","Audio-Visual","","","Butcher  G.","","",""
