"AuthorID","FirstName","LastName"
"1","Constantine","Stephanidis"
"2","Demosthenes","Akoumianakis"
"3","Anthony","Savidis"
"4","Charalampos","Karagiannidis"
"5","Michael","Sfyrakis"
"6","George","Paparoulis"
"7","Margherita","Antona"
"8","Nikos","Vernardakis"
"9","Michael C.","Fairhurst"
"10","M.","Bonaventura"
"11","Gregory","Homatas"
"12","Natassa","Spyridou"
"13","Gerhard","Weber"
"14","Frank","Deconinck"
"15","D.","Kochanek"
"16","Claire","Lidaki"
"17","Lena","Marinaki"
"18","Maria","Papadopoulou"
"19","Adamantios","Koumpis"
"20","Panayiotis","Galatis"
"21","George","Vareltzis"
"22","M.","Soede"
"23","P.A.M.E.","Crombag-Roben"
"24","H.","Knops"
"25","P.L.","Emiliani"
"26","Ritsa","Gogoulou"
"27","Yannis","Mitsopoulos"
"28","Demetrios","Grammenos"
"29","Helen","Petrie"
"31","S.","Morley"
"32","Athena","Stergiou"
"33","Alexis","Paramythis"
"34","Nikos","Karidis"
"35","Z.","Katsaitis"
"36","M. Q.","Hasan"
"37","Yannis","Kasmeridis"
"38","Christos","Dagiakidis"
"39","Danae","Ioannidi"
"40","Γιώργος","Μαλαθράκης"
"41","Στάθης","Τριανταφύλλου"
"42","S.","Orphanoudakis"
"43","P.","Kofakis"
"44","E.","Petrakis"
"45","G.","Kouroupetroglou"
"46","D.","Majoe"
"47","E.","Kemppainen"
"48","J.","Lindstrom"
"49","M.","Martin"
"50","M.","Wiederholt"
"51","K.","Fellbaum"
"52","G.","Klause"
"53","M.","Whybray"
"54","J.","Ekberg"
"55","K.","Nordby"
"56","G.","Jansson"
"57","H.","Hamailainen"
"58","C.R.","Cavonius"
"59","J.","Engelen"
"60","B.","Allen"
"61","Ramon Puig","de la Bellacasa"
"62","A.S.","Pereira"
"63","Stephen","von Tetzhner"
"64","Marco","Mercinelli"
"65","Gunnar","Hellstroem"
"66","A.","Spaepen"
"67","A.","Georgiou"
"68","Panos","Trahanias"
"69","Adam","Leventis"
"70","Napoleon","Maou"
"71","N.","Psaroudakis"
"72","E.","Lagoudaki"
"73","A.","Korte"
"74","K.","Crispien"
"75","G.","Salvendy"
"76","G.","Vernardos"
"77","J.","Ziegler"
"78","K.-P.","Faenrich"
"79","C.","Stary"
"80","N.","Vidakis"
