book_topic_id,topic_name
6e4e83c0-d53c-5c14-948f-a05c2822761f,Equipment
9321f8f9-046d-55f6-bbfd-6c9c029163c9,CD-ROMs
e9215128-f8a8-5aa3-a77b-4c936a815da1,Communications
ff1f9cdf-b854-5db8-b9dc-808a821f55e9,Information Systems
a9c936e2-43b3-59aa-8aab-c4fd8228e7cf,Catalogs
096f0524-c97b-5d53-8dec-28a28072ab26,Human Factors
c4bceb3e-7bdc-5ffc-a3ac-ccf0ea22c434,Ergonomics Course
a2f1e4a4-c14c-5259-b68f-45c8ad2758d5,General Purpose
b57afbae-943a-550a-8557-c95ae7c8b981,Human-Computer Interaction
bbe79a14-9aa5-5464-8bf0-89ab8984f327,Technical Aids
aa781b77-91be-51a7-bbc1-6e0c4e0fe2ab,H/D Documentation
41d318fa-559d-5d02-b80e-eb6dfb1738f1,Disability
9c6feaaa-455b-51ae-89d1-93330b1aa6d4,User Interfaces
e5c501d3-b41d-59e0-9a26-b16d62ee45ca,CEC Programs
a1dbbbe5-749b-59ff-b7a9-5c73b10b54ec,Occupational Therapy
fb29b90e-e990-521b-82cd-59081950d709,Sociology
de92157c-9628-56d1-884b-ca0fd9f5b233,Sun Systems
9440e82a-0ae5-57e2-97c7-fb182acc4554,Assistive Technology
fe466eb3-4c66-5afa-a583-aeefdaa6ed65,Educational Technology
362a4167-84a0-53b3-ac4b-f76cd628d648,Computer Graphics
9c285647-22ad-585d-8c1a-95492ec8f59e,Knowledge-Based Systems
06811a15-5050-5496-a433-594c82e1dcb7,Robotics
ee225a2b-06b8-5212-a376-7a1261875f18,Computer Science
eec3ee9d-de7d-5029-9cd5-74bab77d4edf,IBM PC
b95625a6-5876-5c8b-a931-b6d37327330b,Programming Language C
3190ab31-ced6-504b-a4a1-e84c93c97add,Expert Systems
85d43148-707f-5a6a-8714-20bb50afbdf9,Innovation
826a5a02-5ade-5afb-b72c-84cc528fd07a,Object-Oriented Programming
eef572a0-344b-5836-9d63-ad41b2792837,Speech Recognition
4cae54a3-6da4-51f7-9505-0e95923885cc,Software Engineering
35d47058-f497-563e-ba47-123a4478e9ea,Neural Computing
2b793866-2516-5019-9c40-c8130861d104,TIDE COST
5aab4d01-c0e9-5eef-9c4f-8f857073286d,Natural Language
ff8e3f79-90ea-58d3-b421-831c34e76fdf,Microsoft Office
adfd3bfc-c578-50be-8750-e6afef8deea1,Computational Linguistics
28801988-7075-5eb2-bf79-3c6d3ce9d3e6,Multimedia Systems
52670bfb-df65-550a-bba0-1ca2029eb874,Artificial Intelligence
3b49473c-9cd3-5365-8f85-e94f05500427,Directory
73af87f6-1f0b-52e5-a7eb-fff2a5d81bc1,ESPRIT
0feaab3d-bade-5084-8675-4297caa56eb3,Graphics Programming
8f5129c2-86cb-58f9-ab12-e9c1fd76fd72,RACE
a8bd9afc-3cbb-5c96-81ff-04b2a4f09274,Statistics
03fb2b57-66ad-552f-8aaa-7b42b7673148,Internet/WEB Design
007f87d3-c0d4-5442-a683-f04fb628a791,Apple PC
aa306fe5-ed41-579a-adb6-5917ce37315d,Logic Programming
6d980a66-a7a9-5f89-a4bd-2996f89b58e3,Vocational Training
500d816f-ce59-58e5-adc3-f5640face225,Software Reengineering
baa8c4f0-be18-56af-9e0e-552cf6e7c4a4,X-Windows
1eb3a5c1-eb2d-55e2-b2d4-ef1487e9909c,ERCIM
13358fa5-6c92-5072-9b3b-1b71eeb2c59f,Software Development
c5c313d3-e10a-57f5-9c96-3d0e100c7b4c,Testing
7f5845cc-05b9-59e6-af97-09f86cc0db21,Psychology
fa2bf652-9d05-5186-bf4c-2638516b31a5,Virtual Reality
4e69351c-0a8d-5c6f-8b03-a6649a1c71e4,AutoCAD
