paper_id,title,abstract,description,topic,project,year,cnfj,link,soft_copy,hard_copy,full_paper,accepted,cond_accepted,submitted,und_submission,in_press,authors_ids
b71fe210-e513-5e4a-aaef-34e79d74906f,"""Generating"" Design Spaces: An NLP Approach to HCI Design",FALSE,"In C. Stephanidis (Ed.), User Interfaces for All - Concepts, Methods, and Tools (pp. 223-242). Mahwah, NJ: Lawrence Erlbaum Associates (ISBN 0-8058-2967-9, 760 pages).",User Interface Design,,2001,ICS-FORTH Technical Reports,net.ucanaccess.jdbc.UcanaccessBlob@6872f9c8,True,True,False,False,False,False,False,False,"{583922dc-cbd2-50e0-ba2d-488830df4218,f6068d1e-3e51-5540-8a43-b62a3b23fc45,58ab64cb-4629-5b8d-98fe-bc4802df2130}"
afbc1830-8959-5b9d-8a97-da4290cd3b9f,"'Εκθεση Προόδου Εργασιών, έτους 1994, σχετικά με την ανάπτυξη του Ευρωπαϊκού Πληροφοριακού Συστήματος HANDYNET στην Ελλαδα.",FALSE,"'Εκθεση προόδου εργασιών, έτους 1994, σχετικά με την ανάπτυξη του HANDYNET στην Ελλάδα, Υπουργείο Υγείας Πρόνοιας και Κοινωνικών Ασφαλίσεων, Φεβρουάριος 1995, σελ. 20.",Information Systems,HANDYNET,,Project  Deliverables,,False,True,False,False,False,False,False,False,"{58ab64cb-4629-5b8d-98fe-bc4802df2130,a22bfda6-fcd7-5fd6-ad6d-48ab2e055edd,ca475e93-f502-5980-96a9-31e882116d7f,0db48d36-5ff8-5082-93f6-ec261738f04a,f5ef7092-9534-5b60-b6d2-8b51cb1fe9b4,299d06c4-9e7b-5bb2-b7e3-03413628602e,7e6ca7e1-da64-5931-a4be-f87e0025ff37}"
e4d43f9e-9bb3-5548-8dd0-60ba0054d151,"'Εκθεση Προόδου Εργασιών, έτους 1995, σχετικά με την ανάπτυξη του Ευρωπαϊκού Πληροφοριακού Συστήματος HANDYNET στην Ελλάδα.",FALSE,"'Εκθεση Προόδου Εργασιών, έτους 1995 για την ανάπτυξη του Συστήματος HANDYNET στην Ελλάδα, Υπουργείο Υγείας και Πρόνοιας, Φεβρουάριος 1996, σελ.16.",Information Systems,HANDYNET,1996,Project  Deliverables,,False,True,False,False,False,False,False,False,"{58ab64cb-4629-5b8d-98fe-bc4802df2130,a22bfda6-fcd7-5fd6-ad6d-48ab2e055edd,ca475e93-f502-5980-96a9-31e882116d7f,0db48d36-5ff8-5082-93f6-ec261738f04a,f5ef7092-9534-5b60-b6d2-8b51cb1fe9b4}"
974c940f-0e67-5428-b38a-124dd583044e,(e-)Learning in the Information Society,FALSE,"Roundtable discussion on ""Foreign Languages - Informatica - Lifelong Education: The Triptych of Progress and Development"" in the context of the 7th Conference on Foreign Languages Education (PALSO), Hersonissos, Crete, Greece, 6-7 April 2002.",eLearning,,2002,Invited Talks,,False,False,False,False,False,False,False,False,{58ab64cb-4629-5b8d-98fe-bc4802df2130}
4b1f5aeb-16de-59d1-b62c-a31e4c1adf0b,*Guy Gobut Report*,FALSE,,,,1994,,,False,False,False,False,False,False,False,False,{}
edf96da8-7d0f-53b1-8b8f-4af3b515910d,"1st ERCIM Workshop on ""Towards User Interfaces for All: Current efforts and future trends""",FALSE,"Heraklion, Crete, Greece, 30-31 October 1995, 3 pages. Available electronically at http://ui4all.ics.forth.gr/UI4ALL-95/proceedings.html",User Interfaces,,1995,Editorials in Books - Proceedings,,False,True,False,False,False,False,False,False,{58ab64cb-4629-5b8d-98fe-bc4802df2130}
65e57db7-4ee9-5925-87b4-7090096e970e,1st International Conference on Universal Access in Human Computer Interaction,FALSE,"ERCIM News 47, October 2001, pp. 42.",Universal Access,,2001,Editorials and articles in ERCIM News,net.ucanaccess.jdbc.UcanaccessBlob@6a84bc2a,True,True,False,False,False,False,False,False,{58ab64cb-4629-5b8d-98fe-bc4802df2130}
14a2fd0d-dbf4-573e-b6e9-386336de5f59,1st IS4ALL Seminar - Universal Access: A practitioner's guide for the design of Health Telematics applications and Services,FALSE,"In the context of the 2nd EHTEL Conference, Rotterdam, The Netherlands, 19 October 2001.",,,2001,Seminars,,False,False,False,False,False,False,False,False,{58ab64cb-4629-5b8d-98fe-bc4802df2130}
85122390-345b-5448-926b-369c0740e849,"2nd ERCIM Workshop on ""Towards User Interfaces for All""",FALSE,"Prague, Czech Republic, 7-8 November 1996, 1 page. Available at http://ui4all.ics.forth.gr/UI4ALL-96/proceedings.html",User Interfaces,,1996,Editorials in Books - Proceedings,,False,True,False,False,False,False,False,False,{58ab64cb-4629-5b8d-98fe-bc4802df2130}
28941a5b-38d4-55c2-8418-1d92866d5b08,2nd European Conference on Research and Advanced Technology for Digital Libraries (ECDL '98),FALSE,,,,,,,False,False,False,False,False,False,False,False,{}
d849440b-a103-55e1-b908-d4d8336d87e8,2nd European Conference on Research and Advanced Technology for Digital Libraries (ECDL '98),FALSE,"Heraklion, Crete, Greece,  21-23 September 1998, 1 page.",Digital Libraries,,1998,Editorials in Books - Proceedings,,False,True,False,False,False,False,False,False,"{7e6ca7e1-da64-5931-a4be-f87e0025ff37,58ab64cb-4629-5b8d-98fe-bc4802df2130}"
56ed6191-ab64-5e4a-b5c9-560120db63d6,2nd IS4ALL Seminar - Universal Access in Health Telematics,FALSE,"In collaboration with the Working Conference ""Synergy between Research in Medical Informatics, Bio-informatics and Neuro-Informatics"", Pyramids, Place Rogier, Brussels, Belgium, 13 December 2001.",Health Telematics,,2001,Seminars,,False,False,False,False,False,False,False,False,"{58ab64cb-4629-5b8d-98fe-bc4802df2130,f6068d1e-3e51-5540-8a43-b62a3b23fc45,8b7d35c1-bcc9-50c7-8ff4-134c381ebf1d,468044c8-8b1a-5ed4-b116-88053e18f01a,7d6c833a-7e95-5eb7-8fa0-3241091a4757,316d020d-907b-5d2d-b861-7530f249d704}"
994ba1de-7c4c-5594-8075-b257967d18db,"3rd ERCIM Workshop on ""User Interfaces for All""",FALSE,"Obernai, France, 3-4 November 1997, 1 page. Available electronically at http://ui4all.ics.forth.gr/UI4ALL-97/proceedings.html",User Interfaces,,1997,Editorials in Books - Proceedings,,False,True,False,False,False,False,False,False,"{58ab64cb-4629-5b8d-98fe-bc4802df2130,3171f6df-0d4f-5613-b58d-31e18f02d724}"
72c30546-2627-5500-9089-f78b5f864d0b,3rd IS4ALL Seminar - Universal Access Tools in e-Health - health care support in data and knowledge,FALSE,"In the context of the XVIIth International Congress of the European Federation for Medical Informatics, Bio-Informatics (MIE 2002), Budapest, Hungary, 25 August 2002.",Health Care,,2002,Seminars,,False,False,False,False,False,False,False,False,"{9f774dce-74a4-5f2b-824b-166c4fa375f5,8b24ff2d-a879-5e38-af99-1ed3b14f78dd,1edc53b6-91d0-5b7c-912a-5f292d86ff08,58ab64cb-4629-5b8d-98fe-bc4802df2130,8b7d35c1-bcc9-50c7-8ff4-134c381ebf1d}"
