BookID_Books,Title_Books,Theme_Books,Category_Books,Publisher_Books,PublicationYear,ISBN_Books,CoverType,Origin_Books,Shelf_Books,CopiesNo,FotocopiesNo,Includes,ISBN_norm,BookID_Books1,Author Name,Author Middle,Author Surname,Co-Authors,Title_Books1,Theme_Books1,Type,Category_Books1,Date of publication,Publisher_Books1,ISBN_Books1,Kind,Origin_Books1,Shelf_Books1,State,When_Borrowed,Who_Borrowed,Field18,Confidence,MatchType
9,Electronic Displays'83 and Information Display Systems Session 1,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference,proceedings,Network Events,1983,0907634257,paperback,CS,G121,1,0,,0907634257,9,,,,,Electronic Displays'83 and Information Display Systems Session 1,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference,proceedings,Information Systems,1983,Network Events,0907634257,paperback,CS,G121,available,,,,Exact ISBN,Exact
10,Electronic Displays'83 and Information Display Systems Session 2,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Network Events,1983,0907634265,paperback,CS,G121,1,0,,0907634265,10,,,,,Electronic Displays'83 and Information Display Systems Session 2,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Information Systems,1983,Network Events,0907634265,paperback,CS,G121,available,,,,Exact ISBN,Exact
11,Electronic Displays'83 and Information Display Systems Session 3,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Network Events,1983,0907634273,paperback,CS,G121,1,0,,0907634273,11,,,,,Electronic Displays'83 and Information Display Systems Session 3,This volume is one of three covering the proceedings of the Electronic Displays'83 Conference.,proceedings,Information Systems,1983,Network Events,0907634273,paperback,CS,G121,available,,,,Exact ISBN,Exact
26,"UIST '90, Proceedings of the ACM Symposium on User Interface Software and Technology","Proceedings of the 3rd Annual Symposium on User Interface Software and Technology held in Snowbird, Utah, USA, October 3-5, 1990",proceedings,ACM Press,1990,0897914104,paperback,CS,,1,0,,0897914104,26,,,,,Proceedings of the ACM Symposium on User Interface Software and Technology (UIST '90),"Proceedings of the 3rd Annual Symposium on User Interface Software and Technology held in Snowbird, Utah, USA, October 3-5, 1990",proceedings,User Interfaces,1990,ACM Press,0897914104,paperback,CS,,unavailable,1995-07-06 00:00:00.0,CS,,Exact ISBN,Exact
27,"UIST '92, Proceedings of the ACM Symposium on User Interface Software and Technology","Proceedings of the ACM Symposium on User Interface Software and Technology held in Monterey, California, November 15-18, 1992",proceedings,ACM Press,1992,0897915496,paperback,CS,,1,0,,0897915496,27,,,,,Proceedings of the ACM Symposium on User Interface Software and Technology (UIST '92),"Proceedings of the ACM Symposium on User Interface Software and Technology held in Monterey, California, November 15-18, 1992",proceedings,User Interfaces,1992,ACM Press,0897915496,paperback,CS,,unavailable,1995-07-06 00:00:00.0,CS,,Exact ISBN,Exact
28,"UIST '93, Proceedings of the ACM Symposium on User Interface Software and Technology","Proceedings of the ACM Symposium on User Interface Software and Technology held in Atlanta, Georgia, November 3-5, 1993",proceedings,ACM Press,1993,089791628X,paperback,CS,,1,0,,089791628x,28,,,,,Proceedings of the ACM Symposium on User Interface Software and Technology (UIST '93),"Proceedings of the ACM Symposium on User Interface Software and Technology held in Atlanta, Georgia, November 3-5, 1993",proceedings,User Interfaces,1993,ACM Press,089791628X,paperback,CS,,unavailable,1995-07-06 00:00:00.0,CS,,Exact ISBN,Exact
29,"UIST '94, Proceedings of the ACM Symposium on User Interface Software and Technology","Proceedings on User Interface Software and Technology held in Marina del Rey, California, November 2-4, 1994.",proceedings,ACM Press,1994,0897916573,paperback,CS,G121,2,0,,0897916573,29,,,,,Proceedings of the ACM Symposium on User Interface Software and Technology (UIST '94),"Proceedings on User Interface Software and Technology held in Marina del Rey, California, November 2-4, 1994.",proceedings (2 copies),User Interfaces,1994,ACM Press,0897916573,paperback,CS,G121,unavailable,1995-03-03 00:00:00.0,Ακουμιανάκης Δήμος,,Exact ISBN,Exact
30,"UIST '95, Proceedings of the ACM Symposium on User Interface Software and Technology","Proceedings on User Interface Software and Technology held in Pittsburgh, Pennsylvania, November 14-17, 1995.",proceedings,ACM Press,1995,089791709X,paperback,CS,G121,2,0,,089791709x,30,,,,,Proceedings of the ACM Symposium on User Interface Software and Technology (UIST '95),"Proceedings on User Interface Software and Technology held in Pittsburgh, Pennsylvania, November 14-17, 1995.",proceedings (2 copies),User Interfaces,1995,ACM Press,089791709X,paperback,CS,G121,unavailable,1996-02-20 00:00:00.0,Ακουμιανάκης Δήμος (1),,Exact ISBN,Exact
31,Progress Through Partnership Communications,Communications,report,HMSO Publications Centre,1995,0114301204,paperback,CS,G122,1,0,,0114301204,31,,,,Technology Foresight,Progress Through Partnership Communications,Communications,report,General Purpose,1995,HMSO Publications Centre,0114301204,paperback,CS,G122,unavailable,1996-04-25 00:00:00.0,CS,,Exact ISBN,Exact
32,Progress Through Partnership IT and Electronics,Information Technology and Electronics,report,HMSO Publications Centre,1995,0114301220,paperback,CS,G122,1,0,,0114301220,32,,,,Technology Foresight,Progress Through Partnership IT and Electronics,Information Technology and Electronics,report,General Purpose,1995,HMSO Publications Centre,0114301220,paperback,CS,G122,unavailable,1996-04-25 00:00:00.0,CS,,Exact ISBN,Exact
