BookID,BookTopicID,TopicID
1,2234,1
2,2235,1
3,2236,42
4,2237,89
5,2238,14
8,2241,7
9,2242,5
10,2243,5
11,2244,5
12,2245,8
13,2246,8
14,2247,8
15,2248,216
16,2249,10
17,2250,265
18,2251,265
19,2252,9
20,2253,12
21,2254,13
22,2255,14
23,2256,15
25,2257,14
26,2258,15
27,2259,15
28,2260,15
29,2261,15
30,2262,15
31,2263,9
32,2264,9
33,2265,16
34,2266,14
35,2267,116
36,2268,15
37,2269,18
38,2270,19
39,2271,20
40,2272,21
41,2273,21
42,2274,22
43,2275,5
44,2276,23
45,2277,23
46,2278,24
47,2279,25
48,2280,92
49,2281,10
50,2282,27
51,2283,27
52,2284,27
53,2285,27
54,2286,28
55,2287,47
56,2288,29
57,2289,29
58,2290,10
59,2291,30
60,2292,80
61,2293,31
62,2294,3
63,2295,22
64,2296,181
65,2297,34
66,2298,27
67,2299,42
68,2300,36
69,2301,25
70,2302,37
71,2303,10
72,2304,38
73,2305,8
74,2306,39
75,2307,53
76,2308,12
77,2309,10
78,2310,68
79,2311,42
80,2312,42
81,2313,22
82,2314,262
83,2315,46
84,2316,47
85,2317,48
86,2318,49
87,2319,24
88,2320,23
89,2321,51
90,2322,10
91,2323,25
92,2324,25
93,2325,25
94,2326,25
95,2327,10
96,2328,10
97,2329,52
98,2330,52
99,2331,15
100,2332,52
101,2333,52
102,2334,52
103,2335,53
104,2336,53
105,2337,54
106,2338,108
107,2339,26
108,2340,56
109,2341,20
110,2342,20
111,2343,57
112,2344,7
113,2345,58
114,2346,59
115,2347,37
116,2348,203
117,2349,61
118,2350,15
119,2351,15
120,2352,22
121,2353,22
122,2354,22
123,2355,22
124,2356,116
125,2357,63
126,2358,257
127,2359,64
128,2360,64
129,2361,64
130,2362,64
131,2363,64
132,2364,64
133,2365,64
134,2366,64
135,2367,266
136,2368,266
137,2369,266
138,2370,266
139,2371,266
140,2372,66
141,2373,66
142,2374,267
143,2375,267
144,2376,267
145,2377,24
146,2378,10
147,2379,25
148,2380,250
149,2381,23
150,2382,10
151,2383,7
152,2384,254
153,2385,10
154,2386,10
155,2387,70
156,2388,71
157,2389,71
158,2390,72
159,2391,73
160,2392,116
161,2393,75
162,2394,75
164,2396,140
165,2397,15
166,2398,31
167,2399,250
168,2400,68
169,2401,78
170,2402,15
171,2403,15
172,2404,92
173,2405,79
174,2406,10
175,2407,22
176,2408,89
177,2409,22
178,2410,9
179,2411,29
180,2412,196
181,2413,42
182,2414,63
183,2415,53
184,2416,14
185,2417,22
186,2418,80
187,2419,81
188,2420,82
189,2421,83
191,2422,15
192,2423,46
193,2424,37
194,2425,80
195,2426,5
196,2427,53
197,2428,80
198,2429,29
199,2430,42
200,2431,26
201,2432,22
202,2433,85
203,2434,86
204,2435,72
205,2436,196
207,2438,71
208,2439,15
209,2440,89
210,2441,90
211,2442,22
212,2443,5
213,2444,92
214,2445,15
215,2446,23
216,2447,9
217,2448,83
218,2449,83
219,2450,89
