BookID,Category,CopiesNo,CoverType,FotocopiesNo,ISBN,Includes,Origin,PublicationYear,Publisher,Shelf,Theme,Title
1,directory,1,paperback,0,,,cs,,,g123,"computer supplies, software, office furniture, equipment catalogue 22","rhythm, play and interaction"
2,directory,1,paperback,0,,,cs,,,g123,"computer supplies, software, office furniture, equipment catalogue 28",action computer suppliers-software-office furniture-equipment-catalogue 28
3,manual,1,διαφάνεια,0,,,rti lab.,1993,network cybernetics corporation,cs-lib,dos user instructions,artificial intelligence on cd-rom
4,proceedings,1,paperback,0,,,cs,1993,race ii project eurobridge,g121,"proceeedings of the second international conference held in athens, greece on june 15-16, 1993",broadband islands 1993 conference proceedings
5,report,1,paperback,0,,,cs,1985,the british computer society health informatics specialist groups,g123,this report concerns computers and the disabled persons.,computers and the disabled what needs to be done;
8,directory,1,paperback,0,,,cs,1994,human factors and ergonomics society,g122,the purpose of this directory is to supply prospective graduate students with information to help them make a preliminary selection of graduate programs for further consideration.,directory of human factors graduate programs in the united states and canada
9,proceedings,1,paperback,0,0907634257,,cs,1983,network events,g121,this volume is one of three covering the proceedings of the electronic displays'83 conference,electronic displays'83 and information display systems session 1
10,proceedings,1,paperback,0,0907634265,,cs,1983,network events,g121,this volume is one of three covering the proceedings of the electronic displays'83 conference.,electronic displays'83 and information display systems session 2
11,proceedings,1,paperback,0,0907634273,,cs,1983,network events,g121,this volume is one of three covering the proceedings of the electronic displays'83 conference.,electronic displays'83 and information display systems session 3
12,lecture notes,0,spiral,1,,,cs,,,g121,"this document describes, in summary form, some opinions gathered from interviews with potential users of the tap system.",ergonomics course - hufit 'tap' exercise
13,lecture notes,0,spiral,1,,,cs,,,g121,1.1 physiological principles 1.2. static muscular effort 2. nervous control of movements 3. improving work efficiency 4. problems of body size 5. the design of workstations,ergonomics course - muscular work
14,lecture notes,0,spiral,1,,,cs,,,g121,"questionnaires, system walk-through, formal observation, user diaries, system logging, task analysis, comparative testing, company records.",ergonomics course - specialist methods of information-gathering
15,tutorial,0,spiral,1,,,cs,1996,o'reilly & associates,g117,this tutorial notes volume contains written notes for the www5 tutorial presentations.,fifth international world wide web conference tutorial notes
16,report,3,paperback,0,,,cs,1995,institute for personalized information environment,,this report compiles the results of research and development of the future personalized information envitonment development project,friend21 human interface architecture guidelines
17,manual,1,paperback,0,,,3π37,1992,reference software international,race-lib,this manual provides ideas and examples of how you can use grammatik to create useful custom style guides.,grammatik 5 creating a custom style guide with the rule designer
18,manual,1,paperback,0,,,3π37,1992,reference software international,race-lib,this manual is dedicated to helping you improve your writing and increase your productivity.,grammatik 5 user's guide
19,guide,1,paperback,0,,,cs,1994,human factors and ergonomics society,g122,"this guide has been edited to assist authors in preparating manuscripts in the style required for publication in the journal ""human factors"".",human factors author's guide
20,directory,1,ντοσιέ,0,,,cs,1993,clean concept,group-lib,είναι ένας κατάλογος απο τεχνητά βοηθήματα,innovative ideen
21,manual,1,without cover,0,,,rti lab.,,,g117,"recording session is a powerful sequencer offering standard midi sequencing features, as well as editable musical notation display.",midisoft recording session user guide
22,directory,1,spiral,0,,,cs,1996,mobility international,g120a,this contains a questionnaire and a catalogue of members of the mobility international organisation.,mobility international profile of members 1996
23,presentation,0,spiral,1,,,cs,1995,,g121,"workshop on adaptive multimedia technologies for people with disabilities, held at the hyatt regency embarcadeo hotel in san francisco, november 10 , 1995",nsf/multimedia' 95 workshop
25,proceedings,0,without cover,1,,,cs,1990,commission of the european communities,g121,proceedings of first workshop held on friday 8th december 1989,proceedings of first workshop on ibc requirements for people with special needs
26,proceedings,1,paperback,0,0897914104,,cs,1990,acm press,,"proceedings of the 3rd annual symposium on user interface software and technology held in snowbird, utah, usa, october 3-5, 1990","uist '90, proceedings of the acm symposium on user interface software and technology"
27,proceedings,1,paperback,0,0897915496,,cs,1992,acm press,,"proceedings of the acm symposium on user interface software and technology held in monterey, california, november 15-18, 1992","uist '92, proceedings of the acm symposium on user interface software and technology"
28,proceedings,1,paperback,0,089791628x,,cs,1993,acm press,,"proceedings of the acm symposium on user interface software and technology held in atlanta, georgia, november 3-5, 1993","uist '93, proceedings of the acm symposium on user interface software and technology"
29,proceedings,2,paperback,0,0897916573,,cs,1994,acm press,g121,"proceedings on user interface software and technology held in marina del rey, california, november 2-4, 1994.","uist '94, proceedings of the acm symposium on user interface software and technology"
30,proceedings,2,paperback,0,089791709x,,cs,1995,acm press,g121,"proceedings on user interface software and technology held in pittsburgh, pennsylvania, november 14-17, 1995.","uist '95, proceedings of the acm symposium on user interface software and technology"
31,report,1,paperback,0,0114301204,,cs,1995,hmso publications centre,g122,communications,progress through partnership communications
32,report,1,paperback,0,0114301220,,cs,1995,hmso publications centre,g122,information technology and electronics,progress through partnership it and electronics
33,report,0,spiral,1,,,cs,1994,european commission,g123,σεμινάρια για την ενεργοποίηση της ερευνας και τεχνολογικής ανάπτυξης κοινωτικό πλαίσιο στήριξης 1994-1999.,rtd mobilisation seminars
34,proceedings,1,paperback,0,,,cs,1987,,g123,proceedings of seminars organized by the minister of the family and social welfare with the support of the eec-bureau for actions in favour of the disabled.,seminars technology for the disabled
35,report,1,paperback,0,,,cs,1991,etsi (european telecommunications standards institute),race-lib (box etsi),etsi pt6v data base,telecommunication facilities for people with special needs data base
36,report,1,without cover,0,,,cs,1992,,cs-lib(γενικά paper),ecma technical report,user interface taxonomy ecma tr/61
37,proceedings,1,paperback,0,,,cs,1990,σύλλογος ελλήνων εργοθεραπευτών,g117,πρακτικά 1ου πανελληνίου συνεδρίου εργοθεραπείας,η εργοθεραπεία στην ελλάδα σήμερα προοπτικές για το μέλλον
38,book,0,spiral,1,,,cs,1986,"υπουργείο υγείας, πρόνοιας και κοινωνικών ασφαλίσεων",box θέματα πρόνοιας,σκοπός του κώδικα είναι να προσφέρει συνοπτικά βασικές πληροφορίες για τους φορείς παροχής κοινωνικών υπηρεσιών όλης της χώρας,
39,manual,0,paperback,2,,,rti lab.,,american power conversion,race-lib,περιέχει οδηγίες εγκατάστασης και οδηγίες χρήσης του ups.,οδηγίες χρήσης και συντήρησης μονάδα αδιάλειπτης παροχής ισχύος
40,proceedings,0,spiral,1,0897916492,,cs,1994,acm press,g122,"proceedings of the 1st annual acm conference on assistive technologies, assets '94 was held in doubletree marina del rey hotel los angeles, california from octber 31 to november 1, 1994.",assets '94 the first annual acm conference on assistive technologies
41,proceedings,2,paperback,0,0897917766,,cs,1996,acm press,g122,"proceedings of the 2nd annual acm conference on assistive technologies, assets '96 was held in waterfront centre hotel vancouver, british coloumbia, canada from april 11-12, 1996.",assets '96 the second annual acm conference on assistive technologies
42,proceedings,1,paperback,0,0897918444,,cs,1996,acm press,g121,"this volume contains all the papers, panels, demonstrations, and posters presented at the 1st sigcse/sigcue conference on integrating technology into computer science education, held in barcelona spain june 2-6, 1996.",integrating technology into computer science education
43,proceedings,1,hardbound,0,0071006605,,cs,1991,mcgraw-hill,,proceedings of the international conference on multimedia information systems '91,international conference on multimedia information systems '91
44,proceedings,1,paperback,0,0897916484,,cs,1994,acm press,g121,"this volume contains papers presented at the tenth annual symposium on computational geometry, held june 6-8, 1994, in stony brook, new york.",computational geometry : tenth annual symposium
45,proceedings,1,paperback,0,0897917243,,cs,1995,acm press,g121,"this volume contains papers presented at the eleventh annual symposium on computational geometry, held june 5-7, 1995 in vancouver, canada.",computational geometry : eleventh annual symposium
46,book,1,hardbound,0,0818665521,,cs,1995,ieee computer society press,,illustrates interesting ways in which new parallel hardware is being used to improve the speed and and usefulness of a variety of information systems.        1. parallel computers 2. database management 3. explore systems,emerging trends in database and knowledge base machines the application of parallel architectures to
47,book,1,hardbound,0,0120421208,,cs,1992,academic press,g122,this book addresses techiques for modeling and integration of data provided by different sensors within robotics and knowledge sources within machine intelligence. δωρεα στη  βιβλιοθηκη ιπ-ιτε.,data fusion in robotics & machine intelligence
48,proceedings,1,paperback,0,3540582010,,cs,1994,springer-verlag berlin,g123,"proceedings of the 21st international colloquium, icalp '94, was held in jerusalem, israel, from july 11 to july 14, 1994. it is intented to cover all important areas of theoretical computer science, such as : computability, automata, formal languages.","automata, languages, and programming"
49,proceedings,1,hardbound,0,044488453x,,cs,1990,elsevier science publishers,g121,"this book presents selected papers of the ""6th interdisciplinary workshop in informatics and psychology"" which was held in scharding, austria in june 1987.",mental models and human-computer interaction 1
50,manual,1,spiral,0,,,3π16,1983,acorn computers,g123,this guide deals with features of econet and its filing system that are not covered in the other econet user guides. δωρεα στη βιβλιοθηκη ιπ-ιτε.,econet advanced user guide
51,manual,1,spiral,0,,,3π16,1983,acorn computers,g123,"this guide begins by explaining how you start a session of work on the network, and then takes you through the rules for saving and loading. δωρεα στη βιβλιοθηκη ιπ-ιτε.",econet level 2 file server user guide
52,manual,1,spiral,0,,,cs,1983,acorn computers,g123,"introduction to the speech system, using the speech system from basic, the sound command in detail, technical information. δωρεα στη βιβλιοθηκη ιπ-ιτε.",speech system user guide
53,manual,1,spiral,0,,,cs,1984,acorn computers,g123,this user guide describes the 6502 second processor and explains the extended facilities of the basic language rom. δωρεα στη βιβλιοθηκη ιπ-ιτε.,the 6502 second processor user guide
54,book,1,paperback,0,0830637907,,cs,1992,windcrest books/mcgraw-hill,g123,"this book covers animation & visualization, includes 3d modeling and image processing.",high - performance c graphics programming for windows
55,book,1,paperback,0,0830634894,,cs,1991,windcrest books/mcgraw-hill,g123,"this book gives tools, techniques and programs for creating high-performance graphics applications with quick c++, turbo c++ and zortech c++.",supercharged c++ graphics
56,book,1,hardbound,0,0070003556,,cs,1990,mcgraw-hill,g121,the first volume presents state-of-the-art reviews and tutorials on fundamental aspects of knowledge engineering.,knowledge engineering vol. 1 fundamentals
57,book,1,hardbound,0,0070003572,,cs,1990,mcgraw-hill,g121,the second volume complements the first by presenting applications of applied artificial intelligence (ai).,knowledge engineering vol. 2 applications
58,proceedings,2,paperback,0,0201765578,,cs,1994,acm press,g121/g122,"chi'94 proceedings is on human-computer interaction, boston, massachusetts usa april 24-28, 1994.",chi '94 conference proceedings: human factors in computing systems
59,book,1,hardbound,0,0195071719,,cs,1992,oxford university press,g121,this book addresses the influence of new technologies on work and the resulting challenges for business organizations.,technology and the future of work
60,book,1,hardbound,1,0195075102,,cs,1992,oxford university press,g122,this book collects six essays that herald a fundamental shift in the way industry and researchers think about usability.,usability turning technologies into tools
61,book,1,hardbound,0,0262011395,,cs,1993,mit press,g121,"this book documents progress-from general concepts to specific descriptions-in programming language design, semantic tools, systems, architectures and applications.",research directions in concurrent object-oriented programming
62,proceedings,1,paperback,0,,,cs,1993,centro de estudos de telecommunicacoes/university of aveiro,box portugal 93,"lecture notes, aveiro portugar july 11-16, 1993",first international summer school on advanced broadband communications
