BookID,BooksReaderID,DateIssued,ReaderID,ReturnedDate,Type
2513,19,1997-05-19 00:00:00.0,7,1997-05-20 00:00:00.0,copy
2648,76,1997-07-24 00:00:00.0,18,1997-07-30 00:00:00.0,copy
1504,104,1997-07-25 00:00:00.0,22,1997-09-08 00:00:00.0,copy
724,105,1997-09-23 00:00:00.0,20,1997-10-06 00:00:00.0,copy
2130,106,1997-09-23 00:00:00.0,20,1997-10-07 00:00:00.0,copy
958,107,1997-09-23 00:00:00.0,20,1997-10-07 00:00:00.0,copy
1311,110,1997-05-15 00:00:00.0,12,1997-10-16 00:00:00.0,copy
2151,111,1997-10-07 00:00:00.0,20,1997-10-20 00:00:00.0,copy
1084,112,1997-10-07 00:00:00.0,20,1997-10-20 00:00:00.0,copy
2716,113,1997-09-16 00:00:00.0,15,1997-10-20 00:00:00.0,photocopy
2131,115,1997-10-07 00:00:00.0,20,1997-10-30 00:00:00.0,copy
904,116,1997-10-07 00:00:00.0,20,1997-11-07 00:00:00.0,copy
2522,118,1997-10-16 00:00:00.0,11,1998-02-17 00:00:00.0,copy
2025,119,1997-10-16 00:00:00.0,11,1998-02-17 00:00:00.0,copy
89,120,1997-07-24 00:00:00.0,11,1998-02-17 00:00:00.0,copy
2635,121,1997-10-17 00:00:00.0,11,1998-02-17 00:00:00.0,copy
732,122,1997-11-25 00:00:00.0,11,1998-02-17 00:00:00.0,copy
2390,123,1997-11-26 00:00:00.0,11,1998-02-17 00:00:00.0,copy
1202,124,1997-10-16 00:00:00.0,11,1998-02-17 00:00:00.0,copy
2677,125,1997-10-02 00:00:00.0,8,1998-02-12 00:00:00.0,copy
165,126,1997-12-01 00:00:00.0,8,1998-02-12 00:00:00.0,copy
2459,127,1997-12-01 00:00:00.0,8,1998-02-12 00:00:00.0,copy
1504,128,1997-10-20 00:00:00.0,8,1998-02-12 00:00:00.0,copy
197,129,1997-10-20 00:00:00.0,8,1998-02-12 00:00:00.0,copy
2091,130,1997-10-20 00:00:00.0,8,1998-02-12 00:00:00.0,copy
