BookID,BooksReaderID,DateIssued,ReaderID,ReturnedDate,Type
2615,64,1997-07-09 00:00:00.0,7,,copy
2627,65,1997-07-17 00:00:00.0,22,,copy
2628,67,1997-07-21 00:00:00.0,22,,copy
2223,68,1997-07-22 00:00:00.0,22,,copy
125,69,1997-07-22 00:00:00.0,22,,copy
1608,70,1997-07-22 00:00:00.0,22,,copy
2642,80,1997-07-24 00:00:00.0,22,,copy
2640,81,1997-07-24 00:00:00.0,22,,copy
2630,88,1997-07-23 00:00:00.0,10,,photocopy
2655,89,1997-07-29 00:00:00.0,22,,copy
2657,93,1997-07-31 00:00:00.0,22,,copy
2674,103,1997-08-11 00:00:00.0,22,,copy
2723,117,1997-10-02 00:00:00.0,8,,copy
2697,123,1997-10-15 00:00:00.0,11,,copy
2693,124,1997-10-15 00:00:00.0,11,,copy
2522,137,1997-10-20 00:00:00.0,8,,copy
1178,138,1997-10-30 00:00:00.0,23,,
668,145,1997-11-27 00:00:00.0,22,,copy
2834,179,1998-07-17 00:00:00.0,8,,copy
2695,186,1998-06-01 00:00:00.0,7,,copy
913,187,1998-06-01 00:00:00.0,7,,copy
2845,197,1998-08-28 00:00:00.0,8,,copy
2740,199,1998-09-07 00:00:00.0,7,,copy
2735,202,1998-09-07 00:00:00.0,7,,copy
2409,204,1998-09-07 00:00:00.0,7,,copy
2737,205,1998-09-07 00:00:00.0,7,,copy
2567,209,1998-09-07 00:00:00.0,7,,copy
2729,210,1998-09-07 00:00:00.0,7,,copy
2831,216,1998-09-07 00:00:00.0,7,,copy
2856,231,1998-10-29 00:00:00.0,8,,copy
2860,232,1998-10-30 00:00:00.0,7,,copy
2853,237,1998-10-30 00:00:00.0,7,,copy
2888,240,1998-11-16 00:00:00.0,8,,copy
2886,242,1998-11-16 00:00:00.0,8,,copy
2392,245,,8,,
2895,246,1998-11-20 00:00:00.0,8,,copy
2913,251,1998-11-27 00:00:00.0,22,,copy
2934,258,1999-01-25 00:00:00.0,22,,copy
2578,259,1999-01-25 00:00:00.0,32,,copy
2945,262,1999-02-19 00:00:00.0,22,,copy
2959,267,1999-03-30 00:00:00.0,8,,copy
2953,268,1999-03-30 00:00:00.0,8,,copy
810,272,1999-06-03 00:00:00.0,11,,copy
2971,273,1999-06-18 00:00:00.0,7,,copy
2862,275,1999-06-23 00:00:00.0,8,,copy
2976,286,1999-07-23 00:00:00.0,7,,copy
2986,288,1999-08-30 00:00:00.0,22,,copy
2983,289,1999-08-30 00:00:00.0,22,,copy
