DateIssued,JournalID,JournalsReaderID,ReaderID,ReturnedDate
1997-03-15 00:00:00.0,2178,13,8,
1997-06-10 00:00:00.0,2307,30,11,
1997-07-11 00:00:00.0,2959,38,7,
1997-10-27 00:00:00.0,2456,56,7,
1997-10-27 00:00:00.0,2385,57,7,
1998-01-09 00:00:00.0,254,66,12,
1998-03-13 00:00:00.0,2640,68,25,
1999-12-03 00:00:00.0,3330,75,7,
2000-09-13 00:00:00.0,3591,84,8,
2001-04-26 00:00:00.0,3157,85,8,
2001-04-26 00:00:00.0,3314,86,8,
2001-04-26 00:00:00.0,3365,87,8,
2001-08-29 00:00:00.0,3943,93,15,
2002-08-02 00:00:00.0,4223,94,22,
2002-08-02 00:00:00.0,4224,95,22,
2003-01-31 00:00:00.0,4380,96,37,
,3940,97,10,
2004-02-18 00:00:00.0,4568,100,81,
2004-06-09 00:00:00.0,4596,101,81,
2005-01-28 00:00:00.0,4680,102,37,
2006-10-06 00:00:00.0,4831,103,8,
