Available,CopiesNo,EndMonth,ISSN,JournalID,Language,Number,PhotocopiesNo,Publisher,Shelf,StartMonth,Subscriber,Theme,Title,Volume,Year
1,0,,0743-4618,1,english,1,1,isaac (decker),g123,2,cs,performance is the prize: language competence and performance among aac users,interacting with computers,8,1992
1,0,,0743-4618,2,english,2,1,isaac (decker),g123,5,cs,on the validity of user-modelling in aac,ieee spectrum,8,1992
1,0,,0743-4618,3,english,3,1,isaac (decker),g123,9,cs,social interaction and learned helplessness in severely disabled children,ieee transactions on robotics and automation,8,1992
1,0,,0743-4618,4,english,4,1,isaac (decker),g123,12,cs,evaluation of keystroke saving across five assistive communication technologies,interacting with computers,8,1992
1,1,,0743-4618,5,english,1,0,isaac (decker),g123,3,cs,"home literacy experience of preschoolers who use aac systems and of their nondisabled peers, simultaneous communication and speech comprehension, telecommunication relay services",computing reviews,9,1993
1,1,,0743-4618,6,english,2,0,isaac (decker),g123,6,cs,comparison of two spelling instruction techniques for adults who use augumentative and alternative communication/comparison of unimodal and multimodal aac techniques for children with intellectual disabilities,acm transactions on computer-human interaction,9,1993
1,1,,0743-4618,7,english,3,0,isaac (decker),g123,9,cs,sigsymbol system in a multimodal approach to speech elicitation/efficiency of lexical prediction as a communication acceleration technique/functional communication training using assistive devices.,computer για ολους,9,1993
1,1,,0743-4618,8,english,4,0,isaac (decker),g123,12,cs,comparison of speed and accuracy for selected  electronic communication devices and input methods/children's attitudes toward a nonspeaking child using various aac techniques.,acm computing surveys,9,1993
1,1,,0743-4618,9,english,1,0,isaac (decker),g123,3,cs,aac and behavior analysis/discontinuity in the development of aided aac systems/aac: an historic perspective,ieee spectrum,10,1994
1,1,,0743-4618,10,english,2,0,isaac (decker),g123,6,cs,comparison of relative demands implicated in direct selection and scanning: considerations from normal children,international journal of human-computer interaction,10,1994
1,1,,0743-4618,11,english,3,0,isaac (decker),g123,9,cs,variables affecting perceptions of social aspects of the communicative competence of an adult aac user.,aac augmentative and alternative communication,10,1994
1,1,,0743-4618,12,english,4,0,isaac (decker),g123,12,cs,efficacy of aac interventions / vocabulary-use patterns in preschool children / effects of selection techniques and array sizes on short-term visual memory / phonologic awareness.,aac augmentative and alternative communication,10,1994
1,1,,0743-4618,13,english,1,0,isaac (decker),g123,3,cs,"articles: digital speech synthesis, aac systems used by people with cerebral palsy in scotland, communication intervention for persons with profound disabilities: a swedish perspective",aac augmentative and alternative communication,11,1995
