Author1,Author2,Author3,Author4,Category,CopiesNo,CoverType,ISBN,PhotocopiesNo,PublicationYear,Publisher,Theme,Title,Topic1,Topic2,Topic3
,,,,proceedings,0,spiral,,1,1990,industrial engineering and management press,proceedings of the second international conference on management of technology.,management of technology ii (volume ii),,,
,,,,proceedings,0,spiral,,1,1990,industrial engineering and management press,proceedings of the second international conference on management of technology.,management of technology ii (volume iii),,,
,,,,book,1,paperback,0333556860,0,1991,macmillan press,this book provides a clear and comprehensive introduction to the theory and practice of marketing.,"marketing, an introductory text (5th edition)",,,
main  m.,melton  a.,mislove  m.,schmidt  d.,proceedings,1,paperback,3540580271,0,1994,springer-verlag berlin,"proceedings from the 9th international conference on the mathematical foundations of programming semantics was held on the campus of tulane university, new orleans, louisiana from april 7 to 10, 1993.",mathematical foundations of programming semantics,computer science,,
,,,,book,1,ντοσιέ,0112706665,0,1990,hmso publications centre,this document contains provisions relating to attainment targets and programmes of study in english for pupils.,mathematics in the national curriculum,,,
,,,,book,1,paperback,0112704786,0,1978,hmso publications centre,a brief guide to the report of the committee of enquiry into education of handicapped children and young people.,meeting special educational needs,disability,,
van der woude  l.h.v.,rozendal h. r.,,,proceedings,1,paperback,8885936024,0,1989,commission of the european communities comac bme,this book includes a consumers survey on functionality and durability of hand propelled wheelchairs and some methodological aspects of consumer evaluation of technical assistive devices for the disabled.,methodology of consumer evaluation of hand propelled wheelchairs,,,
,,,,book,1,hardbound,0444893016,0,1992,elsevier science publishers,1. system design 2. user interfaces,methods and tools in user-centred design for information technology,,,
fahlen  maria,nilsson  sven-hakan,,,report,1,paperback,,0,1992,stockholm university,this report gives some ideas and experiences of the use of videotelephony for people with moderate mental retardation.,minitrial. a limited study of the use of videotelephony for people with moderate retardation,disability,,
,,,,report,1,διαφάνεια,,1,1987,esprit,the present report aims to give an overview on the use ans status of multi-modal interfaces.,models for interfaces with integrated interaction techniques,,,
,,,,book,1,paperback,1871516307,0,1988,intellect books,this book provides a fscinating look at some of the more innovative and promissing systems now being developed for language learning and instruction.,multilingual multimedia,,,
,,,,proceedings,1,paperback,,0,1993,inria-lorraine,"this volume contains the proceedings of the second ercim workshop on multimodal human-computer interaction (nancy, france, november 2-4, 1993).",multimodal human-computer interaction,,,
,,,,book,0,paperback,069102376x,1,1984,princeton university press,this book is about muscles and how they work in the bodies of vertebrate animals.,"muscles, reflexes, and locomotion",,,
mbe,fipm,fbim,finstd,report,1,spiral,,0,1990,n.a.c.e.d.p.,response to the governments consultative document employment and training for people with disabilities,n.a.c.e.d.p. national advisory council on employment of disabled people,,,
,,,,book,1,paperback,0112707769,0,1991,her majesty's inspectorate (hmso),"preparations to implement the national curriculum for pupils with statements in special and ordinary schools, 1989-90.",national curriculum and special needs,disability,,
,,,,report,1,paperback,,0,1994,european commission,this document describes the national hosts which are offering their facilities to cooperative projects developing advanced communication technologies and services.,national host descriptions connecting the user to the european infostructure,,,
,,,,report,1,paperback,,0,1994,commission of the european communities,"presentation of candidate national hosts, brussels, june 16 and 17, 1994",national host workshop,,,
,,,,report,1,spiral,,0,1987,rnib (royal national institute for the blind),this report includes papers of a workshop on network terminals for the visually disabled was held in datchet in june 1987.,network terminals for the visually disabled,networks,,
,,,,book,1,hardbound,0946536473,0,1989,north oxford academic phblishers,"this book meets the urgent need for a text that explains what neural computing is ""all about"" and sets the recent explosion of interest and activity in the area in its historical context.",neural computing architectures the design of brain-like machines,,,
butcher  g.,,,,report,1,paperback,,0,1989,rnib (royal national institute for the blind),this report includes papers on audio technology for the benefit of visually disabled persons.,new audio technology for the blind,audio-visual,,
barr  caroline,dudley a. geofrey,burfield a. leome,suchman a. lucy,book,1,hardbound,,0,1965,r. & w. heap company limited,this unique 12-lesson course will bring you a quickly master english.,new course in practical english (lesson 1-12),,,
o'shea  tim,,,,book,1,hardbound,3540558837,0,1992,springer-verlag berlin,"this book contains the proceedings of the nato advanced research worksop on new directions in advanced educational technology, held in milton keynes, uk, 10-13 november, 1988.",new directions in educational technology,,,
,,,,book,1,paperback,0951561308,0,1989,open university press and the further education unit,this book provides the use of new technology devices to meet the individual needs of people with disabilities and learning difficulties.,"new technology, disability & special educational needs",disability,,
,,,,book,1,paperback,,0,1991,,this guide provides the practical information needed to effectively use the pcs in non-speech communications programs and aids.,non-speech communication products 1991,,,
wong w. t.,,,,book,1,paperback,0804809488,0,1985,charles e. tuttle company,this book is an introduction to chinese and japanese characters.,noodle words: an introduction to chinese and japanese characters,,,
,,,,book,1,paperback,0672228009,0,1991,sams publishing,this book learns you how to create and use objects while developing viable software applications.,object-oriented programming in c++,,,
,,,,report,1,διαφάνεια,,0,1993,,this project report deals with the idea of physically-based animation as applied for the visualization of the behaviour of objects undergoing motion in a gravitational field.,object dynamics in computer animation,,,
,,,,report,1,paperback,3540520589,0,1989,springer-verlag berlin,"this report includes defining requirements and building blocks, and specifying a method for migrating to cim-osa",open system architecture for cim,,,
,,,,report,1,paperback,,0,1990,commission of the european communities,this report concerns the investigation of requirements and options in the field of advanced communications-technologies in europe.,"operation 1992, advanced communications-technologies in europe, consolidation of results",,,
