Available,Category,CopiesNo,CoverType,FirstName1,FirstName2,FirstName3,ISBN,LastName1,LastName2,LastName3,MiddleName1,MiddleName2,MiddleName3,Origin,PhotocopiesNo,PublicationYear,Publisher,Shelf,Theme,Title,Topic1,Topic2,Topic3
1,book,1,paperback,alan,russell,,3540760350,dix,beale,,,,,cs,0,1996,springer,,remote cooperation: cscw issues for mobile and teleworkers  addresses this issue by looking at the technological and social background to the problem and presenting case studies of remote working and learning in practice,remote cooperation: cscw issues for mobile and teleworkers,cooperation,,
1,proceedings,1,hardcover,luc,,,3540590528,steels,,,,,,cs,0,1995,springer,,"proceedings of the nato advanced study institute on the biology and technology of intelligent autonomous agents, held in castel invano, trento, italy, march 1-12, 1993",the biology and technology of intelligent autonomous agents,intelligent agents,,
1,book,1,paperback,tom,,,0387183914,bosser,,,,,,cs,0,1987,springer-verlag,,"research reports, esprit, project 385, hufit, volume 1","learning in man-computer interaction, a review of the literature",human-computer interaction,,
1,book,1,hardcover,adelino,,,3540600019,santos,,,,,,cs,0,1995,springer,,"multimedia techniques enable the production of non-traditional documents containing enormous amounts of information. the production of such documents by a group, as opposed to an individual, is the main subject of this book",multimedia and groupware for editing,multimedia,groupware,
1,book,1,paperback,oscar,yi-tzuu,,0818619244,garcia,chien,,n.,,,cs,0,1992,ieee computer society press,,a collection of papers concerning the reaserch upon knowledge-based systems,knowledge-based systems: fundamentals and tools,knowledge-based systems,,
1,book,1,paperback,,,,0262610715,american association for artificial intelligence,,,,,,cs,0,1993,aaai press,,"proceedings of the eleventh national conference on artificial intelligence, july 11-15, 1993, washington. each year the national conference on artificial intelligence (ncai) is the primary large scale forum in the united states where the highest quality new research in artificial intelligence (ai) is presented and discussed.",proceedings of the eleventh national conference on artificial intelligence,artificial intelligence,,
1,book,1,paperback,jan van,,,3540601058,leeuwen,,,,,,cs,0,1995,springer,,computer science today presents a unique collection of expository papers on major topics that are representative for computers science today.,"computer science today, recent trends and developments",computer science,,
1,proceedings,1,paperback,bodo,,,3211828761,urban,,,,,,cs,0,1996,springer wien new york,,"proceedings of the eurographics workshop in rostock, federal republic of germany, may 28-30, 1996",multimedia '96,multimedia,,
1,proceedings,1,paperback,nabil,milton,yelena,3540614109,adam,halem,yesha,r.,,,cs,0,1996,springer,,"adl '95 forum, mclean, virginia, usa, may 15-17, 1995. selected papers.","digital libraries, research and technology advances",digital libraries,,
1,proceedings,1,paperback,marjan,,,3540760121,sarshar,,,,,,cs,0,1996,springer,,"proceedings of the international workshop on systematic reuse, liverpool, 8-9 january 1996",systematic reuse: issues in initiating and improving a reuse program,systematic reuse,,
1,proceedings,1,paperback,michael,jorg,milind,3540608052,wooldridge,muller,tambe,,p.,,cs,0,1996,springer,,"ijcai'95 workshop (atal) montreal, canada, august 19-20, 1995","intelligent agents ii, agent theories, architectures, and languages",intelligent agents,,
1,proceedings,1,paperback,stefan,beat,a min,3211827986,klein,schmid,tjoa,,,,cs,0,1996,springer wien new york,,"proceedings of the international conference in innsbruck, austria, 1996",information and communication technologies in tourism,information technologies,,
1,book,1,paperback,adam,yelena,,3540607382,nabil,yesha,,r.,,,cs,0,1995,springer,,"digital communication, edi standardization, electronic banking, digital cash, internet, cyberspace, multimedia services, structured documents, digital libraries, atm networks, intelligent networking, teleconferencing, privacy, workflow support","electronic commerce, current research issues and applications",electronic commerce,,
1,proceedings,1,paperback,m.,r.,r.,3540760695,sasse,cunningham,winder,a.,j.,l.,cs,0,1996,springer,,"the aim of the cnference and the group was to bring together researchers, designers and users os computer systems to discuss and exchange views on the quality of user interfaces",people and computers x! proceedings of hci '96,human-computer interaction,,
