Copies,EndMonth,ISSN,NewsletterID,Number,Photocopies,Publisher,Shelf,StartMonth,Subscriber,Theme,Title,Volume,Year
1,,,2,2,0,acm,γ122,2,cs,"commentary keeping up with the times, acm computing week: a unifying event",acmmembernet,38,1995
1,,,3,5,0,acm,γ122,5,cs,electronic production begins at headquarters. sigmultimedia plans its third international conference. japanese chapter works with industry,acmmembernet,38,1995
1,,,4,8,0,acm,γ122,8,cs,commentary crossroads: acm's first electronic publication,acmmembernet,38,1995
1,,,5,11,0,acm,γ122,11,cs,commentary 50th anniversary special events at acm computing week '96,acmmembernet,38,1995
1,,,6,2,0,acm,γ122,2,cs,commentary franz alt remembers the early years of computing and the creation of acm/ computing week 96 ushers in acm's 50th anniversary,acmmembernet,39,1996
1,,,7,5,0,acm,γ122,5,cs,commentary monty newborn and yasser seirawan reflect of acm chess challenge/ berkeley wins acm collegiate programming contest,acmmembernet,39,1996
1,,,8,8,0,acm,γ122,8,cs,acm's group insurance program expands services/ publications continue to pursue new directions/ new electronic services working group is formed.,acmmembernet,39,1996
1,,,9,1,0,open it developments,,4,δείγμα,"information, analysis and news on current developments in rehabilitation technology in europe.",assistive technology,,1992
1,,,10,,0,the british computer society (bcs),g122,1,δείγμα,,bcs disabled specialist group,,1986
1,,,11,,0,the british computer society (bcs),g122,1,δείγμα,,bcs disabled specialist group,,1988
1,,,12,,0,the british computer society (bcs),g122,7,δείγμα,,bcs disabled specialist group,,1988
1,,,13,,0,the british computer society (bcs),g122,1,δείγμα,,bcs disabled specialist group,,1989
1,,,14,,0,the british computer society (bcs),g122,14,δείγμα,,bcs disabled specialist group,,1989
1,,,15,,0,the british computer society (bcs),g122,16,δείγμα,,bcs disabled specialist group,,1990
1,,,16,,0,the british computer society (bcs),g122,14,δείγμα,,bcs disabled specialist group,,1990
1,,,17,,0,the british computer society (bcs),g122,13,δείγμα,,bcs disabled specialist group,,1990/91
1,,,18,,0,the british computer society (bcs),g122,15,δείγμα,,bcs disabled specialist group,,1991
1,,,19,3,0,european commission dg xii,g122,12,δείγμα,leading article: a challenge for research and health policy in europe,biomedical & health research,4,1993
1,,,20,1,0,european commission dg xii,g122,7,δείγμα,leading article: looking forward to the next biomedical and health reserach programme,biomedical & health research,5,1994
1,,,21,11,0,blissymbolic communication institute,cs-lib,1,δείγμα,north staffordshire bliss user's association/combine quiz/a classroom view/bliss class/combine quiz answers/blissapple/fable in symbols,british newsletter,,1983
1,,,22,72,0,croix-rouge de belgique cepiath,,,δείγμα,service des aides aux personnes handicapees,bulletin d' information,,1994
1,,,23,,0,human factors and ergonomics society,,8,cs,"this bulletin is concerned with the human factors aspects of interactive computer systems, especially user interface design issues.",computer systems technical group bulletin,,1995
1,,,24,,0,human factors and ergonomics society,,8,cs,"in this issue our tg chair, discusses the current stutus of the tg and raises some important issues about future directions",computer systems technical group bulletin,,1996
1,,,25,37,0,association of paediatric chartered physiotherapists,box bliss-,11,δείγμα,computers-a new treatment tool/report on msc/computer associated work with the multipy handicapped/electronics and remap/from wheelchair toddler to turbo-powered schoolgirl/equipment,computers and their users,,1985
1,,10226559,26,4,0,european commission,g121,12,cs,industry and technology: materials / design & manufacturing /transport,cordis focus rtd results,,1994
1,,10226559,27,5,0,european commission,g121,3,cs,"industry and technology, energy, biological sciences, protecting man and his environment, agricultural and marine resources and products, measurements and standards, physical and exact sciences, social and economic concerns.",cordis focus rtd results,,1995
1,,10226559,28,6,0,european commission,g121,6,cs,"industry and technology, energy, biological sciences, protecting man and his environment, agricultural and marine resources and products, measurements and standards, physical and exact sciences, social and economic concerns.",cordis focus rtd results,,1995
1,,10226559,29,7,0,european commission,g121,10,cs,"industry and technology, energy, biological sciences, protecting man and his environment, agricultural and marine resources and products, measurements and standards, physical and exact sciences, social and economic concerns.",cordis focus rtd results,,1995
1,,10226559,30,8,0,european commission,g121,11,cs,environmentally friendly vehicle technologies/ flexible and clean manufacturing-machine tools,cordis focus rtd results,,1995
1,,10226559,31,9,0,european commission,g121,3,cs,industry and technology/ energy/ biological sciences/ protecting man and his environment/ agricultural and marine resources and products/ measurements and standards/ physical and exact sciences,cordis focus rtd results,,1996
1,,10226559,32,10,0,european commission,g121,7,cs,industry and technology/ energy/ biological sciences/ protecting man and his environment/ agricultural and marine resources and products/ measurements and standards/ quick reference guide,cordis focus rtd results,,1996
1,,10226559,33,11,0,european commission,g121,10,cs,industry and technology/ energy/ biological sciences/ protecting man and his environment/ agricultural and marine resources and products/ measurements and standards/ physical and exact sciences,cordis focus rtd results,,1996
1,,10254013,34,5,0,commission of the european communities,g121,12,cs,participating in the fourth framework programme supplement,cordis focus supplement,,1994
1,,10254013,35,6,0,commission of the european communities,g121,2,cs,europe's way to the information society,cordis focus supplement,,1995
1,,10254013,36,7,0,commission of the european communities,g121,9,cs,fourth framework programme (1994-1998),cordis focus supplement,,1995
1,,10254013,37,8,0,european commission,g121,5,cs,supplement including 1) status of calls for proposals for the 4th framework programme 2) contact points for the specific programmers,cordis focus supplement,,1996
1,,10254013,38,10,0,european commission,g121,9,cs,networks for people and their communities,cordis focus supplement,,1996
1,,10254013,39,11,0,european commission,g121,10,cs,rtd and innovation support for smes an overview of european commission actions designed to assist small and medium-sized enterprises in participating in and benefiting from eu research and innovation activities,cordis focus supplement,,1996
1,,10226559,40,28,0,commission of the european communities,g121,12,cs,information technologies information day in brussels,cordis focus,,1994
1,,10226559,41,29,0,commission of the european communities,g121,12,cs,the information society project office: a new market-place for ideas,cordis focus,,1994
1,,10226559,42,31,0,commission of the european communities,g121,2,cs,fourth framework programme dissemination and exploitation of rtd results,cordis focus,,1995
1,,10226559,43,32,0,commission of the european communities,g121,2,cs,g7 ministerial conference on the information society,cordis focus,,1995
1,,10226559,44,33,0,commission of the european communities,g121,3,cs,g7 on the information society conclusions,cordis focus,,1995
1,,10226559,45,34,0,commission of the european communities,g121,3,cs,council calls for greater coordination of rtd policies / europa new server on internet,cordis focus,,1995
1,,10226559,46,35,0,commission of the european communities,g121,3,cs,environment consultative forum sets out principles for sustainable development,cordis focus,,1995
1,,10226559,47,36,0,commission of the european communities,g121,4,cs,industry council of 7 april 1995.,cordis focus,,1995
1,,10226559,48,37,0,commission of the european communities,g121,5,cs,commission establishes high-level expert group on the social and societal implications of the information society/ european science and technology assembly third plenary meeting,cordis focus,,1995
1,,10226559,49,38,0,commission of the european communities,g121,5,cs,"leonardo da vinci programme, eureka brokerage event on ""transport information systems""",cordis focus,,1995
1,,10226559,50,39,0,commission of the european communities,g121,6,cs,information technologies cooperation with third countries,cordis focus,,1995
1,,10226559,51,40,0,commission of the european communities,g121,6,cs,new task forces to develop priorities for research projects of common industrial interest,cordis focus,,1995
1,,10226559,52,41,0,commission of the european communities,g121,6,cs,coordinating employment policy,cordis focus,,1995
1,,10226559,53,42,0,commission of the european communities,g121,7,cs,new eu programme to stimulate european multimedia content industry: info 2000,cordis focus,,1995
1,,10226559,54,43,0,commission of the european communities,g121,7,cs,commissioner flynn speaks about the information society,cordis focus,,1995
1,,10226559,55,44,0,commission of the european communities,g121,9,cs,interview on the commission's priorities in the area of transport policy and research/ the european scientific and technological assembly,cordis focus,,1995
1,,10226559,56,45,0,commission of the european communities,g121,9,cs,fourth framework programme sme participation/ transport rtd programme results of first call for proposals,cordis focus,,1995
1,,10226559,57,46,0,commission of the european communities,g121,9,cs,lifelong learning - a goal for the next century (a recent interview from the director-general of dg xxii talked about the commission's plans in the area of education and training,cordis focus,,1995
1,,10226559,58,47,0,commission of the european communities,g121,10,cs,brite/euram '95 european conference which took place in vienna on 11-13 october 1995/ cordis on the world wide web,cordis focus,,1995
1,,10226559,59,48,0,commission of the european communities,g121,10,cs,"""car of the future"" task force commissioner bangemann addresses a new reality/ commissioner monti appeals for joint action against audiovisual piracy",cordis focus,,1995
1,,10226559,60,49,0,commission of the european communities,g121,11,cs,"european rtd in action, brite/euram'95, eitc'95",cordis focus,,1995
1,,10226559,61,50,0,commission of the european communities,g121,11,cs,language diversity in the european information society/ information and communications technologies,cordis focus,,1995
1,,10226559,62,51,0,european commission,g121,12,cs,"eitc '95 it forum focuses on ""managing change""",cordis focus,,1995
1,,10226559,63,52,0,european commission,g121,12,cs,new opportunities for participation fourth framework programme calls for proposals,cordis focus,,1995
1,,10226559,64,53,0,european commission,g121,1,cs,spotlight on innovation major new european green paper,cordis focus,,1996
1,,10226559,65,54,0,european commission,g121,1,cs,the environment europe makes progress/ new language versions launched,cordis focus,,1996
1,,10226559,66,55,0,european commission,g121,2,cs,"stimulating wider research: aeronautics, car of the future, multimedia educational software, multi-mode transport, environmentally friendly technologies",cordis focus,,1996
1,,10226559,67,56,0,european commission,g121,2,cs,"global comparison of regional rtd strategies restpor' 96, analysis of innovative regional systems",cordis focus,,1996
1,,10226559,68,58,0,european commission,g121,3,cs,focus on the environment/ world deal on telecommunications,cordis focus,,1996
1,,10226559,69,59,0,european commission,g121,4,cs,debating innovation conferences to discuss commission green paper,cordis focus,,1996
1,,10226559,70,60,0,european commission,g121,4,cs,shaping europe's maritime future competitiveness of maritime industries,cordis focus,,1996
1,,10226559,71,61,0,european commission,g121,5,cs,the decoding of yeast a complete genome unravelled by-funded research/ community regulation of the internet,cordis focus,,1996
1,,10226559,72,62,0,european commission,g121,5,cs,rtd-news on the world wide web milestone for cordis/ commission budget for 1997 preliminary draft adopted,cordis focus,,1996
1,,10226559,73,63,0,european commission,g121,6,cs,european union plans for promoting innovation,cordis focus,,1996
1,,10226559,74,64,0,european commission,g121,6,cs,"the european vision of the information society employment, regional, cohesion, and social justice",cordis focus,,1996
1,,10226559,75,65,0,european commission,g121,7,cs,evaluating community rtd programmes commission outlines rationalized approach,cordis focus,,1996
1,,10226559,76,67,0,european commission,g121,7,cs,opening the debate guidelines for the fifth framework programme,cordis focus,,1996
1,,10226559,77,68,0,european commission,g121,8,cs,"emerging priorities in the information society/ competitive position of european science, technology and industry",cordis focus,,1996
1,,10226559,78,69,0,european commission,g121,9,cs,sme participation in the fourth framework programme,cordis focus,,1996
1,,10226559,79,70,0,european commission,g121,9,cs,irish presidency home page cordis launches new rtd information service,cordis focus,,1996
1,,10226559,80,71,0,european commission,g121,10,cs,rtd activities of the european union,cordis focus,,1996
1,,10226559,81,72,0,european commission,g121,10,cs,"the eu gets its ""acts"" together advanced communications technologies and services",cordis focus,,1996
1,,10226559,82,73,0,european commission,g121,11,cs,"bringing ""it"" home esprit programme seeks a new way to use computers",cordis focus,,1996
1,,10226559,83,74,0,european commission,g121,11,cs,cordis on the web the complete cordis service now available on the world wide web,cordis focus,,1996
1,,10226559,84,75,0,european commission,g121,12,cs,first action plan for innovation in europe,cordis focus,,1996
1,,10226559,85,76,0,european commission,g121,12,cs,moving the research agenda forward,cordis focus,,1996
1,,,86,3,0,intermaps,,6,cs,a crisis for the producers/a european partnership between industry and distance teaching/integration of the media/multimedia training/distance learning and live-net/education for all by satellite/multimedia databases for educational systems,dlt news,,1990
1,,,87,3,0,european commission host organisation,,11,δείγμα,"libraries, ted database, service cordis, user assistance, videotex, hosts",echo news,,1991
1,14,,88,4,0,international eiffel community,g122,16,δείγμα,windows eiffel library: how to access ms-windows,eiffel world,4,1995
1,,,89,41,0,informatics department rutherford appleton laboratory,,11,cs,a catalogue of experimental data for cfd/second workshop on abstract machine,engineering computing newsletter serc,,1992
1,,,90,44,0,informatics department rutherford appleton laboratory,,5,cs,parallel processing in engineering community club being formed/modelling fluid flow using vortex methods/improving the quality of fortran programs,engineering computing newsletter serc,,1993
1,,1066212x,91,2,0,ieee,g122,4,cs,the review of the engineering management review/announcement of overlength page charges for the trasactions on engineering management,engineering management society,43,1993
1,,1066212x,92,3,0,ieee,g122,7,cs,characteristics of a successful r & d organization / total quality management,engineering management society,43,1993
1,,1066212x,93,4,0,ieee,g122,10,cs,president's message/ems engineering manager's notebook,engineering management society,43,1993
1,,1066212x,94,1,0,ieee,g122,1,cs,notes from your editor's computer,engineering management society,44,1994
1,,1066212x,95,2,0,ieee,g122,4,cs,ems engineering manager's notebook,engineering management society,44,1994
1,,1066212x,96,3,0,ieee,g122,7,cs,international engineering management conference,engineering management society,44,1994
1,,1066212x,97,4,0,ieee,g122,10,cs,"engineers turing ideas into reality, management ideas, creative marketing for videophones",engineering management society,44,1994
1,,1066212x,98,1,0,ieee,g122,1,cs,engineers turning ideas into reality/ management ideas/ transactions on engineering management,engineering management,45,1995
1,,1066212x,99,2,0,ieee,g122,4,cs,engineers turning ideas into reality/ brazil summer' 95 ems workshop scheduled,engineering management,45,1995
1,,1066212x,100,4,0,ieee,g122,10,cs,engineers turning ideas into reality/ ems engineering manager's notebook,engineering management,45,1995
1,,1066212x,101,1,0,ieee,g122,1,cs,your 1996 engineering management society officers,engineering management,46,1996
1,,1066212x,102,2,0,ieee,g122,15,cs,managing virtual enterprises,engineering management,46,1996
1,,1066212x,103,3,0,ieee,g122,14,cs,engineers turning ideas into reality,engineering management,46,1996
1,,,104,14,0,dg xiii,,2,cs,networks viruses/eurokom migration successful/document transfer tests,esprit information exchange system iesnews,,1988
1,,,105,16,0,dg xiii,,6,cs,information on the delta program/the paper interface/osi standards in china/euroinfo 88,esprit information exchange system iesnews,,1988
1,,,106,17,0,dg xiii,,8,cs,drive: another commission program/eurocontact: the way aheard/esprit conference week '88: preliminary conference program,esprit information exchange system iesnews,,1988
1,,,107,18,0,dg xiii,,10,cs,trans-europe data network service/brite program evaluation/comett and eurokom/videoconferencing/rare mhs project,esprit information exchange system iesnews,,1988
1,,,108,19,0,dg xiii,,12,cs,brite/euram technological days/first optical fibre leased line to japan/impact: the new name for the information market program of dgxiii.,esprit information exchange system iesnews,,1988
1,,,109,20,0,dg xiii,,2,cs,the international telecommunications union/the role of the european commission in the electronic information market,esprit information exchange system iesnews,,1989
1,,,110,21,0,dg xiii,,4,cs,operational machine translation/tedis program/parlakom pilot test/eurokom news/human factors in it/ open systems handbook,esprit information exchange system iesnews,,1989
1,,,111,22,0,dg xiii,,6,cs,comcentre/eurotra/rare networkshop/hungarian network/multivendor osi shop/cordis service,esprit information exchange system iesnews,,1989
1,,,112,23,0,dg xiii,,8,cs,brussels locations of the european institutions/tedis conference/cosine users meeting/cosine final specification phase overview report,esprit information exchange system iesnews,,1989
1,,,113,24,0,dg xiii,,11,cs,"the framework programme, 1990-94/new it periodicals/first european lisp conference",esprit information exchange system iesnews,,1989
1,,,114,25,0,dg xiii,,12,cs,telecommuting/information technology atlas-europe/metal machine translation,esprit information exchange system iesnews,,1989
1,,,115,26,0,dg xiii,,2,cs,un databases on cd-rom/first hacker conviction/osi products,esprit information exchange system iesnews,,1990
1,,,116,28,0,dg xiii,,6,cs,open systems participants/telecommunications and methodology/telematics/esprit: new projects,esprit information exchange system iesnews,,1990
1,,,117,30,0,dg xiii,,10,cs,cenelec electronic components commee/exact:test data exchange/the uk networking association/interoperability and conformance testing,esprit information exchange system iesnews,,1990
1,,,118,25,0,university of leeds,,10,δείγμα,news from igwp/reports on meetings/graphics around the country/conferences and meetings notices,graphics newsletter,,1992
1,,,119,28,0,advisory group on computer graphics (agocg),,4,cs,current progress towards evaluating scientific graphing packages for the pc,graphics & visualization,,1993
1,12,,120,8,0,commission of the european communities,cs-lib,11,cs,helios exchange and information activities/second european day of disabled persons,helios flash,,1994
1,10,,121,12-13,0,commission of the european communities,g122,8,cs,action programme to assist disabled people/transfer in the helios activities,helios flash,,1995
1,12,,122,14,0,commission of the european communities,g122,11,cs,european day of disabled persons: full citizenship,helios flash,,1995
1,6,,123,16,0,commission of the european communities,g122,5,cs,exchange and information activities 1995,helios flash,,1996
1,,04381629,124,2,0,human factors and ergonomics society,g122,2,cs,technical standards committee/ cal-osha hears comments on ergonomics regulation,hfes bulletin,39,1996
1,,04381629,125,6,0,human factors and ergonomics society,g122,6,cs,human-centered technology in philadelphia,hfes bulletin,39,1996
1,,04381629,126,8,0,human factors and ergonomics society,g122,8,cs,advocacy for human factors/ ergonomics,hfes bulletin,39,1996
1,,04381629,127,9,0,human factors and ergonomics society,g122,9,cs,sharing human factors success stories,hfes bulletin,39,1996
1,,04381629,128,10,0,human factors and ergonomics society,g122,10,cs,road map to the future/ revised strategic plan september 1996,hfes bulletin,39,1996
1,,,137,3,0,"dept. electronic and electrical engineering, university of surrey, uk",,9,cs,conference reports/nato advanced study institute on active perception and robot vision/calls for papers/calendar of events,iapr newsletter,12,1989
1,,,138,4,0,"dept. electronic and electrical engineering, university of surrey, uk",,12,cs,new journals/ieee international conference on image processing/calls for papers/calendar of events,iapr newsletter,12,1989
1,,,139,3,0,"dept. electronic systems engineering, university of essex, uk",,1,cs,"the portugese association for pattern recognition,israel/italy binational symposium on computer vision, the british machine vision conference 1991, conference announcements",iapr newsletter,14,1992
1,,,140,4,0,"dept. electronic systems engineering, university of essex, uk",,4,cs,"ece'91, retirement of prof. dutta majumdar, new e-mail address for iapr secretary/korea joins the iapr, a message from korea, book review, conference announcements",iapr newsletter,14,1992
1,,,141,1,0,swedish institute for the handicapped,,5,cs,seminar on appropriate aids and equipment for disabled people in africa/designing aids for disabled adults/pc-programs for disabled people/technical aids,icta inform,,1988
1,,12683701,142,2,0,inria,g121,1,cs,soft engineering-new generation,inedit,,1996
1,,12683701,143,3,0,inria,g121,3,cs,the web scene on the seine,inedit,,1996
1,,12683701,144,4,0,inria,g121,5,cs,"quest france, a high rate newspaper/ computer resources/ inet '96 (sitxth annual conference of the internet society)",inedit,,1996
1,,02550806,145,1,0,commission of the european communities,cs-lib,1,cs,scientific research across the whole european continent/second wave framework programme/calls for proposals/euro info centre news/energy for our environment/new electronic guides to community science and technology,innovation and technology transfer,13,1992
1,,02550806,146,2,0,commission of the european communities,cs-lib,12,cs,fourth framework programme/new organisation of dg xii and dg xiii/third framework programme/ongoing developments/value ii/sprint/publications/conferences/joint research centre: overview,innovation and technology transfer,13,1992
1,,02550806,147,1,0,commission of the european communities,cs-lib,3,cs,the value relay centres/the new commission/sprint/community telecommunications/satellite earth station equipment/consumer electronics industry/publications/joint research centre,innovation and technology transfer,14,1993
1,,02550806,148,2,0,commission of the european communities,g121,6,cs,impact 2 work programme/sprint activities/agro-industrial programmes/results of community r&d/ongoing developments/publications-conferences,innovation and technology transfer,14,1993
1,,02550806,149,3,0,commission of the european communities,cs-lib,8,cs,cordis/drive - star - race/sprint/ results of community r & d/third framework programme update/ongoing developments/publications conferences,innovation and technology transfer,14,1993
2,,02550806,150,4,0,commission of the european communities,cs-lib,10,cs,smes/sprint/esprit networks of excellence/results of community r&d/programmes/ongoing developments/publications-conferences.,innovation and technology transfer,14,1993
1,,02550806,151,1,0,commission of the european communities,cs-lib,2,cs,the value programme in-depth+fourth framework programme update / sprint news / jrc case study,innovation and technology transfer,15,1994
1,,02550806,152,2,0,commission of the european communities,cs-lib,4,cs,"sprint: an innovative programme profiled + 'white paper': infrastructure task forces, value news, esprit case study",innovation and technology transfer,15,1994
2,,02550806,153,3,0,commission of the european communities,cs-lib,6,cs,"transferring space technologies, telematics case study",innovation and technology transfer,15,1994
2,,02550806,154,4,0,commission of the european communities,cs-lib,7,cs,flair-flow: a focused dissemination network/multimedia case study teleoperated robots,innovation and technology transfer,15,1994
2,,02550806,155,5,0,commission of the european communities,cs-lib,9,cs,"eureka: market-oriented r&d value news, sprint news, concerted action case study, european it conference",innovation and technology transfer,15,1994
1,,02550806,156,6,0,commission of the european communities,cs-lib,11,cs,cost: coordinating national r&d,innovation and technology transfer,15,1994
1,,02550806,157,1,0,commission of the european communities,g121,1,cs,industrial technologies: an integrated approach,innovation and technology transfer,16,1995
2,,02550806,158,2,0,commission of the european communities,g121,3,cs,technology transfer networks: a manager's guide plus case study: saving wild fish stocks,innovation and technology transfer,,1995
1,,10136452,159,1,0,european commission,g121,2,cs,special issue european commission launches green paper on innovation,innovation and technology transfer,,1996
1,,10136452,160,2,0,european commission,g121,12,cs,special edition european commission launches first action plan for innovation in europe,innovation and technology transfer,,1996
1,,,161,87,0,iee,cs-lib,1,cs,iee database is best in europe,iee news,,1994
1,,,162,95,0,iee,cs-lib,10,cs,worlds apart-an evening of virtual reality with the iee,iee news,,1994
1,,03080684,163,93,0,iee,120a,7,cs,"widespread backing for formation overhaul/ diary, events and conference news/ elections and transfers",iee news/iee recruitment,,1994
1,,03080684,164,97,0,iee,g122,12,cs,european telecoms 'must be freed now',iee news,,1994
1,,,165,98,0,iee,g122,1,cs,engineering sets schools picture challenge,iee news,,1995
1,,,166,99,0,iee,g122,2,cs,re-engineering/ three-day route to effective management,iee news,,1995
1,,,167,100,0,iee,g122,3,cs,home control systems for disabled people wins iee prize,iee news,,1995
1,,,168,101,0,iee,g122,4,cs,musical mystery provides key to international lecture,iee news,,1995
1,,,169,103,0,iee,g122,6,cs,iee on the internet/ younger members on the world wide web/ iee conference marks radio centenary,iee news,,1995
1,,,170,104,0,iee,g122,7,cs,iee on the internet/ eurotunnel to present faraday lecture,iee news,,1995
1,,,171,106,0,iee,g122,10,cs,"iee helps take school science beyond the nature table. inside there is the ""interlink"" issue 4, october 1995",iee news,,1995
1,,,172,107,0,iee,g122,11,cs,"engineer's incomes rise despite recession/ bbc celebrates engineering/ diary, events and conference news",iee news,,1995
1,,,173,110,0,iee,g122,2,cs,british gas engineer spearheads yes campaign to raise profession's profile/ iee library catalogue now available online/ iee and nec reward top technology teachers,iee news,,1996
1,,,174,111,0,iee,g122,3,cs,forum launches 'new era' for engineering council,iee news,,1996
1,,,175,112,0,iee,g122,4,cs,president calls on city to back innovation/ scottish engineering centre will be in central glasgow/ computing on the plains of west bengal,iee news,,1996
1,,,176,114,0,iee,g122,6,cs,"labour will back uk industry, shadow spokesman tells iee",iee news,,1996
1,,,177,116,0,iee,g122,9,cs,scottish engineering centre gets set to raise the roof (included interlink iisue 7),iee news,,1996
1,,,178,118,0,iee,g122,11,cs,"uk industry needs engineers to lead the way, says new president",iee news,,1996
1,,,179,1,0,asee electrical engineering division,,15,cs,asee centennial conference/accreditation news/division vi director's report/new ieee fellows/curriculum trends/nominations for e.a.b. awards,ieee education society,0,1993
1,,,180,2,0,asee electrical engineering division,,16,cs,examining the pipeline: a nondestructive evaluation of the status of minority engineering programs,ieee education society,0,1993
1,,,181,3,0,asee electrical engineering division,,14,cs,nsf-sponsored curriculum innovation in undergraduate engineering education.,ieee education society,0,1993
1,,,182,1,0,asee electrical engineering division,,15,cs,computer and networks in engineering education,ieee education society,0,1994
1,,,183,2,0,asee electrical engineering division,,16,cs,nota bene-re-engineering the accreditation system,ieee education society,0,1994
1,,,184,3,0,asee electrical engineering division,,14,cs,educating tomorrow's engineers,ieee education society,0,1994
1,,,185,1,0,asee electrical engineering division,,4,cs,"cooperative learning: effective teamwork for engineering classrooms, curriculum trends, highlights from the minutes of the adcom and the joint es/erm board meeting",ieee education society,0,1995
1,,,186,2,0,ieee education society,g121,8,cs,a personal view of education,the interface,,1995
1,,,187,3,0,ieee education society,g121,11,cs,an assessment of the carnegie mellon electrical and computer engineering curriculum,the interface,,1995
1,,,188,1,0,ieee education society,g121,4,cs,the integrated teaching and learning program: meeting the 21st century challenge for engineering education,the interface,,1996
1,,,189,2,0,ieee education society,g121,8,cs,engineering criteria 2000: the abet vision for change,the interface,,1996
1,,,190,3,0,ieee education society,g121,11,cs,my views on some information technology issues,the interface,,1996
1,,01615718,191,6,0,ieee,g122,11,cs,"pcs participates in soviet technical conference: ""information centers and technical libraries: new problems""",ieee professional communication society,34,1990
1,,01615718,192,2,0,ieee,g122,3,cs,on management communication/call for papers/tools of the trade,ieee professional communication society,35,1991
1,,01615718,193,3,0,ieee,g122,5,cs,ipcc 91: the engineered communication,ieee professional communication society,35,1991
1,,01615718,194,4,0,ieee,g122,7,cs,"iccc 91 to ""break new ground""",ieee professional communication society,35,1991
1,,01615718,195,6,0,ieee,g122,11,cs,from the editor/1991 goldsmith award/the bus is waiting/on management communication/nominal group technique,ieee professional communication society,35,1991
1,,01615718,196,2,0,ieee,g122,3,cs,ipcc 92 crosses frontiers for professional communication society conference,ieee professional communication society,36,1992
1,6,01615718,197,3,0,ieee,g122,5,cs,chapter profile-mancom chapter/ipcc 92/cause-effect diagrams,ieee professional communication society,36,1992
1,8,01615718,198,4,0,ieee,g122,7,cs,technigues papetieres et graphiques,ieee professional communication society,36,1992
1,10,01615718,199,5,0,ieee,g122,9,cs,the united kingdom and republic of ireland pcs chapter/on management communication,ieee professional communication society,36,1992
1,12,01615718,200,6,0,ieee,g122,11,cs,the role of professional communication in meeting southern california's challenges: a report from the los angeles chapter,ieee professional communication society,36,1992
1,2,01615718,201,1,0,ieee,g122,1,cs,the brave new world of professional communication/on management communication,ieee professional communication society,37,1993
1,4,01615718,202,2,0,ieee,g122,3,cs,on management communication/tools of the trade/commuguides now available/ieee press books available,ieee professional communication society,37,1993
1,6,01615718,203,3,0,ieee,g122,5,cs,ieee legislative report / technical writing tidbits / commuguides available / technical commercialization / iecon '93,ieee professional communication society,37,1993
1,8,01615718,204,4,0,ieee,g122,7,cs,tools of the trade/a distinguished communicator/ipcc 93/prototype/curmudgeon's corner/ipcc 94,ieee professional communication society,37,1993
1,10,01615718,205,5,0,ieee,g122,9,cs,profile of a distinguished communicator,ieee professional communication society,37,1993
1,12,01615718,206,6,0,ieee,g122,11,cs,"ipcc 93, a personal view, tools of the trade, memories from ipcc 93",ieee professional communication society,37,1993
1,2,01615718,207,1,0,ieee,g122,1,cs,"on management communication, tools of the trade",ieee professional communication society,38,1994
1,4,01615718,208,2,0,ieee,g122,3,cs,"on management communication, curmudgeon's corner, a distinguished communicator",ieee professional communication society,38,1994
1,8,01615718,209,4,0,ieee,g122,7,cs,"on management communication, tools of the trade",ieee professional communication society,38,1994
1,10,01615718,210,5,0,ieee,g122,9,cs,"tools of the trade, the five elements of successful technical presentations",ieee professional communication society,38,1994
1,12,01615718,211,6,0,ieee,g122,11,cs,ipcc 94 in banff,ieee professional communication society,38,1994
1,2,01615718,212,1,0,ieee,g122,1,cs,"tools of the trade, pbjs and technical writing, engineering-writing contest",ieee professional communication society,39,1995
1,4,01615718,213,2,0,ieee,g122,3,cs,"ten tips for international communication, on management communication, pcs logo contest",ieee professional communication society,39,1995
1,6,01615718,214,3,0,ieee,g122,5,cs,tools of the trade/ ipcc 95 program,ieee professional communication society,39,1995
