Available,CopiesNo,EndMonth,ISSN,JournalID,Language,Number,PhotocopiesNo,Publisher,Shelf,StartMonth,Subscriber,Theme,Title,Volume,Year
1,1,,,17,english,1,0,british computer society disability programme,guib-lib,16,δείγμα,visual language centre/virtual reality/rehabilitation robotics/7th annual conference programme,ability,0,1991
1,1,,,18,english,2,0,british computer society disability programme,guib-lib,14,δείγμα,sound and vision issue: guis among the blind/making sense of the patterns of speech/british hci conference.,ability,0,1991
1,1,,,19,english,30,0,emap b&cp,cs-lib,3,δείγμα,"hyperguide: hypermedia, hypergames, hyperconfused, hyperexplained",ace (advanced computer entertainment),0,1990
2,1,,0001-6918,31,english,1,0,elsevier science b.v.,g122,6,δείγμα,"acta psychological publishes original papers on experimental studies, as well as theoretical and review articles, in human experimental psychology.",acta psychological international journal of psychonomics,86,1994
1,1,,0963-6013,32,english,1,0,intellect,g122,1,δείγμα,"computer animation, connectionism as a software-engineering paradigm, computer assisted language learning, a critical assessment of linguistics.",advanced information systems,1,1993
1,1,,1075-3982,33,english,3,0,"augmentative communication, inc.",g123,10,cs,the internet and aac/ speaking out through on-line services/ kids in cyberspace/ resources to get you surfing/ what can kids do on the internet?,alternatively speaking,2,1995
1,1,,1075-3982,34,english,4,0,"augmentative communication, inc.",g123,12,cs,talking about us/ this is entertainment?/ tips from lenny/ words about words/ what is normal?,alternatively speaking,2,1995
1,1,,0004-3702,35,english,1,0,elsevier science b.v.,cs-lib,5,δείγμα,"planning with constraints, planning and meta-planning, modelling student's problem solving",artificial intelligence,16,1981
1,1,,0004-3702,36,english,1,0,elsevier science b.v.,cs-lib,11,δείγμα,papers: motivated action theory: a formal theory of causal reasoning/ downward refinement and the efficiency of hierarchical problem solving,artificial intelligence,71,1994
1,1,,0897-9278,40,english,6,0,"augmentative communication, inc.",g123,11,δείγμα,clinical news/equipment/governmental/university & research,augmentative communication news,5,1992
1,0,,0897-9278,41,english,1,1,"augmentative communication, inc.",g123,3,δείγμα,this issue focuses on the design and construction  of communication displays for low tech devices.,augmentative communication news,6,1993
1,0,,0897-9278,42,english,3,1,"augmentative communication, inc.",g123,6,cs,clinical news: augmentative communication across the life span in as/ equipment: low and high tech strategies across the life span,augmentative communication news,8,1995
1,1,,0897-9278,43,english,4,0,"augmentative communication, inc.",g123,9,cs,"building consensus: brainstorming & storyboarding: communication needs, skills, abilities, goals and more",augmentative communication news,8,1995
1,1,,0897-9278,44,english,5,0,"augmentative communication, inc.",g123,10,cs,university & research/ technology and inclusion/ introducing aac to classmates,augmentative communication news,8,1995
1,1,,0897-9278,45,english,6,0,"augmentative communication, inc.",g123,12,cs,inclusive education: the legal test/ helping: the right kind/ using technology to support inclusion,augmentative communication news,8,1995
1,1,2,0897-9278,46,english,1,0,"augmentative communication, inc.",g123,1,cs,clinical news: aac strategies and approaches,virtual reality systems,9,1996
