BookID,ISBN,Inserted,OrderID,PublicationYear,Publisher,Title
18,0566075776,true,3,1996,gower publishing group,a practical guide to business process re-engineering
22,1572316047,true,2,1997,microsoft corporation,visual basic 5.0: programmer's guide
23,0137483287,true,2,1997,prentice-hall,core visual basic 5 (the core series)
24,0672309793,false,2,1996,sams publishing,visual basic 5 unleashed (not needed for the moment)
25,1556156677,true,2,1995,microsoft corporation,hardcore visual basic
26,1572314362,true,2,1997,microsoft corporation,microsoft visual basic 5.0 developer's workshop (fourth edition)
27,0471116904,true,2,1997,john wiley & sons,handbook of human factors and ergonomics
28,0787903582,true,3,1997,jossey-bass,steps to the future: fresh thinking on the dynamics of it-based organizational transformation
29,1850321930,true,3,1995,international thomson computer press,rapid prototyping: reengineering the development process
30,0852926219,true,3,1995,institute of personnel and development,re-engineering's missing ingredient: the human factor
31,047195490x,true,3,1996,john wiley & sons,managing business process: bpr and beyond
32,0814479235,true,3,1996,amecom,reengineering handbook: a step-by-step guide to business transformation
33,0471118079,true,3,1996,john wiley & sons,reengineering your nonprofit organisation: a guide to strategic transformation
34,0387945539,true,3,1995,springer-verlag wien new york,software methods for business reengineering
35,0256154783,true,3,1996,,"strategic management: formulation, implementation, and control"
36,0070019746,true,3,1995,mcgraw-hill,systems requirements and process reengineering: a modeling and prototyping guide
37,0077079922,false,3,1995,mcgraw-hill,"total competitiveness: the 7 questions for re-engineering - where you are, where you want to be and how to get there"
38,0875846734,true,3,1996,harvard business sch,fast forward: the best ideas on managing business change
39,0712675450,false,3,1995,business books,crunchtime: how to re-engineer your organization (out of print)
40,0133107078,true,3,1995,prentice-hall,the essence of business process re-engineering
41,0412640007,true,3,1995,indernational federation for information processing,informations systems development for decentralized organization
42,0070157685,true,3,1997,mcgraw-hill,iso 9000 management systems manual
43,007011224x,true,3,1995,mcgraw-hill,best practices in reengineering: what works and what doesn't in reengineering turnarounds
44,0079122825,false,3,1997,mcgraw-hill,the business process reengineering workbook
45,1878289292,true,3,1995,idea group publishing,"business process change: reengineering concepts, methods and technologies"
46,0471950882,true,3,1994,john wiley & sons,business process reengineering: breakpoint strategies for market dominance
47,1558604111,true,6,1997,morgan kaufmann publishers,contextual design: defining customer centered systems
48,1558604448,true,6,1997,morgan kaufmann publishers,reading in intelligent user interfaces
49,1558604189,false,6,1997,morgan kaufmann publishers,introduction to user interface software
50,1558603107,true,6,1995,morgan kaufmann publishers,human computer interface design: success cases emerging methods and real-world context
52,1558604626,true,6,1997,morgan kaufmann publishers,applying case-based reasoning
53,1558604030,true,6,1997,morgan kaufmann publishers,predictive data mining
54,1558603018,true,6,1995,morgan kaufmann publishers,elements of machine learning
55,155860166x,true,6,1995,morgan kaufmann publishers,introduction to knowledge systems
56,155860460x,true,6,1997,morgan kaufmann publishers,foundations of genetic algorithms (volume 4)
57,1558604790,true,6,1991,morgan kaufmann publishers,probabilistic reasoning in intelligent systems
58,1558602607,true,6,1994,morgan kaufmann publishers,intelligent scheduling
59,1558604200,true,6,1997,morgan kaufmann publishers,intelligent java programming for the internet and intranets
60,1558604596,true,6,1997,morgan kaufmann publishers,"practical digital libraries: books, bytes, and bucks"
61,1558604545,true,6,1997,morgan kaufmann publishers,readings in information retrieval
63,155860457x,false,6,1997,morgan kaufmann publishers,java under the hood
64,1558604650,false,6,1997,morgan kaufmann publishers,an introduction to the omg's unified modeling language
65,155860443x,true,6,1997,morgan kaufmann publishers,an introduction to advanced database systems
66,1558604340,true,6,1997,morgan kaufmann publishers,"principles of database query processing for advanced applications: multimedia, object-oriented, and distributed /heterogeneous databases"
67,1898972125,true,6,1997,ovum,agents on the web catalyst for e-commerce
68,,true,6,1996,ovum,best practice in software development: experiences in european industry
69,1556156790,true,6,1995,microsoft corporation,the windows interface guidelines for software design: an application design guide
70,1568843224,true,6,1995,idg books worldwide,about face: the essentials of user interface design
71,1556158742,false,6,1995,microsoft corporation,mastering microsoft windows 95 user interface design
72,0226103897,true,6,1993,university of chicago,"the chicago manual of style: the essential guide for writers, editors, and publishers (14th edition)"
73,0024181900,true,6,1979,allyn and bacon,elements of style (3rd indexd edition)
74,1566091594,true,6,1994,peachpit press,the non-designer's design book: design nad typographic principles for the visual novice
75,0471157554,true,6,1997,john wiley & sons,the essential guide to user interface design: an introduction to gui design principles and techniques
76,0471175498,true,6,1997,john wiley & sons,gui design essentials
77,0201694972,true,6,1997,longman,designing the user interface: strategies for effective human-computer interaction
78,0471117099,true,6,1995,john wiley & sons,"applied cryptography: protocols, algorithms, and source code in c"
79,,false,7,1996,mcgraw-hill,fundamentals of behavioral statistics
80,,false,7,1982,addison-wesley publishing company,fundamentals of behavioral research
81,,false,7,1997,john wiley & sons,the elements of user interface design
82,,false,7,1993,john wiley & sons,the gui-ooui war: the designer's guide to human-computer interfaces
83,1572315652,false,7,1997,microsoft corporation,inside visual c++ (fourth edition)
84,080581566x,true,8,1996,lawrence erlbaum associates,"design rationale: concepts, techniques, and use (computers, cognition, and work)"
85,0471076597,true,9,1995,john wiley & sons,scenario-based design: envisioning work and technology in system development
86,9810228309,true,10,1997,world scientific,"knowledge-based systems: advanced concepts, techniques and applications"
87,0837949321,true,10,1997,springer,beyond calculation: the next fifty years of computing
88,3450620672,false,10,1997,springer,advanced interfaces for the information society: human confort and security in the ue of information systems
89,3540594833,true,10,1997,springer,document management for hypermedia design
