AuthorID,FirstName,LastName
1,constantine,stephanidis
2,demosthenes,akoumianakis
3,anthony,savidis
4,charalampos,karagiannidis
5,michael,sfyrakis
6,george,paparoulis
7,margherita,antona
8,nikos,vernardakis
9,michael c.,fairhurst
10,m.,bonaventura
11,gregory,homatas
12,natassa,spyridou
13,gerhard,weber
14,frank,deconinck
15,d.,kochanek
16,claire,lidaki
17,lena,marinaki
18,maria,papadopoulou
19,adamantios,koumpis
20,panayiotis,galatis
21,george,vareltzis
22,m.,soede
23,p.a.m.e.,crombag-roben
24,h.,knops
25,p.l.,emiliani
26,ritsa,gogoulou
27,yannis,mitsopoulos
28,demetrios,grammenos
29,helen,petrie
31,s.,morley
32,athena,stergiou
33,alexis,paramythis
34,nikos,karidis
35,z.,katsaitis
36,m. q.,hasan
37,yannis,kasmeridis
38,christos,dagiakidis
39,danae,ioannidi
40,γιώργος,μαλαθράκης
41,στάθης,τριανταφύλλου
42,s.,orphanoudakis
43,p.,kofakis
44,e.,petrakis
45,g.,kouroupetroglou
46,d.,majoe
47,e.,kemppainen
48,j.,lindstrom
49,m.,martin
50,m.,wiederholt
51,k.,fellbaum
52,g.,klause
53,m.,whybray
54,j.,ekberg
55,k.,nordby
56,g.,jansson
57,h.,hamailainen
58,c.r.,cavonius
59,j.,engelen
60,b.,allen
61,ramon puig,de la bellacasa
62,a.s.,pereira
63,stephen,von tetzhner
64,marco,mercinelli
65,gunnar,hellstroem
66,a.,spaepen
67,a.,georgiou
68,panos,trahanias
69,adam,leventis
70,napoleon,maou
71,n.,psaroudakis
72,e.,lagoudaki
73,a.,korte
74,k.,crispien
75,g.,salvendy
76,g.,vernardos
77,j.,ziegler
78,k.-p.,faenrich
79,c.,stary
80,n.,vidakis
81,e.,palchetti
82,m.,billi
83,j.,schreck
84,j.,fink
85,a.,vindigni
86,r.,lauder
87,e.,kaasinen
88,k.,kauppila
89,a.-l.,salminen
90,a.,nill
91,l .,horelli
92,veli-pekka,raty
93,j.,ahonen
94,a.,kalliala
95,k.,nyholm
96,t.,pulli
97,k.,salomaa
98,u.,olsson
99,s.,haataja
100,m.,kalogirou
101,b.,alders
102,μ.,μαραγκουδάκη
103,olaf,halm
104,j.,bornschein
105,pekka,loula
106,j.,heimila
107,g.,flouris
108,noelle,carbonell
109,,alfred kobsa
111,c.,nikolaou
112,n.,bevan
113,j.,brewer
114,a.,galetsas
115,i.,iakonidis
116,j.,jacko
117,p.,jenkins
118,a.,karshmer
119,p.,korn
120,a.,marcus
121,h.,murphy
122,g.,vanderheiden
123,a.,arnold
124,d.,dardailler
125,c.,oppermann
126,h.,tamura
127,m.,tscheligi
128,h.,ueda
129,a.,waern
130,p.,hansen
131,p.,charlier
132,a.,delvaux
133,j.h.,devlies
134,h.,eriksson
135,f.,gremy
136,j.,hickey
137,p.,micossi
138,j.l.,monteagudo
139,n.,rossing
140,g.,sanderson
141,i.,sannes
142,k.,smedema
143,m.,tolppanen
144,j.h.,van bemmel
145,w.,van eimeren
146,k.,voge
147,j-c.,healy
148,p.,karp
149,j.,lacompe
150,p.,atkinson
151,l.,martinelli
152,s.s.,baig
153,harald,weber
154,m.,pieper
155,a.,nabil
156,m.f.,costabile
157,h.,doare
158,v.,frank
159,g.,de moor
160,m.f.,story
161,g.,vanderdonckt
162,w.,dierckx
163,l.,karefylaki
164,zacharias,protogeros
165,,leiderman
166,frank,leidermann
167,s.,lalis
168,alexandros,mourouzis
169,stavroula,ntoa
170,george,kartakis
171,vassilis,zarikas
172,george,papatzanis
173,ioannis,pachoulakis
174,r.w.,proctor
175,k.-p.,vu
176,gavriel,salbendy
177,gavriel,salvendy
178,h.,degen
179,x.,fang
180,j.m.,flach
181,f.,sainfort
182,s.,guillen
183,m.t.,arredondo
184,v.,traver
185,m.a.,valero
186,s.,martin
187,a.,traganitis
188,e.,mantzourani
189,a.,totter
190,k.,karefilaki
191,s.,robinson
192,emmanuel,boutsakis
193,evangelos,boutsakis
194,maria,filou
195,panayotis,papadakos
196,panayotis,karampelas
197,stella,vourou
198,george,malathrakis
199,stathis,triantafyllou
200,m.,tsiknakis
201,d.,anthoulakis
202,c.,alexandraki
203,i.,segkos
204,l.,burzagli
205,a.,karypidis
206,c.,buhler
207,i.,basdekis
208,ioannis,georgalis
209,iosif,klironomos
210,ilias,iakovidis
211,m.,maybury
212,r.,engelbrecht
213,d.,kalra
214,g.,freriks
215,constantina,doulgeraki
216,nikos,partarakis
217,a.,hatziantoniou
218,v.,neroutsou
219,l.,schilders
