Abstract,Accepted,CnfJ,CondAccepted,Description,FullPaper,HardCopy,InPress,Link,PaperID,Project,SoftCopy,Submitted,Title,Topic,UndSubmission,Year
false,true,international journals,false,"international journal of bio-medical computing, vol. 17, pp. 177-184",true,true,false,,12,,false,false,an interactive aid for expressive communication with pictographic symbols,communication aids,false,1985
false,true,international journals,false,"international journal of man-machine studies, vol. 27, pp. 401-412",true,true,false,,13,,false,false,human-computer interaction in the provision of an inter-personal communication for non-vocal,human-computer interaction,false,1987
false,true,international journals,false,"international journal of biomedical computing, vol. 23, pp. 177-189",true,true,false,,14,,false,false,an evaluation of the information interface in the design of computer-based aids for expressive communication,communication aids,false,1988
false,true,international journals,false,"international journal of rehabilitation research, 17(3), pp 201-214.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@759d81f3,16,tide-core,true,false,rehabilitation technology product  taxonomy: a conceptual tool for analysing products abd extracting demand teterminants,assistive technology,false,1994
false,true,international journals,false,"international journal of rehabiliation research, 18(3), pp. 225-243",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@781a9412,17,tide-core,true,false,on the impediments to innovation in the european assistive technology industry,innovation,false,1995
false,true,international journals,false,"international journal of rehabilitation research, 20(2), pp.189-192.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@5a4c638d,19,tide-core,true,false,the transfer of  tecnology towards the european assisitive technology industry: current impediments and future opportunities (submitted for peer review and publication,technology transfer,false,1997
false,true,international journals,false,"assistive technology journal, 9(1), pp. 34-46",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@13e698c7,21,tide-core,true,false,transferring technology towards the european at industry: mechanisms and implications,technology transfer,false,1997
false,true,international journals,false,"international journal of human-computer interaction, vol. 9(3), 1997, pp.283-317.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@aed0151,22,tide-access,true,false,preference-based human factors knowledge repository for designing  user interfaces,user interface design,false,1997
false,true,proceedings of international conferences (full-paper reviewed),false,"1st european conference on the advancement of rehabilitation technology (ecart- 1), maastricht, the netherlands, november 1990, 2 pages",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@267bbe1a,27,tide-guib,true,false,accessibility of wimps-based user interfaces by visually impaired people,accessibility,false,1990
false,true,proceedings of international conferences (full-paper reviewed),false,"european conference on bio-medical engineering, nice, france, february 1991, 2 pages",true,true,false,,29,,false,false,technology and access to pictorial information by blind people,accessibility,false,1991
false,true,proceedings of international conferences (full-paper reviewed),false,"in e. jacobsson (ed.), proceedings of the 2nd european conference on the advancement of rehabilitation technology (ecart 2), stockholm, sweden, 26-28 may 1993, 3 pages. stockholm: swedish institute for the handicapped.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@1f12e153,30,tide-guib,true,false,access by blind people to interaction objects in ms windows,accessibility,false,1993
false,true,proceedings of international conferences (full-paper reviewed),false,"in. e. jacobsson (ed), proceedings of th 2nd european conference on the advancement of rehabilitation technology (ecart- 2), stockholm, sweden, 26-28 may 1993, 3 pages. stockholm: swedish institute for the handicapped.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@389562d6,31,tide-core,true,false,exploiting the value of modelling in the context of the rehabilitation technology market,modelling,false,1993
false,true,proceedings of international conferences (full-paper reviewed),false,"2nd international conference on intelligence in broadband  services and networks (is&n '93) , paris, france, november 1993, 11 pages.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@5a101b1c,32,race,true,false,access to b-isdn services by people with special needs: a methodological approach,accessibility,false,1993
false,true,proceedings of international conferences (full-paper reviewed),false,"in i. placencia - porreiro & r.p.  de la bellacasa (eds) 2nd tide congress, brussels, belgium, 26-28 april 1995, pp. 195-198. amsterdam: ios press.",true,true,false,,33,tide-core,false,false,european knowledge infrastructure for assistive technology,assistive technology,false,1995
false,true,proceedings of international conferences (full-paper reviewed),false,"in i. placencia-porreiro & r.p. de la bellacasa (eds) proceedings of the 2nd tide congress, paris, france, 26-28 april 1995, pp. 159-162. amsterdam: ios press.",true,true,false,net.ucanaccess.jdbc.ucanaccessblob@2160e52a,34,tide-core,true,false,measuring the cost and benefits of emerging technologies in the rehabilitation field,assistive technology,false,1995
