source_db,old_topic_id,old_topic_name,new_book_topic_id
db1,1,Equipment,a4f20ed9-54a1-451e-967b-45157b216756
db1,2,CD-ROMs,6ee6e5d1-3484-4637-9a1d-589c120e919f
db1,3,Communications,d76656b1-ef5a-426a-be48-d0e850c4cfb9
db1,5,Information Systems,97b38f03-24b4-4d22-8eda-1afb2f88a667
db1,6,Catalogs,928537ed-b7d1-48ad-9a8a-20a9c0a6e03b
db1,7,Human Factors,b62b48b6-7d7c-480f-8b56-6b43315b4910
db1,8,Ergonomics Course,379dd6a3-e1f1-4465-909e-172406d1fdbd
db1,9,General Purpose,1017f9d4-fa1f-47bc-af52-86232143c4dd
db1,10,Human-Computer Interaction,8b2383b5-4bfc-4b61-8efa-5d81b75be439
db1,12,Technical Aids,5842879e-5c76-4b89-ad28-6328616c0d0c
db1,13,H/D Documentation,3dc08055-b811-46dd-b9b1-7712f1e9c879
db1,14,Disability,7fdeba9c-4967-41de-bbc3-92a4abeb69f2
db1,15,User Interfaces,280f3a51-4766-481d-906d-65e810a3e95b
db1,16,CEC Programs,95945f12-f69e-4359-bb8e-7956c65f5f63
db1,18,Occupational Therapy,3d51769a-aa23-40a5-9fa9-24c9278d988d
db1,19,Sociology,67af7ebb-9b07-43e2-b176-2657fc1bbae4
db1,20,Sun Systems,b11f40b6-3019-41e7-94ab-a0c3e4835251
db1,21,Assistive Technology,ebd5fa05-f58f-4009-b790-dbccb60c28b4
db1,22,Educational Technology,2a901bc9-b081-4fbc-93fe-f1d88e683a77
db1,23,Computer Graphics,b91bf818-e35d-48d2-bdf1-d33a6fdd8e94
db1,24,Knowledge-Based Systems,6b99a04c-0749-4ebf-b796-dadb12d989e7
db1,25,Robotics,9a272dc7-d772-49b9-aa2c-63f270e3907d
db1,26,Computer Science,40c4a7d1-3b4b-4921-95b9-7544119c1891
db1,27,IBM PC,e5827cda-b45a-4223-a3f5-d89ee799c671
db1,28,Programming Language C,371c4371-8084-4e54-8304-804bca864363
db1,29,Expert Systems,612769d5-c4d9-4c9d-9033-315f42547727
db1,30,Innovation,7092e167-0c66-400b-8a13-a0813e3a0395
db1,31,Object-Oriented Programming,5baf7f61-30ae-4090-a4e2-2c5d6c0093e3
db1,33,Speech Recognition,053c3343-b7b2-4fe3-b9de-1f579363b293
db1,34,Software Engineering,66e20bd3-5aee-48f6-82e3-48b7735574ed
db1,36,Neural Computing,90b9a087-b342-4152-9916-e9b6b57fe069
db1,37,TIDE COST,c1787403-9cbf-4984-8c7f-3c7069dac66e
db1,38,Natural Language,2f0ad153-6390-426a-a770-d1311640ce34
db1,39,Microsoft Office,72bf401c-acb7-4419-8b10-7cd0be80ab6e
db1,40,Computational Linguistics,542eec3f-a944-4059-9bab-e4753c31c098
db1,41,Multimedia Systems,b903cb91-24a3-4e04-92f8-2c5e268d267e
db1,42,Artificial Intelligence,4f2a7f21-0e42-4128-b224-13bfaca9dcd5
db1,43,Directory,818b731e-003b-4393-a2b9-0ace81392be6
db1,46,ESPRIT,7a19ecbf-76a2-46eb-a004-2e4a446baea7
db1,47,Graphics Programming,bc8d7d00-dd58-405e-ad65-92605f3b3c18
db1,48,RACE,0b40bd4a-222b-4083-ab6b-641449e893b2
db1,49,Statistics,096d1b7c-4ca0-42ce-b67a-d5b6ebe98abc
db1,51,Internet/WEB Design,a57972c9-9c36-47aa-bf97-0aead95e99c2
db1,52,Apple PC,cbad307e-73a1-439a-a108-e9740769bb16
db1,53,Logic Programming,6d2f2458-50aa-48a9-a059-c4f6e68069e8
db1,54,Vocational Training,0bb5ad76-0004-4aff-a653-1c3458e40509
db1,56,Software Reengineering,10edb3a2-cdd7-416c-836d-e00005c7d98b
db1,57,X-Windows,b89771e3-9cb1-4ab0-8d74-fe53ed10f27e
db1,58,ERCIM,224b8543-440f-4115-aab0-0386bbad5e84
db1,59,Software Development,acee335f-2ac3-44f2-8bde-4ac5eeba93a9
db1,60,Testing,e06987f0-3e76-434c-8b2b-24ddc7c4a08c
db1,61,Psychology,e044f606-2531-431e-b107-35dff62249dd
db1,63,Virtual Reality,45804547-aed3-4d77-b37c-495f7d59a891
db1,64,AutoCAD,8cb08ae9-b526-4df1-ae06-01d9c113c3a8
db1,66,AutoVision,2e2632a5-05bb-4645-888e-390812f69dd8
db1,68,Multimedia,ac9b1875-b4f0-4dfc-acc8-64fca9578f01
db1,70,Human Performance,35aa335f-7a40-483b-bfea-1a51e0bd769d
db1,71,Marketing,c69e159b-cc3d-4c6f-a42a-799a0653d4f5
db1,72,Rehabilitation Technology,dd15f7cd-2a93-481d-bdb4-e1b8ff8ab72b
db1,73,TIDE,c8763f82-2756-4ef4-981e-2ddaf9f46348
db1,75,Databases,dadfcbe6-743a-4148-9dde-37c7e374428d
db1,76,Dictionaries,fd52bf12-4f5d-4a8d-916e-32bf8487d845
db1,77,Hypermedia,18147309-2e1c-4fe7-8598-32744edc14bf
db1,78,Hypertext,d711dc93-477d-4571-9fa8-171da80311da
