old_topic_id,old_topic_name,new_book_topic_id,source_db
1,Equipment,b176a1d3-fbed-4b88-a636-1636218ebf7e,db1
2,CD-ROMs,0a1fcfdf-9520-401c-9e81-4a87b573badb,db1
3,Communications,29575ddd-c338-4ef2-bc32-7b2e7108b97d,db1
5,Information Systems,2d08eb1b-8fa4-4afe-a3cb-2323b7dcbc81,db1
6,Catalogs,5f81a30f-d1e3-45eb-8878-374178c4cf47,db1
7,Human Factors,37305640-c53a-43cc-b981-311a4458d7e5,db1
8,Ergonomics Course,dd7944df-5c6a-41a5-ae87-e7713de9f31e,db1
9,General Purpose,76004974-ee84-444f-a7e4-75b08f531bd4,db1
10,Human-Computer Interaction,f34b6a57-bb9a-4fb2-9f92-dd4a093de88d,db1
12,Technical Aids,88121c0a-ff47-48b2-84fe-9809804f66ab,db1
13,H/D Documentation,063ff618-6e6e-4bbe-94dd-fbb8cb9afd2d,db1
14,Disability,6a1feb7d-a4c0-49ec-a9e9-a54b1b503204,db1
15,User Interfaces,a802d058-cb4b-4416-8ea0-38cfbc80ca3d,db1
16,CEC Programs,16770a84-81ed-4383-ba91-4378c9ed78c1,db1
18,Occupational Therapy,0f7016d7-0137-47bf-8f4c-2665f14cb17e,db1
19,Sociology,093a70fa-4e8e-424f-a1e9-5a7aa816d4a6,db1
20,Sun Systems,cefb8ad2-921c-4892-89c2-42f120ad4ef2,db1
21,Assistive Technology,a421a0ab-e418-499a-916c-64cff5995f5f,db1
22,Educational Technology,14bfab4e-2664-49d0-9960-a4b6a6f00ef5,db1
23,Computer Graphics,1607cb94-1dae-411e-9345-5f2e752e0ea1,db1
24,Knowledge-Based Systems,31580daa-75b6-431a-a10c-4f137acff12d,db1
25,Robotics,f1291ab1-a366-4618-a839-e5b4335d6c32,db1
26,Computer Science,623fbbe9-e1f8-4938-b461-b140c53283ed,db1
27,IBM PC,50c4efa8-88b7-498f-bfde-ce3fe543060b,db1
28,Programming Language C,ff13bc89-75d8-4f28-9cb6-d40651dc5b1c,db1
29,Expert Systems,9b1fa233-95b6-4a0e-94a6-210daf44780e,db1
30,Innovation,a3dba7ff-ae7f-4a94-b0f2-89de33e8fff2,db1
31,Object-Oriented Programming,386e8d50-f5a6-4e2b-a2aa-49f46f6717ac,db1
33,Speech Recognition,87ca40b7-81aa-49be-bc09-f8b35a279623,db1
34,Software Engineering,25219082-ddbc-4e9b-a073-585f4694e53b,db1
36,Neural Computing,2b33d389-e198-46db-aecc-29cdd2e17ea6,db1
37,TIDE COST,f608696a-4434-4d01-a0a3-353105533465,db1
38,Natural Language,5d164e30-1ae0-4402-a3d1-becaf5f4009e,db1
39,Microsoft Office,46cac23d-db5e-4b90-8b96-0333cf4a1127,db1
40,Computational Linguistics,8494b32b-58b2-447d-9841-2612e8271fea,db1
41,Multimedia Systems,1260271b-8034-4892-b810-49fb96940f58,db1
42,Artificial Intelligence,4f6ea58b-2d5b-4267-87a9-740165ab7cd7,db1
43,Directory,b6bd0335-b50c-470c-8403-c5c58c18aa55,db1
46,ESPRIT,9fb04911-cd93-4e71-9531-fc5b4d93944c,db1
47,Graphics Programming,37d8e144-37d8-4e0c-98db-d5c8176eabf1,db1
48,RACE,53723db1-89e5-4572-a71b-6e1b8d6e4b70,db1
49,Statistics,64027a72-0a4e-46a4-9154-55740733ca28,db1
51,Internet/WEB Design,258d0a56-86a6-425d-b751-6fc21891e408,db1
52,Apple PC,e12f1126-1a08-46ad-ba29-2238984ef9b2,db1
53,Logic Programming,3788378e-d900-4bb1-9f1f-4c4d9120952c,db1
54,Vocational Training,e29d4e65-7160-4daf-86ff-5538e2f34e25,db1
56,Software Reengineering,4eeb72c2-a434-4b3e-8335-24df822932d4,db1
57,X-Windows,17c93bdc-f185-4ae3-b9cc-45314e12d130,db1
58,ERCIM,1ca6c3d2-d993-466c-9a3a-29e4ba6f4c16,db1
59,Software Development,7f913ae9-4827-4278-86e8-90960885a93a,db1
60,Testing,d2b70b41-0cd1-4943-9874-0a45439ce074,db1
61,Psychology,5cea3c6f-b746-4ad5-b062-e686a1e230b5,db1
63,Virtual Reality,b64ce197-1920-4004-9835-1f455eb424aa,db1
64,AutoCAD,feb919e4-61dc-48d9-9063-118cb1c3c9cf,db1
66,AutoVision,32039c26-d396-4917-a8fc-30e90fd8ea69,db1
68,Multimedia,daf158ff-0a82-4964-a362-ee6678318e1c,db1
70,Human Performance,db7924a7-483c-4e58-bda5-a545a0cca53e,db1
71,Marketing,0c056c2e-d0cd-48ef-b381-f563addebe28,db1
72,Rehabilitation Technology,67571a6c-d97a-4396-8a51-3a25e7f35e9b,db1
73,TIDE,2f11b811-5e30-4011-84b2-b3ec7a6f7a1c,db1
75,Databases,cfdcc06f-1025-4465-93ea-700b701536f8,db1
76,Dictionaries,6cc8d3f2-e59c-49d6-b1f4-3e0bd737b92a,db1
77,Hypermedia,bc7136f4-1a41-4067-a43b-e96c9cad94a9,db1
