source_db,old_paper_id,old_title,new_paper_id
db1,12,An Interactive aid for expressive communication with pictographic symbols,5125b382-f3b2-559a-b60d-acd875864f7b
db1,13,Human-Computer Interaction in the provision of an inter-personal communication for non-vocal,8af4f7c6-d4e8-52bc-93bb-4d34ead5e034
db1,14,An evaluation of the Information Interface in the design of computer-based aids for expressive communication,ed00a510-7eb4-589b-9294-6945510f19d7
db1,16,Rehabilitation Technology product  taxonomy: a conceptual tool for analysing products abd extracting demand teterminants,a13a1684-4b27-5cc0-9ddd-19b7e94599de
db1,17,On the impediments to innovation in the European Assistive Technology Industry,5a238d80-77c8-5fdd-9b87-a251719395b2
db1,19,The Transfer of  Tecnology towards the European Assisitive Technology Industry: Current Impediments and Future Opportunities (submitted for peer review and publication,a1255ce8-2bff-520b-8092-83dc3d74ae20
db1,21,Transferring technology towards the European AT Industry: Mechanisms and Implications,40e8e22b-5741-553d-bd39-9710606cdfaa
db1,22,Preference-based Human Factors Knowledge Repository for Designing  User Interfaces,81bf146f-7266-5657-8a93-f0edc41e4875
db1,27,Accessibility of WIMPS-based User Interfaces by Visually Impaired People,b744d87d-5fae-5d7f-8a9e-c0004450a0ad
db1,29,Technology and Access to Pictorial Information by Blind People,ee5a73df-80a0-558e-972e-9d4b5bfafa3e
db1,30,Access by Blind People to Interaction Objects in MS Windows,a1834068-c3bc-5cb3-8c9e-551cda4d57f3
db1,31,Exploiting the value of modelling in the context of the rehabilitation Technology Market,28133a27-099b-516b-92aa-e88962480768
db1,32,Access to B-ISDN services by people with special needs: A Methodological Approach,3e7c78dc-c18b-52e8-8d25-7f30c91a3c6d
db1,33,European knowledge infrastructure for Assistive Technology,e5885673-d219-50d7-82c9-dc3ee7f6b803
db1,34,Measuring the cost and benefits of emerging technologies in the rehabilitation field,b4f3a5e5-639a-5d89-b6bd-3a35cfc26e80
db1,35,Technological Synergies and new product concepts: Policy issues in the transfer of  technology,07d6222f-800e-53b8-88a7-f39676b6a68e
db1,36,The use of analytical tools in analysing the demand of assistive technology products: the case of Alarm Telephones,0ca06c1f-0bed-5aaa-af38-207d3fbeb330
db1,37,Tools for User Interfaces for all,3224531e-0e05-53af-8381-9083dc25244a
db1,38,Building non-visual interaction through the development of the Rooms metaphor,262818d5-0ee6-50e7-ad59-83372f7c2d16
db1,39,Developing Dual User Interfaces for Integrating Blind and Sighted Users: the HOMER UIMS,031ee5e6-7941-57b3-8f74-20f8d02d29b9
db1,40,Voice-Tactile Interaction facilitating Blind User Access to an adapted Multimedia Retrieval Application,916bd73e-a6c7-59b7-a5ef-da5363afbafa
db1,41,Enhancing Non-visual Interaction in a Graphical Environment through a Screen Reader Configuration System,933dad23-f950-59b7-8d7c-a95a4d2b4497
db1,42,Interface Design for Disabled Users: Eliciting User-Centered Constraints,52616b6e-5a16-57dd-b92c-a765f36a0c0a
db1,43,Integrating the Visual and Non-Visual Worlds: Developing User Interfaces,826dd6f6-c20b-5bce-9baf-9ecf19aa1ade
db1,44,User-Centered Interface Design: Reusable models and UI Component Repositories,30f6bf2f-abf4-505b-afe8-d8e030121ed1
db1,45,INTERACT: An interface builder facilitating access to users with disabilities,981376bf-b80c-5094-95bd-f7b42dd753d1
db1,46,Tailoring Non-Visual Interaction in a Graphical Environment,ad13c096-d875-5627-ad9b-489874ace516
db1,47,User Modelling for Adaptable Interface Design,54e4a2b1-c5cd-5252-8a22-858202ca9644
db1,48,Supporting Blind and Sighted User Collaboration through Dual User Interfaces using the HOMER System,afdf731e-21d9-58e8-a9a6-46aa22015dda
db1,49,Query assistance: The Query Interface of CORE shell system,b7715ad3-a0e4-5c9d-9462-342b5288ee60
db1,50,Scenario Based Specification of Interaction Metaphors,51fb657f-baac-53bf-b4ef-914def45f462
db1,51,Towards User Interfaces for All: Some Critical Issues,1fec2a82-40e5-52f2-9a7f-226ddc2e9273
db1,52,Supporting user interface adaptability during the design and development process,74e2bf30-6e03-5e26-baf3-29bbf114251f
db1,53,Multimedia Service Provision to B-ISDN users: The case of Blind Users,af1ee3db-854a-53b1-a215-1497a939a20b
db1,54,A Comparative Assessment of Mechanisms for Transferring Technology Towards the Assistive Technology Industry,41270b7e-645c-54ea-8bef-62754bac70d5
db1,55,Communication Aid Interface for Speech-Motor Impaired users,6cf51952-2919-538a-afb3-f3bdd03c19f3
db1,56,Developing Alternative Metaphors for Special B-ISDN Services,db8a0c35-500b-590f-a96f-bc052114d453
db1,57,Tool based user interface construction facilitating access to users with disabilities,a4c7dae5-3423-58d5-b65b-f5673ed02c82
db1,58,An Expert User Interface design assistant for deriving maximally preferred lexical adaptability rules,c605138c-8e15-5fa7-8dc2-0c4908b5a8a8
db1,59,Adaptations of the Text Media Type: Addressing the user's Perspective,f673b779-534c-519b-8835-5cafaf20104d
db1,60,Integrating Media and Modalities in the User-Machine Intercace,8201868a-a55d-5fdb-bd95-e2b50bcccdd6
db1,61,Designing User Interfaces for all users: Contributions from applied ergonomics and human factors,1f889852-b92e-5132-8a8f-21b02f3bd0fe
db1,63,Design assistance for user-adapted interaction,6347e1b2-375a-5145-953e-12dc8a42b29f
db1,64,Usability requirements for advanced information technology products,08965549-9b5a-5a03-85d6-215267224878
db1,65,User-computer interaction in hand-eye coordination tasks,bed9aaf2-4893-56ea-ba1f-2ec320494eda
db1,66,Multi-mode communication with user-generated pictograhic symbols,26760d26-07d8-5814-b40e-4ee302c9f51b
db1,67,A study of user interaction with a pictographic communication aid,dd125e05-436a-5342-a32e-80006c19d194
db1,68,A study of mechanism and symbol structure in computer-assisted expressive communication,0e6ed732-5171-5e0c-8d62-0918d67cb977
db1,69,Design Criteria for a locally Programmable Aid for Expressive Communication,445729b1-5e75-5667-a554-b0d4686dada5
db1,70,Communication aids for language or speech impaired people,a1fe68b6-497e-5bce-9b98-3c08828f94f6
db1,71,Educational Software for people with mental and learning disabilities,6a985299-d564-540c-8df4-aa85f3af501a
db1,72,Some Aspects of the Impact of Developments on I.T. & T. in the field of Education,ed95a99e-63e5-5571-b431-66c45a2a1cca
db1,73,Applications of Information and Telecommunications Technologies in the field of Rehabilitation (11 pages),2735f168-a83f-5c39-848d-e60255aa29af
db1,74,Access to Graphics Based and Multimedia Environments by Blind Users,3d0d4878-f01f-518a-a6f4-6274eee00647
db1,75,Critical issues related to the accessibility of B-ISDN services by people with special needs,54a019bb-e750-5e45-9cf4-430bf10aaab5
db1,76,"Θεμελιώδεις έννοιες στη μελέτη αριθμών, των πράξεών τους και η εκπαίδευση ατόμων με ειδικές ανάγκες (Basic Arithmetics and the education of Disabled people)",e88cc000-c8f6-54c9-8930-1f6fb38c5093
db1,77,A Methodology for the development of Communication Aids,27966277-4944-5ba1-888f-f393dd5b3404
db1,78,User modelling and multimodal representations: An approach combining alternative knowledge sources,4c02ff35-dcd2-5e06-9517-32dafa77abc6
db1,79,Media / Modalities Allocation in Intelligent UIs: Towards a Theory of Media and Modalities,c6facd9a-c1ad-5650-adab-486459324763
db1,80,Supporting Adaptivity in Intelligent User Interfaces: The case of Media and Modalities Allocation,71fe6914-7aa4-5cdf-b108-7baf3e589523
db1,81,Financial Transactions by Visually Disabled Persons Using the IBC Network: a Step beyond EFTPOS and Super-Smart Cards (3 pages),7de7e30e-a002-574f-af4e-ecc72eeee2af
db1,82,Design representations and Development support for User Interface Adaptation,722485c9-e490-56ad-9407-2604f1963050
db1,83,Media / Modalities Allocation in Intelligent Multimedia User Interfaces,02cea565-4770-500e-9fc2-478ab34a6487
db1,84,Some Issues related to the Accessibility of Computer Images by Blind Persons,38a84679-1f1e-5f20-882b-a44cb5ccbd49
db1,85,Some Considerations on the Impact of Future Technological Advances for the development of intelligent houses for blind people (3 pages),f128e01b-34ee-5d92-9c55-e32c96e2fd9a
db1,86,Some Issues on the Accessibility to graphical user interfaces by blind people,582e1e70-9e98-59e8-8659-bc6d45a044a8
db1,87,User Interface issues related to the accessibility of telematic terminals by people with special needs,ddffa345-0581-555d-ab39-6e88599f0ba0
db1,88,Access to Terminals,80847137-42db-5192-ab64-89f9b7e55bb5
db1,89,Considerations for an integrated GUI environment accessible by blind people in the context of a UIMS architecture,808e5314-f03f-520c-a7b5-be77377440a5
db1,90,Access to ISDN services by people with Special Needs: User Interface Issues,2a0922a7-d580-5f29-a5b7-ef1072399641
db1,91,Towards a Single European Market for Rehabilitation (Assistive) Technology goods: Some critical issues,30f2e1bf-8339-55ed-bda4-d8f3625c4d3a
db1,92,Human machine interface technology and interpersonal communication aids (6 pages),42b339a2-4fc9-5214-af30-5659bbfd7284
db1,93,Towards Multimedia Interfaces for All: a New Generation of Tools Supporting Integration of Design-time and Run-time Adaptivity Methods,4a1c5af8-3a0a-5b0e-ad46-776309d46e6b
db1,94,Towards Information sharing in rehabilitation field,b497df89-09ea-5a1b-b6a2-f6fe27ccfc7c
db1,95,Investigation of UIMS Architectures for the development of User Interfaces Concurrently Accessible by blind and sighted users,3b643618-da16-5533-b8b0-51544ad5e64a
db1,97,A Methodological Approach for Modelling the Rehabilitation Technology Market in Europe,d8e1d103-304c-5bc6-9ea5-1b3f9460d3cf
db1,98,A Conceptual Framework for determining critical aspects of innovation in the European Rehabilitation Technology market,986bbfeb-533d-50a6-9db7-6459a9229a57
db1,99,On the determinants of innovation in the European Rehabilitation (Assisitive) Technology market,a5b64e6e-0155-5fe0-8924-75e158aac654
db1,100,Rehabilitation Technology product Taxonomy: A conceptual tool for analysing products and extracting demand determinants,b8bb01b8-6bde-50a4-bbe0-a7c73f92d8d0
db1,101,"The demand, supply and provision system of the Rehabilitation Technology market in Europe: A modelling perspective",e651d644-87dc-5c84-8fd4-89ec1d4558b4
db1,102,An analytical framework for modelling the Rehabilitation (Assistive) Technology Market in Europe,8bafb34b-04c5-53fb-8726-2c2a6416cf04
db1,103,Critical aspects of demand in the Assistive Technology market in Europe,96646a3a-529f-5e53-8d6c-37f11464702a
db1,104,Technology Transfer and the Rehabilitation Technology Industry in Europe,4c3db133-31eb-5894-bc74-bc11306b5d1e
db1,105,A methodology for selecting interaction techniques for users with disabilities in the context of the B-ISDN environment,34822878-2b43-579b-b819-b07c6643171d
db1,106,Integrating able and disabled users in the user interface design process,8fc0a986-2289-56d8-8d57-8bd095b1a9e5
db1,107,"The ""User Vocabulary and Meaning Mapping Module"": A lexical Knowledge base for Communication Aids",098c1aa1-11e8-56b2-a29a-64ca86262961
db1,114,A pilot study on a data acquisition and pattern recognition system for use in the analysis of 24-hour electrocardiogram tape recordings,c5d6b945-4484-5de8-b483-51864bb4648d
db1,115,A study of methodologies of Information Technology in the provision of communication aids for the speech impaired,e3d61d45-02aa-5bdc-8e23-e354e27e812f
db1,116,Multimedia presentation of information in an intelligent information system,2b4ae675-32e8-546e-a816-e47fcbeecf70
db1,117,Accessibility of Handy-Station by visually impaired people,6d677626-9a3a-564a-b640-9e9fe03e8cb2
db1,118,Man-Machine Interfaces,3c95f77c-e1b2-5562-834b-9bf53aa68f40
db1,119,Το Ευρωπαϊκό Σύστημα Πληροφόρησης HANDYNET στην Ελλάδα,68021f1e-b3fe-53a5-b053-b6f91b859c66
db1,120,Access to Graphical User Interfaces by Blind People,ea244d49-4c4e-58d1-a1af-eadc3e6981a0
db1,121,Universal Access to Telecommunication Services in Europe - The Guy Gobut report.,f630cc49-48b9-50dd-963b-8acf0546ad20
db1,122,Recent Advances in Telecommunication Services and Systems,4617822d-fa03-532b-b0a3-0540ca2cf2c7
db1,123,Towards a Model of Terminal Design,2ec68c64-bd0e-5255-924f-93ee10111238
db1,124,Access to Pictorial Information by Blind People,5e2ccddd-4548-55ed-8d91-702fcdf0e55b
db1,125,Technology Today and Tomorrow,1506fb65-21a4-5f59-a41c-083b617e6f19
db1,126,Current trends in Man-Machine Interfaces: Potential Impact on People with Special Needs,aae7204f-2e89-5fee-ba35-95a674581ea6
db1,127,Trends in Telecommunication,9e8a4302-5331-51ac-b68f-e8a1c37057c4
db1,128,Impact on Network Developments on Users with Disabilities,68da640d-e324-5274-8828-38519db05f7c
db1,129,Multimedia Services and Applications in a Broadband environment,9c59a73d-2405-5da2-9337-dd74628610cf
db1,130,Some aspects of rehabilitation,2004eb78-2e34-5df0-87e0-1906fdeee128
db1,131,Strategies for the provision of computer-based integrated teaching tools for Occupational Therapy,c05382af-69ef-5b36-af07-7d867179ceb5
db1,132,A model-driven study of system structure and vocabulary specification in assistive communication devices,dddfcc9f-b18d-50fd-ae01-b5ec07e422bc
db1,133,The Development of the HANDYNET European Information System for people with special needs in Greece,80ef44c7-5f6a-51dd-809b-648c339f7e22
db1,134,Tele-Informatics as a Tool in the Process of the Socio-Economic Integration of People with Special Needs,5bb5902c-81cc-5caf-a9d0-8f6fd63a0269
db1,135,An Overview of the Provision System for Technical Aids and Rehabilitation Engineering Solutions in Greece,dd021aaf-cf5d-5ab2-86c7-74f9cef87a97
db1,136,Πρόσβαση ατόμων με προβλήματα όρασης σε προηγμένα υπολογιστικά συστήματα,e6ca277e-a2a7-550e-94e4-7bfeae0762f9
db1,137,An approach to modelling the Rehabilitation Technology market in Europe,bd29b3a0-93c9-5440-a3da-ccc631b67ccc
db1,138,Universal Access to Telecommunication Services: The Guy Gobut Report,d8ecbfe1-acc2-5501-b1fa-e6a620cffd8f
db1,139,Universal Access to telecommunication services in Europe: A review of critical issues,d403a1ca-72ae-5d47-986f-2c18102faec8
db1,140,"HANDYNET, a multimedia tool: The technological trrends in the provision of information",4c0ea100-d5b5-530c-be87-64d61bba161b
db1,141,The national dimension in the development of the European HANDYNET System,ab52be26-500b-51ee-a361-8a2bd6643981
db1,142,The HANDYNET Initiative CEU-DG V,9f24baaa-6695-5677-9aa1-54040a3dfdb4
db1,143,Τεχνολογίες της πληροφορικής αξιοποιήσιμες από όλους,e0d72b21-0c12-5e3f-8d6f-e6a79a3002f4
db1,144,Employing Queueing Modelling in Intelligent Multimedia User Interfaces,a414f9f5-ba10-557d-97ba-98d81c283bb8
db1,145,Adaptation in IMMPS as a Decisions Making Process,964eef62-63a4-5138-9586-e2ed02ffaa64
db1,146,Decision Making in Intelligent User Interfaces,b61dc6b8-9085-50c7-84f3-4d2ffa6f1a3e
db1,147,Modelling Interactions as Queues,03eb263c-1fb7-566c-8100-a2420575b2c2
db1,148,"Deciding ""What"", ""When"", ""Why"" and ""How"" to Adapt in Intelligent Multimedia Presentation Systems",99a623b9-cb29-5dc2-a1cf-03594adef99f
db1,149,Developing User Interfaces for All,8850a858-d18d-5cba-91b5-4a5a443a11dc
db1,150,Supporting user adapted interface design: The USE-IT system,fe728a60-5530-5bba-aa58-d0a04f1d63df
db1,152,Knowledge-based Support for User-Adapted Interaction Design,4b9ae47e-a761-59fb-b609-8774b4d30405
db1,153,Modelling Decisions in Intelligent User Interfaces,d8899ab9-82b1-5627-9ac4-4c063d9e4143
db1,155,Human Factors Knowledge Repository for Designing Accessible User Interfaces,d9a38d18-a577-586a-af44-b33db06dc467
db1,156,Access to Lexical Knowledge in Interpersonal Communication Aids,b84358fd-1c1d-5e3b-b35f-0a4c2dd42486
db1,163,A Generic Direct Manipulation 3d-Auditory Environment for Hierarchical Navigation in Non-Visual Interaction,15f38a9c-e110-542d-b81c-086539cfd692
db1,164,Word Processing for People with Special Needs,e3c8bba0-299a-5686-ae40-fc2acac7f0a0
db1,165,An Augmented Educational Environment  for people with special needs,18d1eef1-9edf-5f24-a521-150df9ef7266
db1,166,Developing Web Browsers Accessible to All: Supporting User-Adapted Interaction,410213c6-a3e6-58e5-a33c-561ee6a8c066
db1,167,Accessibility of B-ISDN Terminals and Services by people with Special Needs,7ae6dc35-0e39-5a19-a060-0ea6d6bd5a4c
db1,168,Access to GUIs by Blind People,34fd3198-abea-500e-b9e1-c9458d7c9b2c
db1,170,Editorial: Disabled and Elderly people in the Information Society,dcdcd2c1-fe3e-543e-b5c7-04d9d9310491
