source_db,old_author_id,old_first_name,old_last_name,new_author_id
db1,1,Constantine,Stephanidis,58ab64cb-4629-5b8d-98fe-bc4802df2130
db1,2,Demosthenes,Akoumianakis,f6068d1e-3e51-5540-8a43-b62a3b23fc45
db1,3,Anthony,Savidis,1ae1ee28-7d5e-53af-b226-78cdc6526427
db1,4,Charalampos,Karagiannidis,9b45f6cb-4e59-55bc-aab7-0675cbeca2f5
db1,5,Michael,Sfyrakis,ca475e93-f502-5980-96a9-31e882116d7f
db1,6,George,Paparoulis,8f3d7ed3-44db-5786-b30c-98ac89336589
db1,7,Margherita,Antona,583922dc-cbd2-50e0-ba2d-488830df4218
db1,8,Nikos,Vernardakis,2e2038a7-d2b8-53c6-814a-0127cf2a9c4e
db1,9,Michael C.,Fairhurst,0c8cd36a-8f68-58a5-be01-a224443372a4
db1,10,M.,Bonaventura,b9d8de65-74c7-5b02-ae91-9d2366daed05
db1,11,Gregory,Homatas,6548dfe6-6f2d-53c1-8746-0eff646256cd
db1,12,Natassa,Spyridou,a875dbf2-903e-5d05-ba77-1a3abfe3603d
db1,13,Gerhard,Weber,3ae912ed-641c-5e18-ae79-dce4342d5017
db1,14,Frank,Deconinck,13feef5d-5578-5744-9b74-7579ce0dc590
db1,15,D.,Kochanek,8663e22b-b8eb-5721-9d92-f1c456ed3563
db1,16,Claire,Lidaki,91a58991-c8ff-5947-8765-af361a0cf516
db1,17,Lena,Marinaki,299d06c4-9e7b-5bb2-b7e3-03413628602e
db1,18,Maria,Papadopoulou,a22bfda6-fcd7-5fd6-ad6d-48ab2e055edd
db1,19,Adamantios,Koumpis,bce4d877-4006-5ad7-82a1-af9550fd01be
db1,20,Panayiotis,Galatis,f5ef7092-9534-5b60-b6d2-8b51cb1fe9b4
db1,21,George,Vareltzis,595c6891-e8d7-5855-b255-f32afe25df44
db1,22,M.,Soede,a4802ab6-e9f4-5c61-b292-0a50c31bd344
db1,23,P.A.M.E.,Crombag-Roben,25187a77-6ffe-5f2f-ad18-b0edc610b4f1
