book_topic_id,topic_name
a4f20ed9-54a1-451e-967b-45157b216756,Equipment
6ee6e5d1-3484-4637-9a1d-589c120e919f,CD-ROMs
d76656b1-ef5a-426a-be48-d0e850c4cfb9,Communications
97b38f03-24b4-4d22-8eda-1afb2f88a667,Information Systems
928537ed-b7d1-48ad-9a8a-20a9c0a6e03b,Catalogs
b62b48b6-7d7c-480f-8b56-6b43315b4910,Human Factors
379dd6a3-e1f1-4465-909e-172406d1fdbd,Ergonomics Course
1017f9d4-fa1f-47bc-af52-86232143c4dd,General Purpose
8b2383b5-4bfc-4b61-8efa-5d81b75be439,Human-Computer Interaction
5842879e-5c76-4b89-ad28-6328616c0d0c,Technical Aids
3dc08055-b811-46dd-b9b1-7712f1e9c879,H/D Documentation
7fdeba9c-4967-41de-bbc3-92a4abeb69f2,Disability
280f3a51-4766-481d-906d-65e810a3e95b,User Interfaces
95945f12-f69e-4359-bb8e-7956c65f5f63,CEC Programs
3d51769a-aa23-40a5-9fa9-24c9278d988d,Occupational Therapy
67af7ebb-9b07-43e2-b176-2657fc1bbae4,Sociology
b11f40b6-3019-41e7-94ab-a0c3e4835251,Sun Systems
ebd5fa05-f58f-4009-b790-dbccb60c28b4,Assistive Technology
2a901bc9-b081-4fbc-93fe-f1d88e683a77,Educational Technology
b91bf818-e35d-48d2-bdf1-d33a6fdd8e94,Computer Graphics
6b99a04c-0749-4ebf-b796-dadb12d989e7,Knowledge-Based Systems
9a272dc7-d772-49b9-aa2c-63f270e3907d,Robotics
40c4a7d1-3b4b-4921-95b9-7544119c1891,Computer Science
e5827cda-b45a-4223-a3f5-d89ee799c671,IBM PC
371c4371-8084-4e54-8304-804bca864363,Programming Language C
612769d5-c4d9-4c9d-9033-315f42547727,Expert Systems
7092e167-0c66-400b-8a13-a0813e3a0395,Innovation
5baf7f61-30ae-4090-a4e2-2c5d6c0093e3,Object-Oriented Programming
053c3343-b7b2-4fe3-b9de-1f579363b293,Speech Recognition
66e20bd3-5aee-48f6-82e3-48b7735574ed,Software Engineering
