BookTopicID,TopicID,BookID,TopicName
2234,1,1,Equipment
2235,1,2,Equipment
2236,42,3,Artificial Intelligence
2237,89,4,Networks
2238,14,5,Disability
2241,7,8,Human Factors
2242,5,9,Information Systems
2243,5,10,Information Systems
2244,5,11,Information Systems
2245,8,12,Ergonomics Course
2246,8,13,Ergonomics Course
2247,8,14,Ergonomics Course
2248,216,15,Internet
2249,10,16,Human-Computer Interaction
2250,265,17,Grammatik 5
2251,265,18,Grammatik 5
2252,9,19,General Purpose
2253,12,20,Technical Aids
2254,13,21,H/D Documentation
2255,14,22,Disability
2256,15,23,User Interfaces
2257,14,25,Disability
2258,15,26,User Interfaces
2259,15,27,User Interfaces
2260,15,28,User Interfaces
2261,15,29,User Interfaces
2262,15,30,User Interfaces
2263,9,31,General Purpose
2264,9,32,General Purpose
2265,16,33,CEC Programs
2266,14,34,Disability
2267,116,35,Telecommunications
2268,15,36,User Interfaces
2269,18,37,Occupational Therapy
2270,19,38,Sociology
2271,20,39,Sun Systems
2272,21,40,Assistive Technology
2273,21,41,Assistive Technology
2274,22,42,Educational Technology
2275,5,43,Information Systems
2276,23,44,Computer Graphics
2277,23,45,Computer Graphics
2278,24,46,Knowledge-Based Systems
2279,25,47,Robotics
2280,92,48,Lecture Notes in Computer Science
2281,10,49,Human-Computer Interaction
2282,27,50,IBM PC
2283,27,51,IBM PC
2284,27,52,IBM PC
2285,27,53,IBM PC
2286,28,54,Programming Language C
2287,47,55,Graphics Programming
2288,29,56,Expert Systems
2289,29,57,Expert Systems
2290,10,58,Human-Computer Interaction
2291,30,59,Innovation
2292,80,60,Usability
2293,31,61,Object-Oriented Programming
2294,3,62,Communications
2295,22,63,Educational Technology
2296,181,64,Voice Processing
2297,34,65,Software Engineering
2298,27,66,IBM PC
2299,42,67,Artificial Intelligence
2300,36,68,Neural Computing
2301,25,69,Robotics
2302,37,70,TIDE COST
2303,10,71,Human-Computer Interaction
2304,38,72,Natural Language
2305,8,73,Ergonomics Course
2306,39,74,Microsoft Office
2307,53,75,Logic Programming
2308,12,76,Technical Aids
2309,10,77,Human-Computer Interaction
2310,68,78,Multimedia
2311,42,79,Artificial Intelligence
2312,42,80,Artificial Intelligence
2313,22,81,Educational Technology
2314,262,82,PowerChute Plus
2315,46,83,ESPRIT
2316,47,84,Graphics Programming
2317,48,85,RACE
2318,49,86,Statistics
2319,24,87,Knowledge-Based Systems
2320,23,88,Computer Graphics
2321,51,89,Internet/WEB Design
2322,10,90,Human-Computer Interaction
2323,25,91,Robotics
2324,25,92,Robotics
2325,25,93,Robotics
2326,25,94,Robotics
2327,10,95,Human-Computer Interaction
2328,10,96,Human-Computer Interaction
2329,52,97,Apple PC
2330,52,98,Apple PC
2331,15,99,User Interfaces
2332,52,100,Apple PC
2333,52,101,Apple PC
2334,52,102,Apple PC
2335,53,103,Logic Programming
2336,53,104,Logic Programming
2337,54,105,Vocational Training
2338,108,106,Economics
2339,26,107,Computer Science
2340,56,108,Software Reengineering
2341,20,109,Sun Systems
2342,20,110,Sun Systems
2343,57,111,X-Windows
2344,7,112,Human Factors
2345,58,113,ERCIM
2346,59,114,Software Development
2347,37,115,TIDE COST
2348,203,116,Software Evaluation
2349,61,117,Psychology
2350,15,118,User Interfaces
2351,15,119,User Interfaces
2352,22,120,Educational Technology
2353,22,121,Educational Technology
2354,22,122,Educational Technology
2355,22,123,Educational Technology
2356,116,124,Telecommunications
2357,63,125,Virtual Reality
2358,257,126,Lecture Notes in Artificial Intelligence
2359,64,127,AutoCAD
2360,64,128,AutoCAD
2361,64,129,AutoCAD
2362,64,130,AutoCAD
2363,64,131,AutoCAD
2364,64,132,AutoCAD
2365,64,133,AutoCAD
2366,64,134,AutoCAD
2367,266,135,Autodesk 3D Studio
2368,266,136,Autodesk 3D Studio
2369,266,137,Autodesk 3D Studio
2370,266,138,Autodesk 3D Studio
2371,266,139,Autodesk 3D Studio
2372,66,140,AutoVision
2373,66,141,AutoVision
2374,267,142,Cyberscpace Developer Kit
2375,267,143,Cyberscpace Developer Kit
2376,267,144,Cyberscpace Developer Kit
2377,24,145,Knowledge-Based Systems
2378,10,146,Human-Computer Interaction
2379,25,147,Robotics
2380,250,148,Multimedia Programming
2381,23,149,Computer Graphics
2382,10,150,Human-Computer Interaction
2383,7,151,Human Factors
2384,254,152,Groupware
2385,10,153,Human-Computer Interaction
2386,10,154,Human-Computer Interaction
2387,70,155,Human Performance
2388,71,156,Marketing
2389,71,157,Marketing
2390,72,158,Rehabilitation Technology
2391,73,159,TIDE
2392,116,160,Telecommunications
2393,75,161,Databases
2394,75,162,Databases
2396,140,164,Health Care
2397,15,165,User Interfaces
2398,31,166,Object-Oriented Programming
2399,250,167,Multimedia Programming
2400,68,168,Multimedia
2401,78,169,Hypertext
2402,15,170,User Interfaces
2403,15,171,User Interfaces
2404,92,172,Lecture Notes in Computer Science
2405,79,173,ESPRIT/HUFIT
2406,10,174,Human-Computer Interaction
2407,22,175,Educational Technology
2408,89,176,Networks
2409,22,177,Educational Technology
2410,9,178,General Purpose
2411,29,179,Expert Systems
2412,196,180,Programming Languages
2413,42,181,Artificial Intelligence
2414,63,182,Virtual Reality
2415,53,183,Logic Programming
2416,14,184,Disability
2417,22,185,Educational Technology
2418,80,186,Usability
2419,81,187,Modeling
2420,82,188,AIM
2421,83,189,Communication Aids
2422,15,191,User Interfaces
2423,46,192,ESPRIT
2424,37,193,TIDE COST
2425,80,194,Usability
2426,5,195,Information Systems
2427,53,196,Logic Programming
2428,80,197,Usability
2429,29,198,Expert Systems
2430,42,199,Artificial Intelligence
2431,26,200,Computer Science
2432,22,201,Educational Technology
2433,85,202,Prolog
2434,86,203,Systems Analysis
2435,72,204,Rehabilitation Technology
2436,196,205,Programming Languages
2438,71,207,Marketing
2439,15,208,User Interfaces
2440,89,209,Networks
2441,90,210,Information Technology
2442,22,211,Educational Technology
2443,5,212,Information Systems
2444,92,213,Lecture Notes in Computer Science
2445,15,214,User Interfaces
2446,23,215,Computer Graphics
2447,9,216,General Purpose
2448,83,217,Communication Aids
2449,83,218,Communication Aids
2450,89,219,Networks
2451,90,220,Information Technology
2452,42,221,Artificial Intelligence
2453,89,222,Networks
2454,5,223,Information Systems
2455,10,224,Human-Computer Interaction
2456,15,225,User Interfaces
2457,5,226,Information Systems
2458,42,227,Artificial Intelligence
2459,14,228,Disability
2460,7,229,Human Factors
2461,29,230,Expert Systems
2462,10,231,Human-Computer Interaction
2463,42,232,Artificial Intelligence
2464,26,233,Computer Science
2465,93,234,Borland C++
2466,93,235,Borland C++
2467,93,236,Borland C++
2468,93,237,Borland C++
2469,93,238,Borland C++
2470,93,239,Borland C++
2471,93,240,Borland C++
2472,93,241,Borland C++
2473,93,242,Borland C++
2474,93,243,Borland C++
2475,93,244,Borland C++
2476,93,245,Borland C++
2477,93,246,Borland C++
2478,93,247,Borland C++
2479,93,248,Borland C++
2480,93,249,Borland C++
2481,93,250,Borland C++
2482,93,251,Borland C++
2483,94,252,Paradox for Windows
2484,93,253,Borland C++
2485,93,254,Borland C++
2486,93,255,Borland C++
2487,93,256,Borland C++
2488,93,257,Borland C++
2489,94,258,Paradox for Windows
2490,94,259,Paradox for Windows
2491,94,260,Paradox for Windows
2492,94,261,Paradox for Windows
2493,93,262,Borland C++
2494,93,263,Borland C++
2495,93,264,Borland C++
2496,95,265,Borland Visual
2497,96,266,Turbo C
2498,97,267,Paradox
2499,97,268,Paradox
2500,97,269,Paradox
2501,97,270,Paradox
2502,94,271,Paradox for Windows
2503,94,272,Paradox for Windows
2504,94,273,Paradox for Windows
2505,94,274,Paradox for Windows
2506,94,275,Paradox for Windows
2507,94,276,Paradox for Windows
2508,94,277,Paradox for Windows
2509,94,278,Paradox for Windows
2510,94,279,Paradox for Windows
2511,94,280,Paradox for Windows
2512,94,281,Paradox for Windows
2513,94,282,Paradox for Windows
2514,94,283,Paradox for Windows
2515,94,284,Paradox for Windows
2516,97,285,Paradox
2517,97,286,Paradox
2518,97,287,Paradox
2519,97,288,Paradox
2520,97,289,Paradox
2521,97,290,Paradox
2522,97,291,Paradox
2523,97,292,Paradox
2524,97,293,Paradox
2525,97,294,Paradox
2526,98,295,Borland C
2527,94,296,Paradox for Windows
2528,96,297,Turbo C
2529,96,298,Turbo C
2530,268,299,Turbo Assembler
2531,268,300,Turbo Assembler
2532,268,301,Turbo Assembler
2533,268,302,Turbo Assembler
2534,268,303,Turbo Assembler
2535,96,304,Turbo C
2536,96,305,Turbo C
2537,96,306,Turbo C
2538,96,307,Turbo C
2539,269,308,Turbo Debugger
2540,269,309,Turbo Debugger
2541,270,310,Turbo Profiler
2542,270,311,Turbo Profiler
2543,96,312,Turbo C
2544,100,313,MS-Windows
2545,100,314,MS-Windows
2546,100,315,MS-Windows
2547,22,316,Educational Technology
2548,12,317,Technical Aids
2549,140,318,Health Care
2550,101,319,Pattern Recognition
2551,92,320,Lecture Notes in Computer Science
2552,207,321,Computer Supported Cooperative Work
2553,9,322,General Purpose
2554,25,323,Robotics
2555,197,324,Knowledge Representation
2556,103,325,Ergonomics
2557,42,326,Artificial Intelligence
2558,22,327,Educational Technology
2559,14,328,Disability
2560,14,329,Disability
2561,104,330,Management
2562,34,331,Software Engineering
2563,34,332,Software Engineering
2564,34,333,Software Engineering
2565,14,334,Disability
2566,89,335,Networks
2568,78,337,Hypertext
2569,14,338,Disability
2570,116,339,Telecommunications
2571,116,340,Telecommunications
2572,116,341,Telecommunications
2573,63,342,Virtual Reality
2574,148,343,Visual Systems
2575,42,344,Artificial Intelligence
2576,92,345,Lecture Notes in Computer Science
2577,75,346,Databases
2578,15,347,User Interfaces
2579,7,348,Human Factors
2580,107,349,Compilers
2581,80,350,Usability
2582,72,351,Rehabilitation Technology
2583,14,352,Disability
2584,29,353,Expert Systems
2585,108,354,Economics
2586,59,355,Software Development
2587,10,356,Human-Computer Interaction
2588,10,357,Human-Computer Interaction
2589,10,358,Human-Computer Interaction
2590,15,359,User Interfaces
2591,257,360,Lecture Notes in Artificial Intelligence
2592,86,361,Systems Analysis
2593,110,362,DESQview/X
2594,110,363,DESQview/X
2595,14,364,Disability
2596,14,365,Disability
2597,68,366,Multimedia
2598,23,367,Computer Graphics
2599,10,368,Human-Computer Interaction
2600,14,369,Disability
2601,14,370,Disability
2602,14,371,Disability
2603,14,372,Disability
2604,7,373,Human Factors
2605,89,374,Networks
2606,113,375,Microcomputers
2607,113,376,Microcomputers
2608,22,377,Educational Technology
2609,26,378,Computer Science
2610,49,379,Statistics
2611,112,380,H/W Documentation
2612,26,381,Computer Science
2613,113,382,Microcomputers
2614,114,383,Research Evaluation
2615,42,384,Artificial Intelligence
2616,58,385,ERCIM
2617,58,386,ERCIM
2618,10,387,Human-Computer Interaction
2619,78,388,Hypertext
2620,7,389,Human Factors
2621,7,390,Human Factors
2622,42,391,Artificial Intelligence
2623,53,392,Logic Programming
2624,116,393,Telecommunications
2625,22,394,Educational Technology
2626,26,395,Computer Science
2627,63,396,Virtual Reality
2628,10,397,Human-Computer Interaction
2629,22,398,Educational Technology
2630,10,399,Human-Computer Interaction
2631,10,400,Human-Computer Interaction
2632,10,401,Human-Computer Interaction
2633,26,402,Computer Science
2634,30,403,Innovation
2635,15,404,User Interfaces
2636,8,405,Ergonomics Course
2637,29,406,Expert Systems
2638,89,407,Networks
2639,89,408,Networks
2640,53,409,Logic Programming
2641,81,410,Modeling
2642,117,411,PC Tools
2644,9,413,General Purpose
2645,9,414,General Purpose
2646,53,415,Logic Programming
2647,42,416,Artificial Intelligence
2648,77,417,Hypermedia
2649,76,418,Dictionaries
2650,76,419,Dictionaries
2651,5,420,Information Systems
2652,22,421,Educational Technology
2653,76,422,Dictionaries
2654,72,423,Rehabilitation Technology
2655,104,424,Management
2656,80,425,Usability
2657,40,426,Computational Linguistics
2658,5,427,Information Systems
2659,5,428,Information Systems
2660,196,429,Programming Languages
2661,34,430,Software Engineering
2662,108,431,Economics
2663,71,432,Marketing
2664,75,433,Databases
2665,61,434,Psychology
2666,143,435,Windows Programming
2667,15,436,User Interfaces
2668,42,437,Artificial Intelligence
2669,42,438,Artificial Intelligence
2670,10,439,Human-Computer Interaction
2671,92,441,Lecture Notes in Computer Science
2672,80,442,Usability
2673,80,443,Usability
2674,80,444,Usability
2675,80,445,Usability
2676,22,446,Educational Technology
2677,24,447,Knowledge-Based Systems
2678,42,448,Artificial Intelligence
2679,119,449,BICEPS
2680,208,450,Microprocessors
2681,119,451,BICEPS
2683,58,453,ERCIM
2684,116,454,Telecommunications
2685,31,455,Object-Oriented Programming
2686,34,456,Software Engineering
2687,15,457,User Interfaces
2688,12,458,Technical Aids
2689,10,459,Human-Computer Interaction
2690,24,460,Knowledge-Based Systems
2691,27,461,IBM PC
2692,122,462,Signal Processing
2693,122,463,Signal Processing
2694,10,464,Human-Computer Interaction
2695,25,465,Robotics
2696,89,466,Networks
2697,36,467,Neural Computing
2698,42,468,Artificial Intelligence
2699,72,469,Rehabilitation Technology
2700,46,470,ESPRIT
2701,48,471,RACE
2702,48,472,RACE
2703,48,473,RACE
2704,48,474,RACE
2705,48,475,RACE
2706,48,476,RACE
2707,48,477,RACE
2708,48,478,RACE
2709,48,479,RACE
