BookID_Books,Title_Books,Theme_Books,Category_Books,Publisher_Books,PublicationYear,ISBN_Books,CoverType,Origin_Books,Shelf_Books,CopiesNo,FotocopiesNo,Includes,Title_norm_Books,BookID_Books1,Author Name,Author Middle,Author Surname,Co-Authors,Title_Books1,Theme_Books1,Type,Category_Books1,Date of publication,Publisher_Books1,ISBN_Books1,Kind,Origin_Books1,Shelf_Books1,State,When_Borrowed,Who_Borrowed,Field18,Title_norm_Books1,similarity_score,Confidence,MatchType
2,Action Computer Suppliers-Software-Office Furniture-Equipment-Catalogue 28,"Computer supplies, Software, Office furniture, Equipment Catalogue 28",directory,,,,paperback,CS,G123,1.0,0,,action computer suppliers-software-office furniture-equipment-catalogue 28,1,,,,,Action Computer Suppliers-Software-Office Furniture-Equipment-Catalogue 22,"Computer supplies, Software, Office furniture, Equipment Catalogue 22",prospectus,Equipment,,,,paperback,CS,G123,available,,,,action computer suppliers-software-office furniture-equipment-catalogue 22,98.64864864864865,High (≥ high_confidence),Fuzzy
2,Action Computer Suppliers-Software-Office Furniture-Equipment-Catalogue 28,"Computer supplies, Software, Office furniture, Equipment Catalogue 28",directory,,,,paperback,CS,G123,1.0,0,,action computer suppliers-software-office furniture-equipment-catalogue 28,2,,,,,Action Computer Suppliers-Software-Office Furniture-Equipment-Catalogue 28,"Computer supplies, Software, Office furniture, Equipment Catalogue 28",prospectus,Equipment,,,,paperback,CS,G123,available,,,,action computer suppliers-software-office furniture-equipment-catalogue 28,100.0,High (≥ high_confidence),Fuzzy
3,Artificial Intelligence on CD-ROM,DOS USER Instructions,manual,Network Cybernetics Corporation,1993,,διαφάνεια,RTI Lab.,CS-LIB,1.0,0,,artificial intelligence on cd-rom,3,,,,,Artificial Intelligence on CD-ROM,DOS USER Instructions,manual,CD-ROMs,1993,Network Cybernetics Corporation,,διαφάνεια,RTI Lab.,CS-LIB,available,,,,artificial intelligence on cd-rom,100.0,High (≥ high_confidence),Fuzzy
4,Broadband Islands 1993 Conference Proceedings,"Proceeedings of the Second International Conference held in Athens, Greece on June 15-16, 1993",proceedings,RACE II Project EuroBridge,1993,,paperback,CS,G121,1.0,0,,broadband islands 1993 conference proceedings,4,,,,,Broadband Islands 1993 Conference Proceedings,"Second International Conference held in Athens, Greece on June 15-16, 1993",proceedings,Communications,1993,RACE II Project EuroBridge,,paperback,CS,G121,available,,,,broadband islands 1993 conference proceedings,100.0,High (≥ high_confidence),Fuzzy
5,Computers and the Disabled What Needs To Be Done;,This report concerns computers and the disabled persons.,report,The British Computer Society Health Informatics Specialist Groups,1985,,paperback,CS,G123,1.0,0,,computers and the disabled what needs to be done;,5,,,,,Computers and the Disabled What Needs To Be Done;,This report concerns computers and the disabled persons.,report,Technology & Disability,1985,The British Computer Society Health Informatics Specialist Groups,,paperback,CS,G123,available,,,,computers and the disabled what needs to be done;,100.0,High (≥ high_confidence),Fuzzy
8,Directory of Human Factors Graduate Programs in the United States and Canada,The purpose of this directory is to supply prospective graduate students with information to help them make a preliminary selection of graduate programs for further consideration.,directory,Human Factors and Ergonomics Society,1994,,paperback,CS,G122,1.0,0,,directory of human factors graduate programs in the united states and canada,8,,,,,Directory of Human Factors Graduate Programs in the United States and Canada,The purpose of this directory is to supply prospective graduate students with information to help them make a preliminary selection of graduate programs for further consideration.,catalogue,Human Factors,1994,Human Factors and Ergonomics Society,,paperback,CS,G122,unavailable,1996-04-30 00:00:00.0,CS,,directory of human factors graduate programs in the united states and canada,100.0,High (≥ high_confidence),Fuzzy
12,Ergonomics Course - HUFIT 'TAP' EXERCISE,"This document describes, in summary form, some opinions gathered from interviews with potential users of the TAP system.",lecture notes,,,,spiral,CS,G121,0.0,1,,ergonomics course - hufit 'tap' exercise,12,,,,,Ergonomics Course - HUFIT 'TAP' EXERCISE,"This document describes, in summary form, some opinions gathered from interviews with potential users of the TAP system.",lecture notes photocopy,Ergonomics Course,,,,spiral,CS,G121,available,,,,ergonomics course - hufit 'tap' exercise,100.0,High (≥ high_confidence),Fuzzy
13,Ergonomics Course - Muscular Work,1.1 Physiological principles 1.2. Static muscular effort 2. Nervous control of movements 3. Improving work efficiency 4. Problems of body size 5. The design of workstations,lecture notes,,,,spiral,CS,G121,0.0,1,,ergonomics course - muscular work,13,,,,,Ergonomics Course - Muscular Work,1.1 Physiological principles 1.2. Static muscular effort 2. Nervous control of movements 3. Improving work efficiency 4. Problems of body size 5. The design of workstations,lecture notes photocopy,Ergonomics Course,,,,spiral,CS,G121,available,,,,ergonomics course - muscular work,100.0,High (≥ high_confidence),Fuzzy
14,Ergonomics Course - Specialist Methods of Information-Gathering,"Questionnaires, System walk-through, Formal observation, User diaries, System logging, Task analysis, Comparative testing, Company records.",lecture notes,,,,spiral,CS,G121,0.0,1,,ergonomics course - specialist methods of information-gathering,14,,,,,Ergonomics Course - Specialist Methods of Information-Gathering,"Questionnaires, System walk-through, Formal observation, User diaries, System logging, Task analysis, Comparative testing, Company records.",lecture notes photocopy,Ergonomics Course,,,,spiral,CS,G121,available,,,,ergonomics course - specialist methods of information-gathering,100.0,High (≥ high_confidence),Fuzzy
15,Fifth International World Wide Web Conference Tutorial Notes,This Tutorial Notes volume contains written notes for the WWW5 tutorial presentations.,tutorial,O'Reilly & Associates,1996,,spiral,CS,G117,0.0,1,,fifth international world wide web conference tutorial notes,15,,,,,Fifth International World Wide Web Conference Tutorial Notes,This Tutorial Notes volume contains written notes for the WWW5 tutorial presentations.,tutorial photocopy,General Purpose,1996,O'Reilly & Associates,,spiral,CS,G117,available,,,,fifth international world wide web conference tutorial notes,100.0,High (≥ high_confidence),Fuzzy
